"V.S. Summerhayes. (1928). North-East Land and Hinlopen Strait. Journal of Ecology. 16(2), pp. 201-212.",,,,,,,
Barren regions - Spitsbergen,scarlet mite,reindeer,landflies - adult chironomids - Achorutes,worm (Lumbricillus),spider,snow bunting,purple sandpiper
lichens - mosses,1,1,1,0,0,1,0
detritus,0,0,0,1,0,0,0
landflies - adult chironomids - Achorutes,0,0,0,0,1,1,1
worm (Lumbricillus),0,0,0,0,0,0,1
spider,0,0,0,0,0,1,1
