"Yodzis, P. (1998). Local trophpodynamics and the interaction of marine mammals and fisheries in the Benguela ecosystem. Journal of Animal Ecology. 67, pp. 635-658.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benguela ecosystem - South Atlantic Ocean,phytoplankton,benthic filter-feeders,bacteria,benthic carnivores,microzooplankton,mesozooplankton,macrozooplankton,gelatinous zooplankton,anchovy,pilchard,round herring,lightfish,lanternfish,goby,other pelagics,horse mackerel,chub mackerel,other groundfish,hakes,squid,tunas,snoek,kob,yellowtail,geelbek,whales and dolphins,birds,seals,sharks
phytoplankton,0,0,98.8,0,30.6,45,60,25,5,67,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic filter-feeders,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bacteria,0,0,0,0,29.7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic carnivores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,2.2,34.3,0,2.2,22,1.2,8.8,0,1.2,0,0.6,9.6,8
microzooplankton,0,0,0,0,29.7,45,0,25,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mesozooplankton,0,0,0,0,0,0,40,25,57,30,60,40,40,43.5,81,58,9,15.8,11,0,0,0,0,0,0,0,0.9,0,4
macrozooplankton,0,0,0,0,0,0,0,0,34,3,40,60,60,18.5,14,14.3,54.6,9.9,11,8.1,0,3,6.8,0.5,0,6.6,9.6,0,4
gelatinous zooplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
anchovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,11,30,15,58.6,51,1.9,25,30.1,36.4,30.1,4
pilchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,15,4.5,0.6,29.1,25.2,7.4,8.4,3.2,4
round herring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,2.5,6,10.7,7,12.6,0,4.1,7.9,1,1.9,0.1,4
lightfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,9,13.9,4,2.5,0,0,0,0,4.7,0.3,4
lanternfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,29.5,2,12,0,3,2.6,0,0,0,4.3,5.6,0.3,4
goby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8.5,21,15,31.5,25.8,15.5,25.1,18.8,22.4,16.6,4
other pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,4,0,0,12.1,1.9,3.2,5.5,0.4,4
horse mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1.4,3.3,4.1,20.9,26.8,0.8,18,4
chub mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1.1,5.9,0,0,0.4,0.6,4
other groundfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2,7,15.6,0,0,13.7,13.9,16.6,0,0.7,4.4,4
hakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,15,5.3,5,13.2,8.2,0,0.1,4.4,17.2,6,4
squid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,10,1.2,15,0.4,6.1,28.7,1.2,16.2,6.5,15.4,4
tunas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,10.2,4
kob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,4
yellowtail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
geelbek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
whales and dolphins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,4
seals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,4
sharks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,4
