;Amazilia versicolor;Clytolaema rubricauda;Phaethornis eurynome;Thalurania glaucopis
Aegiphila obducta;0;0;20;29
Fuchsia regia;0;308;0;158
Heliconia farinosa;0;0;0;3
Inga sp;0;210;0;24
Justicia carnea;0;0;6;0
Nematanthus australis;0;3;0;5
Nidularium innocentii;0;0;2;0
Spirotheca rivieri;0;255;0;6
Vriesea altodaserrae;2;3;0;0
Vriesea incurvata;0;0;5;0
