"N.C. Collins, R. Mitchell, and R.G. Wiegert. (1976). Functional Analysis of a Thermal Spring Ecosystem, with an Evaluation of the Role of Consumers. Ecology. 57(6), pp. 1221-1232.",,,,,,,,,,,,,,
Thermal spring community (25-40 C) Yellowstone Nat'l Park - USA,Partnuniella thermalis,Thermacarus nevadensis,Tachytrechus angustipennis,birds (unspecified),arachnids (unspec.),Paracoenia turbida eggs,P. turbida larvae,P. turbida pupae,P. turbida adults,Lamproscatella dichaeta,Microcoelepis sp.,chironomid (unspec.),amphipod (unspec.),tipulid (unspec.)
Paracoenia turbida eggs,1,1,1,0,0,0,0,0,0,0,0,0,0,0
P. turbida larvae,0,1,1,1,0,0,0,0,0,0,0,0,0,0
P. turbida pupae,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P. turbida adults,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Lamproscatella dichaeta,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Microcoelepis sp.,1,1,1,1,1,0,0,0,0,0,0,0,0,0
chironomid (unspec.),1,1,1,1,1,0,0,0,0,0,0,0,0,0
amphipod (unspec.),1,1,1,1,1,0,0,0,0,0,0,0,0,0
tipulid (unspec.),1,1,1,1,1,0,0,0,0,0,0,0,0,0
blue-green algal-bacterial mat,0,0,0,0,0,1,1,1,1,1,1,1,1,1
