"sp_taxon_1";"sp_taxon_2";"value";"type"
"Figites laevigatus";"Hydrotaea armipes larvae";"1";"parasitism"
"Aleochara curtula";"Sarcophaga sp. larvae";"1";"parasitism"
"Aleochara curtula";"Calliphora sp. larvae";"1";"parasitism"
"Alysia manducator";"Sarcophaga sp. larvae";"1";"parasitism"
"Alysia manducator";"Calliphora sp. larvae";"1";"parasitism"
"Metacantharis clypeata";"Sarcophaga sp. larvae";"1";"predation"
"Metacantharis clypeata";"Calliphora sp. larvae";"1";"predation"
"Harpalus rufipes";"Sarcophaga sp. larvae";"1";"predation"
"Harpalus rufipes";"Calliphora sp. larvae";"1";"predation"
"Pterostichus niger";"Sarcophaga sp. larvae";"1";"predation"
"Pterostichus niger";"Calliphora sp. larvae";"1";"predation"
"Creophilis maxillosus";"Sarcophaga sp. larvae";"1";"predation"
"Creophilis maxillosus";"Calliphora sp. larvae";"1";"predation"
"Thereva sp.";"Sarcophaga sp. larvae";"1";"predation"
"Thereva sp.";"Calliphora sp. larvae";"1";"predation"
"Nabis lativentris";"Sarcophaga sp. larvae";"1";"predation"
"Nabis lativentris";"Calliphora sp. larvae";"1";"predation"
"Necrophorus humator";"Sarcophaga sp. larvae";"1";"predation"
"Necrophorus humator";"Calliphora sp. larvae";"1";"predation"
"Necrophorus humator";"rabbit carcass";"1";"scavenger"
"N. vespillo";"Sarcophaga sp. larvae";"1";"predation"
"N. vespillo";"Calliphora sp. larvae";"1";"predation"
"N. vespillo";"rabbit carcass";"1";"scavenger"
"Thanotophilus rugosus";"Sarcophaga sp. larvae";"1";"predation"
"Thanotophilus rugosus";"Calliphora sp. larvae";"1";"predation"
"Thanotophilus rugosus";"rabbit carcass";"1";"scavenger"
"T. sinuatus";"Sarcophaga sp. larvae";"1";"predation"
"T. sinuatus";"Calliphora sp. larvae";"1";"predation"
"T. sinuatus";"rabbit carcass";"1";"scavenger"
"Ptomophagus subvillosus";"Sarcophaga sp. larvae";"1";"predation"
"Ptomophagus subvillosus";"Calliphora sp. larvae";"1";"predation"
"Ptomophagus subvillosus";"rabbit carcass";"1";"scavenger"
"Catops fuscus";"Sarcophaga sp. larvae";"1";"predation"
"Catops fuscus";"Calliphora sp. larvae";"1";"predation"
"Catops fuscus";"rabbit carcass";"1";"scavenger"
"C. kirbii";"Sarcophaga sp. larvae";"1";"predation"
"C. kirbii";"Calliphora sp. larvae";"1";"predation"
"C. kirbii";"rabbit carcass";"1";"scavenger"
"Saprinus semistriatus";"Sarcophaga sp. larvae";"1";"predation"
"Saprinus semistriatus";"Calliphora sp. larvae";"1";"predation"
"Saprinus semistriatus";"rabbit carcass";"1";"scavenger"
"Hister striola";"Sarcophaga sp. larvae";"1";"predation"
"Hister striola";"Calliphora sp. larvae";"1";"predation"
"Hister striola";"rabbit carcass";"1";"scavenger"
"H. cadaverinus";"Sarcophaga sp. larvae";"1";"predation"
"H. cadaverinus";"Calliphora sp. larvae";"1";"predation"
"H. cadaverinus";"rabbit carcass";"1";"scavenger"
"H. carbonarius";"Sarcophaga sp. larvae";"1";"predation"
"H. carbonarius";"Calliphora sp. larvae";"1";"predation"
"H. carbonarius";"rabbit carcass";"1";"scavenger"
"Hydrotaea armipes larvae";"Sarcophaga sp. larvae";"1";"predation"
"Hydrotaea armipes larvae";"Calliphora sp. larvae";"1";"predation"
"Sarcophaga sp. larvae";"rabbit carcass";"1";"scavenger"
"Calliphora sp. larvae";"rabbit carcass";"1";"scavenger"
"Lucilia sericata larvae";"rabbit carcass";"1";"scavenger"
"Myrmica laevinodes";"rabbit carcass";"1";"scavenger"
"Piophila varipes larvae";"rabbit carcass";"1";"scavenger"
"P. foveolata larvae";"rabbit carcass";"1";"scavenger"
"Vespula vulgaris larvae";"rabbit carcass";"1";"scavenger"
"Fannia scalaris larvae";"rabbit carcass";"1";"scavenger"
"Cercyon lateralis";"rabbit carcass";"1";"scavenger"
"C. unipunctatus";"rabbit carcass";"1";"scavenger"
