"name";"bold";"eol";"tsn";"ncbi"
"Oreochromis niloticus";"52768";"12188631";"553310";"8128"
"Cyprinus carpio";"27257";"11355882";"163344";"7962"
"Garra dembecha";NA;"29275047";NA;"622370"
"Zoobenthos";NA;NA;NA;NA
"Mesocyclops aequatorialis";NA;"6261869";"88718";NA
"Thermocyclops ethiopiansis";NA;NA;NA;NA
"Cladocera";NA;"22256627";"955641";"6665"
"Rotifera";"16";"11316638";NA;"10190"
"Clarias garapienus";NA;NA;NA;NA
