"B.W. Cornaby. (1974). Carrion Reduction by Animals in Contrasting Tropical Habitats. Biotropica. 6(1), pp. 51-63.",,,,,,,,,,,,,,,,,,,,,
Toad carrion - Guanacaste - Costa Rica,Neoblattela fraterna,Dermestes carnivorus,Euspilotus sp.,Phaenicia eximia,Atherigena orientalis,Megaselia sp. 6,Eumacronychia sternalis,Helicobia rapax,Camponotus rectangularis,Monomorium carbonarium,Pheidole sp. 3,Pheidole sp. 5,Ectatomma ruidum,Odontomachus haematodus,Pseudomyrmex sp. 1,acarid (unspecified),P. eximia larvae,A. orientalis larvae,E. sternalis larvae,H. repax larvae,aves (unspecified)
P. eximia eggs,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
A. orientalis eggs,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
E. sternalis eggs,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
H. repax eggs,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
toad carrion,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
