;bee;hummingbirds;;;;;;;bats;;
;Bombus brasiliensis;Amazilia versicolor;Anthracothorax nigricollis;Clytolaema rubricauda;Leucochloris albicollis;Lophornis magnificus;Phaethornis eurynome;Thalurania glaucopis;Anoura caudifer;Anoura geoffroyi;Pygoderma bilabiatum
Aechmea cylindrata;1;0;0;0;0;0;0;0;0;0;0
Nidularium campo-alegrensis;0;0;0;0;0;0;1;0;0;0;0
Vriesea altodaserrae;0;1;1;1;1;1;1;1;0;0;0
Vriesea guttata;0;0;0;0;0;0;1;0;0;0;0
Vriesea heterostachys;0;0;0;0;0;0;1;0;0;0;0
Vriesea hoehneana;0;0;0;0;0;0;0;0;1;0;1
Vriesea platynema;0;0;0;0;0;0;0;0;1;1;1
Wittrochia cyathiformis;0;1;0;0;1;0;1;1;0;0;0
