"sp_taxon_1";"sp_taxon_2";"value"
"Borreria laevis";"Junonia sp1 M_PL_035";"1"
"Melochia nodiflora";"Junonia sp1 M_PL_035";"1"
"Cassia occidentalis";"Euglossa cordata";"1"
"Cassia sp1 M_PL_035";"Euglossa cordata";"1"
"Solanum erianthum";"Euglossa cordata";"1"
"Solanum havanense";"Euglossa cordata";"1"
"Spilanthes urens";"Exomalopsis sp1 M_PL_035";"1"
"Borreria laevis";"Exomalopsis sp1 M_PL_035";"1"
"Mimosa pudica";"Exomalopsis sp1 M_PL_035";"1"
"Sesuvium portulacastrum";"Exomalopsis sp1 M_PL_035";"1"
"Eupatorium odoratum";"Oncopeltus piltus";"1"
"Blechum pyramidatum";"Oncopeltus piltus";"1"
"Ehretia tinifolia";"Oncopeltus piltus";"1"
"Ascleptas curassavica";"Oncopeltus piltus";"1"
"Stachytarpheta jamaicensis";"Polygonus leo";"1"
"Cordia globosa";"Polygonus leo";"1"
"Blechum pyramidatum";"Polygonus leo";"1"
"Waltheria indica";"Polygonus leo";"1"
"Piscidia piscipula";"Unidentified sp4 M_PL_035";"1"
"Cassia occidentalis";"Unidentified sp4 M_PL_035";"1"
"Cassia sp1 M_PL_035";"Unidentified sp4 M_PL_035";"1"
"Byrsonia coriacea";"Unidentified sp4 M_PL_035";"1"
"Spilanthes urens";"Agraulis vanillae";"1"
"Stachytarpheta jamaicensis";"Agraulis vanillae";"1"
"Blechum pyramidatum";"Agraulis vanillae";"1"
"Spilanthes urens";"Anartia jatrophae";"1"
"Stachytarpheta jamaicensis";"Anartia jatrophae";"1"
"Melochia nodiflora";"Anartia jatrophae";"1"
"Piscidia piscipula";"Coereba flaveola ";"1"
"Cordia gerascanthus";"Coereba flaveola ";"1"
"Cordia sebestena";"Coereba flaveola ";"1"
"Spilanthes urens";"Danaus gilippus";"1"
"Stachytarpheta jamaicensis";"Danaus gilippus";"1"
"Ascleptas curassavica";"Danaus gilippus";"1"
"Spilanthes urens";"Eurema sp1 M_PL_035";"1"
"Borreria laevis";"Eurema sp1 M_PL_035";"1"
"Vernonia cinerea";"Eurema sp1 M_PL_035";"1"
"Spilanthes urens";"Leptotes cassius";"1"
"Piscidia piscipula";"Leptotes cassius";"1"
"Borreria laevis";"Leptotes cassius";"1"
"Cordia globosa";"Microbembex monadonta";"1"
"Eupatorium odoratum";"Microbembex monadonta";"1"
"Waltheria indica";"Microbembex monadonta";"1"
"Stachytarpheta jamaicensis";"Phoebis sennae";"1"
"Cordia sebestena";"Phoebis sennae";"1"
"Merremia umbellata";"Phoebis sennae";"1"
"Cassia occidentalis";"Unidentified sp5 M_PL_035";"1"
"Cassia sp1 M_PL_035";"Unidentified sp5 M_PL_035";"1"
"Euphorbia heterophylla";"Unidentified sp5 M_PL_035";"1"
"Spilanthes urens";"Urbanus proteus";"1"
"Stachytarpheta jamaicensis";"Urbanus proteus";"1"
"Cordia gerascanthus";"Urbanus proteus";"1"
"Stachytarpheta jamaicensis";"Ascia josephina";"1"
"Morinda royoc";"Ascia josephina";"1"
"Morinda royoc";"Centris dirrhoda";"1"
"Bunchosia media";"Centris dirrhoda";"1"
"Bunchosia media";"Centris sp1 M_PL_035";"1"
"Crotalaria verrucosa";"Centris sp1 M_PL_035";"1"
