species.code,genus.species,Kingdom,Phylum,Class,Order,Family,Genus,Species,trophic.group,resolution,size,vertical.stratum,feeding.reference.supplemental.table.2,link.type
S0001,microbes,resource,resource,resource,resource,resource,resource,microbes,resource,static,NA,g,1; 2; 3,3
S0002,fungi,Fungi,resource,resource,resource,resource,resource,fungi,resource,static,NA,g,NA,NA
S0003,carrion,Animalia,resource,resource,resource,resource,resource,carrion,resource,static,NA,g,NA,NA
S0004,dung,resource,resource,resource,resource,resource,resource,dung,resource,static,NA,g,NA,NA
S0005,algae,Plantae,resource,resource,resource,resource,resource,algae,resource,static,NA,g,NA,NA
S0006,litter,Plantae,Angiosperm,resource,resource,resource,resource,litter,resource,static,NA,g,NA,NA
S0007,moss,Plantae,resource,resource,resource,resource,resource,moss,resource,static,NA,g,NA,NA
S0008,Anthriscus_sylvestris,Plantae,Angiosperm,Eudicot,Apiales,Apiaceae,Anthriscus,sylvestris,plant,static,NA,p,NA,NA
S0009,Carum_carvi,Plantae,Angiosperm,Eudicot,Apiales,Apiaceae,Carum,carvi,plant,static,NA,p,NA,NA
S0010,Daucus_carota,Plantae,Angiosperm,Eudicot,Apiales,Apiaceae,Daucus,carota,plant,static,NA,p,NA,NA
S0011,Heracleum_sphondylium,Plantae,Angiosperm,Eudicot,Apiales,Apiaceae,Heracleum,sphondylium,plant,static,NA,p,NA,NA
S0012,Pastinaca_sativa,Plantae,Angiosperm,Eudicot,Apiales,Apiaceae,Pastinaca,sativa,plant,static,NA,p,NA,NA
S0013,Pimpinella_major,Plantae,Angiosperm,Eudicot,Apiales,Apiaceae,Pimpinella,major,plant,static,NA,p,NA,NA
S0014,Achillea_millefolium,Plantae,Angiosperm,Eudicot,Asterales,Asteraceae,Achillea,millefolium,plant,static,NA,p,NA,NA
S0015,Bellis_perennis,Plantae,Angiosperm,Eudicot,Asterales,Asteraceae,Bellis,perennis,plant,static,NA,p,NA,NA
S0016,Centaurea_jacea,Plantae,Angiosperm,Eudicot,Asterales,Asteraceae,Centaurea,jacea,plant,static,NA,p,NA,NA
S0017,Cirsium_oleraceum,Plantae,Angiosperm,Eudicot,Asterales,Asteraceae,Cirsium,oleraceum,plant,static,NA,p,NA,NA
S0018,Crepis_biennis,Plantae,Angiosperm,Eudicot,Asterales,Asteraceae,Crepis,biennis,plant,static,NA,p,NA,NA
S0019,Leontodon_autumnalis,Plantae,Angiosperm,Eudicot,Asterales,Asteraceae,Leontodon,autumnalis,plant,static,NA,p,NA,NA
S0020,Leontodon_hispidus,Plantae,Angiosperm,Eudicot,Asterales,Asteraceae,Leontodon,hispidus,plant,static,NA,p,NA,NA
S0021,Leucanthemum_vulgare,Plantae,Angiosperm,Eudicot,Asterales,Asteraceae,Leucanthemum,vulgare,plant,static,NA,p,NA,NA
S0022,Taraxacum_officinale,Plantae,Angiosperm,Eudicot,Asterales,Asteraceae,Taraxacum,officinale,plant,static,NA,p,NA,NA
S0023,Tragopogon_pratensis,Plantae,Angiosperm,Eudicot,Asterales,Asteraceae,Tragopogon,pratensis,plant,static,NA,p,NA,NA
S0024,Campanula_patula,Plantae,Angiosperm,Eudicot,Asterales,Campanulaceae,Campanula,patula,plant,static,NA,p,NA,NA
S0025,Cardamine_pratensis,Plantae,Angiosperm,Eudicot,Brassicales,Brassicaceae,Cardamine,pratensis,plant,static,NA,p,NA,NA
S0026,Rumex_acetosa,Plantae,Angiosperm,Eudicot,Caryophyllales,Polygonaceae,Rumex,acetosa,plant,static,NA,p,NA,NA
S0027,Knautia_arvensis,Plantae,Angiosperm,Eudicot,Dipsacales,Caprifoliaceae,Knautia,arvensis,plant,static,NA,p,NA,NA
S0028,Primula_veris,Plantae,Angiosperm,Eudicot,Ericales,Primulaceae,Primula,veris,plant,static,NA,p,NA,NA
S0029,Lathyrus_pratensis,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Lathyrus,pratensis,plant,static,NA,p,NA,NA
S0030,Lotus_corniculatus,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Lotus,corniculatus,plant,static,NA,p,NA,NA
S0031,Medicago_lupulina,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Medicago,lupulina,plant,static,NA,p,NA,NA
S0032,Medicago_x,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Medicago,x,plant,static,NA,p,NA,NA
S0033,Onobrychis_viciifolia,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Onobrychis,viciifolia,plant,static,NA,p,NA,NA
S0034,Trifolium_campestre,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Trifolium,campestre,plant,static,NA,p,NA,NA
S0035,Trifolium_dubium,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Trifolium,dubium,plant,static,NA,p,NA,NA
S0036,Trifolium_fragiferum,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Trifolium,fragiferum,plant,static,NA,p,NA,NA
S0037,Trifolium_hybridum,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Trifolium,hybridum,plant,static,NA,p,NA,NA
S0038,Trifolium_pratense,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Trifolium,pratense,plant,static,NA,p,NA,NA
S0039,Trifolium_repens,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Trifolium,repens,plant,static,NA,p,NA,NA
S0040,Vicia_cracca,Plantae,Angiosperm,Eudicot,Fabales,Fabaceae,Vicia,cracca,plant,static,NA,p,NA,NA
S0041,Galium_album,Plantae,Angiosperm,Eudicot,Gentianales,Rubiaceae,Galium,album,plant,static,NA,p,NA,NA
S0042,Geranium_pratense,Plantae,Angiosperm,Eudicot,Geraniales,Geraniaceae,Geranium,pratense,plant,static,NA,p,NA,NA
S0043,Ajuga_reptans,Plantae,Angiosperm,Eudicot,Lamiales,Lamiaceae,Ajuga,reptans,plant,static,NA,p,NA,NA
S0044,Glechoma_hederacea,Plantae,Angiosperm,Eudicot,Lamiales,Lamiaceae,Glechoma,hederacea,plant,static,NA,p,NA,NA
S0045,Prunella_vulgaris,Plantae,Angiosperm,Eudicot,Lamiales,Lamiaceae,Prunella,vulgaris,plant,static,NA,p,NA,NA
S0046,Plantago_lanceolata,Plantae,Angiosperm,Eudicot,Lamiales,Plantaginaceae,Plantago,lanceolata,plant,static,NA,p,NA,NA
S0047,Plantago_media,Plantae,Angiosperm,Eudicot,Lamiales,Plantaginaceae,Plantago,media,plant,static,NA,p,NA,NA
S0048,Veronica_chamaedrys,Plantae,Angiosperm,Eudicot,Lamiales,Plantaginaceae,Veronica,chamaedrys,plant,static,NA,p,NA,NA
S0049,Ranunculus_acris,Plantae,Angiosperm,Eudicot,Ranunulales,Ranunculaceae,Ranunculus,acris,plant,static,NA,p,NA,NA
S0050,Ranunculus_repens,Plantae,Angiosperm,Eudicot,Ranunulales,Ranunculaceae,Ranunculus,repens,plant,static,NA,p,NA,NA
S0051,Sanguisorba_officinalis,Plantae,Angiosperm,Eudicot,Rosales,Rosaceae,Sanguisorba,officinalis,plant,static,NA,p,NA,NA
S0052,Luzula_campestris,Plantae,Angiosperm,Monocot,Poales,Juncaceae,Luzula,campestris,plant,static,NA,p,NA,NA
S0053,Alopecurus_pratensis,Plantae,Angiosperm,Monocot,Poales,Poaceae,Alopecurus,pratensis,plant,static,NA,p,NA,NA
S0054,Anthoxanthum_odoratum,Plantae,Angiosperm,Monocot,Poales,Poaceae,Anthoxanthum,odoratum,plant,static,NA,p,NA,NA
S0055,Arrhenatherum_elatius,Plantae,Angiosperm,Monocot,Poales,Poaceae,Arrhenatherum,elatius,plant,static,NA,p,NA,NA
S0056,Avenula_pubescens,Plantae,Angiosperm,Monocot,Poales,Poaceae,Avenula,pubescens,plant,static,NA,p,NA,NA
S0057,Bromus_erectus,Plantae,Angiosperm,Monocot,Poales,Poaceae,Bromus,erectus,plant,static,NA,p,NA,NA
S0058,Bromus_hordeaceus,Plantae,Angiosperm,Monocot,Poales,Poaceae,Bromus,hordeaceus,plant,static,NA,p,NA,NA
S0059,Cynosurus_cristatus,Plantae,Angiosperm,Monocot,Poales,Poaceae,Cynosurus,cristatus,plant,static,NA,p,NA,NA
S0060,Dactylis_glomerata,Plantae,Angiosperm,Monocot,Poales,Poaceae,Dactylis,glomerata,plant,static,NA,p,NA,NA
S0061,Festuca_pratensis,Plantae,Angiosperm,Monocot,Poales,Poaceae,Festuca,pratensis,plant,static,NA,p,NA,NA
S0062,Festuca_rubra,Plantae,Angiosperm,Monocot,Poales,Poaceae,Festuca,rubra,plant,static,NA,p,NA,NA
S0063,Holcus_lanatus,Plantae,Angiosperm,Monocot,Poales,Poaceae,Holcus,lanatus,plant,static,NA,p,NA,NA
S0064,Phleum_pratense,Plantae,Angiosperm,Monocot,Poales,Poaceae,Phleum,pratense,plant,static,NA,p,NA,NA
S0065,Poa_pratensis,Plantae,Angiosperm,Monocot,Poales,Poaceae,Poa,pratensis,plant,static,NA,p,NA,NA
S0066,Poa_trivialis,Plantae,Angiosperm,Monocot,Poales,Poaceae,Poa,trivialis,plant,static,NA,p,NA,NA
S0067,Trisetum_flavescens,Plantae,Angiosperm,Monocot,Poales,Poaceae,Trisetum,flavescens,plant,static,NA,p,NA,NA
S0068,Discus_ruderatus,Animalia,Mollusca,Gastropoda,Pulmonata/Stylommatophora,Discidae,Discus,ruderatus,herbivore,species,6.25,g,1,2
S0069,Geophilus_flavus,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,Geophilus,flavus,predator,species,30,g,1,2; 5.1
S0070,Geophilus_longicornis,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,Geophilus,longicornis,predator,species,45,g,1,2; 5.1
S0071,Blaniulus_guttulatus,Animalia,Arthropoda,Diplopoda,Julida,Blaniulidae,Blaniulus,guttulatus,detritivore,species,12,i,1; 5,1
S0072,Boreoiulus_tenuis,Animalia,Arthropoda,Diplopoda,Julida,Blaniulidae,Boreoiulus,tenuis,detritivore,species,16,g,1; 5,1
S0073,Cylindroiulus_caeruleocinctus,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Cylindroiulus,caeruleocinctus,detritivore,species,26.5,g,1; 4; 5,1; 2
S0074,Julus_scandinavius,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Julus,scandinavius,detritivore,species,27,g,1; 5,1
S0075,Kryphoiulus_occultus,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Kryphoiulus,occultus,detritivore,species,27,g,1; 5,1
S0076,Ophyiulus_pilosus,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Ophyiulus,pilosus,detritivore,species,28.25,g,1; 5,1
S0077,Tachypodoiulus_niger,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Tachypodoiulus,niger,detritivore,species,34,g,1; 5,1
S0078,Unciger_foetidus,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Unciger,foetidus,detritivore,species,23.25,g,1; 5,1
S0079,Polydesmus_angustus,Animalia,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,Polydesmus,angustus,detritivore,species,20.75,g,1; 5,1
S0080,Polydesmus_inconstans,Animalia,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,Polydesmus,inconstans,detritivore,species,13,g,1; 5,1
S0081,Polydesmus_superus,Animalia,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,Polydesmus,superus,detritivore,species,9,g,1; 5,2
S0082,Propolydesmus_testaceus,Animalia,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,Propolydesmus,testaceus,detritivore,species,15.375,g,1; 5,1
S0083,Lamyctes_emarginatus,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Henicopidae,Lamyctes,emarginatus,predator,species,9,g,1; 6,2; 5.1
S0084,Lamyctes_fulvicornis,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Henicopidae,Lamyctes,fulvicornis,predator,species,9,g,1; 6,2; 5.1
S0085,Lithobius_aeruginosus,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,aeruginosus,predator,species,7.5,g,1; 6,2; 5.1
S0086,Lithobius_forficatus,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,forficatus,predator,species,26,g,1; 6,2; 5.1
S0087,Lithobius_microps,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,microps,predator,species,7.5,g,1; 6,2; 5.1
S0088,Lithobius_piceus,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,piceus,predator,species,17,g,1; 6,1; 5.1
S0089,Armadillidium_vulgare,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,vulgare,detritivore,species,15,g,1; 7,1
S0090,Oniscus_asellus,Animalia,Arthropoda,Malacostraca,Isopoda,Oniscidae,Oniscus,asellus,detritivore,species,16.5,g,1; 7,1
S0091,Lepidoniscus_hypnorum,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Lepidoniscus,hypnorum,detritivore,species,9,g,1; 7,1
S0092,Philoscia_muscorum,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Philoscia,muscorum,detritivore,species,11,g,1; 7,1
S0093,Porcellio_scaber,Animalia,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,scaber,detritivore,species,16,g,1; 7,1
S0094,Trachelipus_rathkii,Animalia,Arthropoda,Malacostraca,Isopoda,Trachelipodidae,Trachelipus,rathkii,detritivore,species,15,g,1; 7,1
S0095,Hyloniscus_riparius,Animalia,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,Hyloniscus,riparius,detritivore,species,6,g,1; 8,1
S0096,Forficula_auricularia,Animalia,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,auricularia,omnivore,species,14,g,1; 10,1; 5.1
S0097,Chorthippus_albomarginatus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Chorthippus,albomarginatus,herbivore,species,17.125,h,11; 12,1; 2
S0098,Chorthippus_apricarius,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Chorthippus,apricarius,herbivore,species,16.625,h,11; 12,1; 2
S0099,Chorthippus_biguttulus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Chorthippus,biguttulus,herbivore,species,17,h,11; 12,1; 2
S0100,Chorthippus_dorsatus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Chorthippus,dorsatus,herbivore,species,19,h,11; 12,1; 2
S0101,Chorthippus_parallelus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Chorthippus,parallelus,herbivore,species,17.25,h,11; 12; 13,1; 2
S0102,Stenobothrus_lineatus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Stenobothrus,lineatus,herbivore,species,20.5,i,11; 12,2
S0103,Acheta_domesticus,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,domesticus,detritivore,species,18,g,11,1
S0104,Tetrix_subulata,Animalia,Arthropoda,Insecta,Orthoptera,Tetrigidae,Tetrix,subulata,herbivore,species,14,i,11,1
S0105,Tetrix_tenuicornis,Animalia,Arthropoda,Insecta,Orthoptera,Tetrigidae,Tetrix,tenuicornis,herbivore,species,9.5,g,11,1
S0106,Orius_minutus,Animalia,Arthropoda,Insecta,Hemiptera,Anthocoridae,Orius,minutus,omnivore,species,2.35,h,14; 15; 16,3; 5.4
S0107,Orius_niger,Animalia,Arthropoda,Insecta,Hemiptera,Anthocoridae,Orius,niger,omnivore,species,2.05,h,15,3; 5.4
S0108,Neophilaenus_campestris,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae,Neophilaenus,campestris,herbivore,species,5.35,h,17,1
S0109,Berytinus_clavipes,Animalia,Arthropoda,Insecta,Hemiptera,Berytidae,Berytinus,clavipes,herbivore,species,6,h,19,2
S0110,Philaenus_spumarius,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Philaenus,spumarius,herbivore,species,5.9,h,17; 18; 19,1; 2
S0111,Agallia_brachyptera,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Agallia,brachyptera,herbivore,species,3,h,17; 18; 19,2
