"Massana, R., Garcia-Cantizano, J., and Pedros-Alio, C. (1996). Components, structure and fluxes of the microbial food web in a small, stratified lake. Aquatic Microbial Ecology. 11, pp. 279-288.",,,,
Microbial food web - Lake Ciso - Girona - Spain,Algivorous ciliates,Microphagous,Algivorous rotifers,Thermocyclops
Colorless bacteria,0,1,0,0
Phototrophic bacteria,0,1,0,0
Cryptomonas,1,0,1,1
Other Algae,0,1,1,1
Algivorous ciliates,0,0,0,1
Microphagous,0,0,0,1
Algivorous rotifers,0,0,0,1
Thermocyclops,0,0,0,0
