"Lancraft, T.M., Hopkins, T.L., Torres, J.J., and Donnelly, J. (1991). Oceanic micronektonic/macrozooplanktonic community structure and feeding in ice covered Antarctic waters during the winter (AMERIEZ 1988). Polar Biol. 11, pp. 157-167.",,,,,,,,,,,,,,,
Common micronekton and macrozooplankton species - ice edge zone Antarctic waters - Winter,E. superba,C.lucasii,S. gazellae (30-60mm),S. gazellae (60-90mm),S. thompsoni,B. picta,B. antarcticus (60-90mm),B. antarcticus (90-120mm),E. antarctica (30-60mm),E. antarctica (60-90mm),E. antarctica (90-120mm),G. braueri (60-90mm),G. braueri (90-120mm),P. bolini,P. tenisoni
Diatoms,18,0,0,0,15,0,0,0,0,0,0,0,0,0,0
Dinoflaggelates,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0
Silicoflagellates,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Foraminifera,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Radiolarians,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0
Tintinnids,15,0,0,0,15,0,0,0,0,0,0,2,0,0,0
Oithona,1,0,0,0,11,0,0,0,0,0,0,2,0,0,0
Oncaea,0,0,0,0,0,0,8,11,2,2,0,1,0,0,0
Calanidae,0,0,1,0,0,0,0,2,0,0,1,2,1,4,3
Aetideidae,0,0,0,0,0,0,0,2,0,1,0,3,1,2,0
Euchaeta,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
Metridia,0,0,1,0,0,0,3,5,7,1,0,0,1,4,11
Pleuromamma,0,0,0,0,0,0,0,0,1,2,0,3,0,1,0
Heterorhabdus,0,0,0,0,0,0,3,4,0,2,0,5,1,0,1
Other copepods,1,0,0,0,14,0,6,5,3,1,0,23,5,1,0
Copepod nauplii,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Conchoecia,0,0,0,0,0,0,5,12,15,19,3,0,0,10,0
Euphausia,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0
Thysanoessa,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Euphausiids,1,0,1,4,0,1,0,0,16,21,2,23,3,4,15
Euphausid larvae,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
Hyperids,0,0,0,0,0,0,1,5,0,2,0,2,0,0,0
Siphonophores,0,12,0,0,0,0,6,8,2,2,0,0,0,0,0
Pelagobia,3,1,0,0,0,0,4,5,1,4,0,6,7,7,4
Limacina,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Oikopleura,0,0,0,0,0,0,1,0,6,1,0,4,2,0,0
Salpa,0,8,0,0,0,0,0,4,0,0,0,0,1,0,0
Gelatinous tunicates,0,1,0,0,0,0,2,4,0,1,0,3,0,0,0
Eukrohnia,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1
Chaetognaths,0,0,0,1,0,0,0,0,2,1,0,0,0,1,2
Others,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
