"sp_taxon_1";"sp_taxon_2";"value"
"Mytilus";"detritus";"1"
"Carcinus";"detritus";"1"
"Corophium";"detritus";"1"
"gammarids";"detritus";"1"
"oystercatcher";"Mytilus";"1"
"eider";"Mytilus";"1"
"eider";"Carcinus";"1"
"turnstone";"Carcinus";"1"
"turnstone";"Corophium";"1"
"turnstone";"gammarids";"1"
"butterfish";"gammarids";"1"
"blenny";"gammarids";"1"
"goby";"gammarids";"1"
"gulls";"Mytilus";"1"
"gulls";"Carcinus";"1"
"gulls";"eider";"1"
