"Douglas, J.G., Duffy, J.E., and Canuel, E.A. (2011). Food Web Structure in a Chesapeake Bay Eelgrass Bed as Determined through Gut Contents and 13C and 15N Isotope Analysis. Estuaries and Coasts. 34, pp. 701-711.",,,,,,,,,,,
Zostera marina (eelgrass) - Seagrass Foodweb matrix (gut contents) - May 2006 - Goodwin Islands - USA,A. longimana,A. valida,C. penantis,Crangon,Cymadusa,Gammarus,Hippolyte,Idotea,Palaemonetes vulgaris,Sygnathus fuscus,Blue crab
Detritus,1,1,1,1,1,1,1,1,1,0,0
Sediment,1,1,1,1,1,1,1,1,1,0,1
Gammaridean amphipods,0,0,0,0,0,0,0,0,1,1,0
Dinoflagellates,0,0,1,0,0,1,0,0,0,0,0
Crustacean Parts,0,0,0,0,0,0,0,0,1,0,0
Nematodes,1,0,0,0,0,0,0,0,0,0,0
Diatoms,1,0,0,0,0,0,0,0,0,0,1
Macroalgae,1,0,0,0,1,0,0,0,0,0,0
Unid. Macrophytes,1,1,0,0,0,1,0,0,0,0,0
Barnacles,0,0,0,0,0,0,0,0,0,0,1
Bivalves,0,0,0,0,0,0,0,0,0,0,1
