"Douglas, J.G., Duffy, J.E., and Canuel, E.A. (2011). Food Web Structure in a Chesapeake Bay Eelgrass Bed as Determined through Gut Contents and 13C and 15N Isotope Analysis. Estuaries and Coasts. 34, pp. 701-711.",,,,,,,,,,,
Zostera marina (eelgrass) - Seagrass Foodweb matrix (gut contents) - August 2006 - Goodwin Islands - USA,A. longimana,Cymadusa,Elasmopus,Erichsonella,Hippolyte,P. vulgaris,Penaid,Sygnathus fuscus,Sygnathus floridae,Gobiesoma bosci,Gobiesox strumosus
Detritus,1,1,1,1,1,1,1,0,0,0,0
Sediment,1,1,1,1,1,1,1,0,0,1,0
Foraminifera,0,0,0,0,0,1,0,0,0,0,0
Erichsonella,0,0,0,0,0,1,0,1,0,1,0
Diatoms,1,0,0,0,0,1,0,0,0,0,0
Polychaetes,0,0,0,0,0,0,1,0,0,0,0
Macroalgae,0,0,0,1,0,0,0,0,0,0,0
Ostracods,0,0,0,0,0,1,0,0,0,0,0
Unid. Macrophytes,1,1,1,0,0,0,0,0,0,0,0
Crustacean Parts,0,0,1,0,1,1,0,0,0,0,0
Gammaridean amphipods,0,0,0,0,0,0,0,1,1,1,1
Copepods,0,0,0,0,0,0,0,1,0,0,0
Ostracods 1,0,0,0,0,0,0,0,0,0,0,1
Polychates,0,0,0,0,0,0,0,0,0,1,0
Crepidulids,0,0,0,0,0,0,0,0,1,1,0
Caprellid amphipods,0,0,0,0,0,0,0,0,1,1,0
