name,lat,lon
Adzharia,42,42.65
Akmolinsk,51.166667,71.416667
Altai,49,89
Amur,50.283333,127.533333
Amur-Bureya,49.81212,129.81278
Armenia,40.183529,44.516602
Central Yakutia,66.4,129.166667
Chimkent,42.316667,69.595833
Dzhungarsky Alatau,45,80
East Balkhash,46.166667,74.333333
East Pamir,39,72
Gissar,38.7775,68.423056
Guriev,47.256864,52.064209
Kabarda,43.583333,43.4
Kamchatka,57,160
Khabarovsk,48.483333,135.066667
Khasan,42.435906,130.611006
Kostroma,57.766667,40.933333
Krasnojarsk,56.016667,93.066667
Kurgan,55.566667,64.75
Kursk,51.716667,36.183333
Kustanai,53.2,63.633333
Middle Ural,58.066256,59.002075
Mongolia-Central Khangay,47.5,100
Mongolia-NorthWestern Khangay,47.569114,99.162598
Moscow,55.75,37.616667
Moyyunkum,44.284045,72.948189
Nakhichevan,39.208889,45.412222
North Kyrgyzstan,42.866667,74.6
North Russian Far East,65.694476,148.710938
Novosibirsk,55.016667,82.933333
Pavlodar,52.3,76.95
Poland,52.233333,21.016667
Pre-Polar Ural,65.127638,60.644531
Scotland,55.95,-3.183333
Selenga,49.261111,100.679167
Slovakia,48.719961,19.493866
Southwestern Azerbajan,39.661742,46.761932
Sweden,63.708677,15.484886
Syugaty,43.175123,74.66506
Taimyr,72.659588,96.152344
Tarbagatai,47.734879,82.036028
Terskey-Alatau,42.153056,78.436667
Tomsk-Tumen,54.562508,75.591431
Trans-Ili Alatau,43.05,77.25
Turkmenistan,39.588757,58.952637
Tyva,51.851049,95.765076
Ural Valley,51.420062,52.362815
Ussury,46.61596,134.004707
Volga-Kama,55.332269,49.724121
Western Sayan,52.192456,93.644714
