Lake;Latitude;Longitude
AlfordLake;44 15 36;-74 02 19
BalsomLake;43 37 42;-74 47 50
BeaverLake;43 39 04;-74 45 08
BigHopeLake;44 30 43;-74 07 30
BrandyLake;44 17 05;-74 21 34
BridgeBrookLake;44 09 45;-74 34 11
BrookTroutLake;43 36 00;-74 39 45
BuckPond;45 31 48;-75 03 48
BurntbridgeLake;44 12 44;-74 42 34
CascadeLake;43 47 21;-74 48 46
ChubLake;43 49 57;-74 47 14
ChubPond;43 31 40;-75 03 20
ConneryLake;44 18 23;-73 56 06
ConstableLake;43 49 50;-74 48 27
DeepLake;43 36 58;-74 39 52
EmeraldLake;44 01 22;-75 01 16
FallsLake;43 37 57;-74 41 00
FawnLake;43 42 48;-74 46 46
FederationLake;44 20 23;-74 24 44
GooseLake;43 46 49;-74 54 19
GrassLake;44 22 37;-74 20 50
GullLake;43 33 05;-75 04 05
GullLakeNorth;43 51 45;-74 49 11
HelldiverPond;43 40 10;-74 42 00
HighPond;44 05 07;-74 39 34
HoelLake;44 21 29;-74 21 43
HorseshoeLake;44 19 02;-74 21 38
IndianLake;43 37 24;-74 45 44
LittleRainbowLake;44 21 33;-74 19 45
LongLake;44 18 59;-73 55 45
LoonLake;44 29 15;-74 10 02
LostLake;44 27 43;-74 17 02
LostLakeEast;43 41 16;-74 39 58
LowerSisterLake;43 52 18;-74 46 40
OswegoLake;43 51 01;-74 54 00
OwlLake;44 16 06;-74 09 11
RatLake;44 21 10;-74 18 42
RazorbackLake;43 50 55;-74 55 23
RockLake;44 00 38;-75 01 06
RussianLake;43 50 29;-74 48 25
SaffordLake;43 47 03;-74 54 55
SandLake;44 00 38;-75 00 39
SouthLake;43 50 38;-74 52 53
SquawLake;45 38 10;-74 44 20
StinkLake;43 37 51;-74 48 37
TwelfthTeeLake;44 20 30;-74 20 30
TwinLakeEast;43 37 13;-74 38 08
TwinLakeWest;43 37 03;-74 38 30
WhippleLake;44 23 38;-74 18 10
WolfLake;43 37 38;-74 39 23
