	"Vol"	"Area"	"pH"
1	79.7	13.8	6.38
2	59.7	6.9	4.78
3	1066.5	55	6.01
4	515.8	8.9	5.72
5	37.4	2.4	4.75
6	1787.7	67.6	6.69
7	2419.5	28.7	4.83
8	38.9	2.4	4.71
9	175.4	21.9	6.92
10	1718.9	40.1	6.66
11	717.3	18.6	5.15
12	1069.7	40.1	5.91
13	1736.9	32.8	7.05
14	434.7	20.6	4.72
15	946.5	11.8	4.6
16	34.2	5.3	4.56
17	428.1	14.6	4.46
18	20	6.5	4.773
19	88.8	2	4.39
20	45.5	6.9	5.68
21	125.2	8.9	5.42
22	933.5	50.6	5.13
23	266.3	10.1	4.73
24	112.2	6.5	4.71
25	901.6	15.8	4.87
26	14777.6	181.7	6.52
27	1616.5	34.4	6.53
28	981	33.2	4.45
29	33.2	4.5	6.45
30	134.7	6.5	6.72
31	175.8	8.5	4.64
32	52.1	2.4	4.82
33	196.6	7.8	7.32
34	546.6	34	4.6
35	56.3	3.2	4.87
36	119.8	6.1	4.83
37	433.3	11.7	6.21
38	193.1	5.3	5.83
39	580.1	21.9	4.92
40	5562.1	15	4.67
41	350.7	17.4	5.3
42	1471.4	29.1	4.83
43	315.7	16.2	4.56
44	1249.2	36.4	5.75
45	83.6	2.8	6.88
46	77.3	2	4.75
47	104	7.7	4.39
48	134.3	7.6	4.17
49	59	3.6	4.91
50	121	4.5	4.19
