Nb	Name	Fish	Carn_zoo	Herb_crust	Herb_rot	Phyto			
138	Tcaudatum	0	0	0	0	1			
139	Tsp	0	0	0	0	1			
140	Botryococcusbraunii	0	0	0	0	1			
141	Crucigeniaquadrata	0	0	0	0	1			
142	Crectangularis	0	0	0	0	1			
143	Ctetrapaedia	0	0	0	0	1			
144	Ccrucifera	0	0	0	0	1			
145	Spondylosiumplanum	0	0	0	0	1			
146	Ankistrodesmusfalcatus	0	0	0	0	1			
147	Quadrigulaclosterioides	0	0	0	0	1			
148	Pediastrumtetras	0	0	0	0	1			
149	Scenedesmussp	0	0	0	0	1			
150	Squadricauda	0	0	0	0	1			
151	Sdimorphus	0	0	0	0	1			
152	Slongus	0	0	0	0	1			
153	Sserratus	0	0	0	0	1			
154	Sarcuatus	0	0	0	0	1			
155	Cosmariumsp	0	0	0	0	1			
156	Euastrumsp	0	0	0	0	1			
157	Closteriumsp	0	0	0	0	1			
158	Micrasteriassp	0	0	0	0	1			
159	Ankistrodesmussp	0	0	0	0	1			
160	Aspiralis	0	0	0	0	1			
161	Quadrigulasp	0	0	0	0	1			
162	Qlacustris	0	0	0	0	1			
163	Dimorphocuccuslunatus	0	0	0	0	1			
164	Nephrocytiumsp	0	0	0	0	1			
165	Dictyosphaeriumpulchellum	0	0	0	0	1			
166	Carteriasp	0	0	0	0	1			
167	Chlamydomonassp	0	0	0	0	1			
168	Rhizosoleniaeriensis	0	0	0	0	1			
169	Pleurosigmasp	0	0	0	0	1			
170	Cocconeiasp	0	0	0	0	1			
171	Naviculasp	0	0	0	0	1			
172	Tabellariafenestrata	0	0	0	0	1			
173	Tflocculosa	0	0	0	0	1			
174	Asterionellaformosa	0	0	0	0	1			
175	Melosirasp	0	0	0	0	1			
176	Cyclotellaglomerata	0	0	0	0	1			
177	Cmichiganiana	0	0	0	0	1			
178	Csp	0	0	0	0	1			
179	Fragillariacrotonensis	0	0	0	0	1			
180	Fintermedia	0	0	0	0	1			
181	Fsp	0	0	0	0	1			
182	Nitzschiasp	0	0	0	0	1			
183	Gyrosigmasp	0	0	0	0	1			
184	Gomphonemasp	0	0	0	0	1			
185	Synedranana	0	0	0	0	1			
186	Sulna	0	0	0	0	1			
187	Diatomasp	0	0	0	0	1			
188	Mallamonashamata	0	0	0	0	1			
189	Macaroides	0	0	0	0	1			
190	Mhindonii	0	0	0	0	1			
191	Makrokomos	0	0	0	0	1			
192	Msp	0	0	0	0	1			
193	Dinobryonbavaricum	0	0	0	0	1			
194	Ddivergens	0	0	0	0	1			
195	Dsertularia	0	0	0	0	1			
196	Dsp	0	0	0	0	1			
197	Dicerassp	0	0	0	0	1			
198	Chrysocapsaplanktonica	0	0	0	0	1			
199	Chrysosphaerellalongispina	0	0	0	0	1			
200	Synurauvella	0	0	0	0	1			
201	Ssp	0	0	0	0	1			
202	Uroglenopsisamericana	0	0	0	0	1			
203	Keriphyronsp	0	0	0	0	1			
204	Merismopediatenuissima	0	0	0	0	1			
205	Mpunctata	0	0	0	0	1			
206	Chroococcuslimneticus	0	0	0	0	1			
207	Csp	0	0	0	0	1			
208	Aphanothecesp	0	0	0	0	1			
209	Anabaenasp	0	0	0	0	1			
210	Aflos-aquae	0	0	0	0	1			
211	Coelosphaeriumsp	0	0	0	0	1			
212	Cpallidum	0	0	0	0	1			
213	Aphanocapsasp	0	0	0	0	1			
214	Lyngbyasp	0	0	0	0	1			
215	Rhabdodermalineare	0	0	0	0	1			
216	Rgorksii	0	0	0	0	1			
217	Rsp	0	0	0	0	1			
218	Anacystisincerta	0	0	0	0	1			
219	Microsystissp	0	0	0	0	1			
220	benthicdetritus	0	0	0	0	1			
221	periphyton	0	0	0	0	1			
									
									

