       42      6     7     8     9    10    11    12    13    14    15    16
        1      0     0     1     1     1     1     1     0     0     0     0
        2      0     0     0     0     0     1     1     0     0     0     1
        3      0     0     0     0     0     0     1     0     0     0     1
        4      1     0     0     0     0     0     0     0     0     0     0
        5      1     1     0     0     0     0     0     0     0     0     0
        6      0     1     1     1     1     0     0     0     0     0     0
        7      0     0     1     1     1     0     0     0     0     0     0
        8      0     0     0     1     1     1     1     1     1     0     0
        9      0     0     0     0     0     0     0     1     1     1     1
       10      0     0     0     0     0     0     0     1     1     1     1
       11      0     0     0     0     0     0     0     0     1     1     1
       12      0     0     0     0     0     0     0     0     0     1     0
       13      0     0     0     0     0     0     0     0     1     1     1
       14      0     0     0     0     0     0     0     0     0     1     1
       15      0     0     0     0     0     0     0     0     0     0     1


