"sp_taxon_1";"sp_taxon_2";"value";"type"
"Tropocyclops parsinus";"Ceriodaphnia quadrangula";"1";"predation"
"Tropocyclops parsinus";"K. taurocephala";"1";"predation"
"Tropocyclops parsinus";"Gastropus stylifer";"1";"predation"
"Tropocyclops parsinus";"P. major";"1";"predation"
"Tropocyclops parsinus";"P. remata";"1";"predation"
"Tropocyclops parsinus";"P. inconspicuum";"1";"herbivory"
"copepod nauplii";"periphyton";"1";"herbivory"
"Diaptomus minutus";"Oocyctis sp.";"1";"herbivory"
"Diaptomus minutus";"Sphaerocystis schroeteri";"1";"predation"
"Diaptomus minutus";"Tetraedrom minimum";"1";"herbivory"
"Diaptomus minutus";"Cosmarium sp.";"1";"herbivory"
"Diaptomus minutus";"M. sp.";"1";"herbivory"
"Diaptomus minutus";"D. sp.";"1";"herbivory"
"Diaptomus minutus";"S. sp.";"1";"herbivory"
"Diaptomus minutus";"Anabaena sp.";"1";"herbivory"
"D. ambigua";"periphyton";"1";"herbivory"
"Bosmina longirsotris";"periphyton";"1";"herbivory"
"Diaphanosoma birgei";"periphyton";"1";"herbivory"
"Holopedium gibberum";"Oocyctis sp.";"1";"herbivory"
"Holopedium gibberum";"Sphaerocystis schroeteri";"1";"predation"
"Holopedium gibberum";"Tetraedrom minimum";"1";"herbivory"
"Holopedium gibberum";"Cosmarium sp.";"1";"herbivory"
"Holopedium gibberum";"M. sp.";"1";"herbivory"
"Holopedium gibberum";"D. sp.";"1";"herbivory"
"Holopedium gibberum";"S. sp.";"1";"herbivory"
"Holopedium gibberum";"Anabaena sp.";"1";"herbivory"
"Ceriodaphnia quadrangula";"periphyton";"1";"herbivory"
"K. taurocephala";"periphyton";"1";"herbivory"
"Gastropus stylifer";"periphyton";"1";"herbivory"
"P. major";"periphyton";"1";"herbivory"
"P. remata";"periphyton";"1";"herbivory"
