"name";"bold";"eol";"tsn";"ncbi"
"Salvelinus fontinalis";10563;6985369;162003;8038
"Notemigonus crysoleucas";34631;NA;641824;28800
"Ictalurus nebulosus";NA;NA;164044;27778
"Fish fry";NA;NA;NA;NA
"Epishura lacustris";NA;NA;NA;NA
"Cyclops vernalis";NA;6261995;NA;245077
"Tropocyclops parsinus";NA;NA;NA;NA
"Asplanchna";31555;11203857;59239;84396
"Copepod nauplii";NA;NA;NA;NA
"Diaptomus minutus";NA;NA;NA;NA
"Bosmina longirsotris";NA;NA;NA;NA
"Diaphanosoma birgei";51865;NA;83842;527128
"Holopedium gibberum";8953;5953870;83957;77711
"Chydorus sphaericus";78201;5953245;83993;77745
"Ceriodaphnia quadrangula";51836;5952745;83907;302196
"Chydorus bicornutus";99462;5953269;84000;NA
"Alona affinis";71407;5953447;83979;381656
"Ophryoxus gracilis";10096;NA;684667;77752
"Kelicottia bostoniensis";NA;NA;NA;NA
"Keratella crassa";NA;5868977;58370;NA
"Keratella taurocephala";NA;5868972;58381;NA
"T. multicrinis";NA;NA;NA;NA
"Trichocerca similis";281612;NA;59079;2005554
"Gastropus stylifer";NA;5869489;59177;NA
"Ploesoma truncatum";NA;5870205;59283;NA
"Ploesoma hudsoni";NA;5870206;59291;360690
"Polyarthra major";NA;5870158;59275;NA
"Polyarthra remata";212142;5870152;59276;360693
"Polyarthra vulgaris";653372;5870153;59277;1492280
"C. unicornis";NA;NA;NA;NA
"Lecane";271798;5870380;58638;96445
"Ascomorpha ecaudis";669081;5869477;59169;1336598
"Periphyton";NA;NA;NA;NA
"Fish eggs";NA;NA;NA;NA
"Peridinium limbatum";NA;7639299;10332;407207
"P. wisconsinense";NA;NA;NA;NA
"Peridinium inconspicuum";317102;NA;10331;425808
"Cosmarium";439935;10240036;7852;33100
"Cryptomonas ovata";181183;7633003;10646;70450
"Oocyctis";NA;NA;NA;NA
"Schroederia setigera";440607;NA;NA;132188
"Arthrodesmus incus";NA;7593227;8306;NA
"Arthrodesmus subulatus";NA;7593266;8285;292470
"Pediastrum tetras";NA;NA;6056;271398
"Scenedesmus";440564;11211456;6108;3087
"Scenedesmus quadricauda";440565;7868963;6114;3089
"S. dimorphus";NA;NA;NA;NA
"Mallamonas";NA;NA;NA;NA
"Dinobryon sertularia";NA;6472099;NA;98060
"Dinobryon";99200;5795279;1520;98059
"Chrysocapsa planktonica";NA;5793938;1861;NA
"Synura uvella";604609;8215478;1656;52557
"Uroglenopsis americana";NA;NA;NA;98068
"Keriphyron";NA;NA;NA;NA
"Merismopedia punctata";NA;8237439;738;882065
"Lyngbya";NA;7702053;873;28073
"Semotilus atromaculatus";56066;7097587;NA;67558
"Catostomus commersoni";NA;NA;553273;7971
"Chrosomus eos";495932;7162645;913993;42663
