"original_name";"name_clear"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"K. longispina";"Kelicottia longispina"
"K. taurocephala";"Keratella taurocephala"
"T. multicrinis";"T_multicrinis"
"Gastropus stylifer";"Gastropus stylifer"
"Synchaeta sp.";"Synchaeta"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"nanoflagellates";"Nanoflagellates"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Schroederia setigera";"Schroederia setigera"
"Scenedesmus sp.";"Scenedesmus"
"Closterium sp.";"Closterium"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"D. sp.";"Dinobryon"
"M. punctata";"Merismopedia punctata"
"A. flos-aquae";"Anabaena flos-aquae"
