"original_name";"name_clear"
"Salvelinus fontinalis";"Salvelinus fontinalis"
"Semotilus atromaculatus";"Semotilus atromaculatus"
"fish fry";"Fish fry"
"Epishura lacustris";"Epishura lacustris"
"Mesocyclops edax";"Mesocyclops edax"
"Tropocyclops parsinus";"Tropocyclops parsinus"
"copepod nauplii";"Copepod nauplii"
"Diaptomus minutus";"Diaptomus minutus"
"D. leptomus";"Diaptomus leptopus"
"D. catawba";"Daphnia catawba"
"Bosmina longirsotris";"Bosmina longirsotris"
"Diaphanosoma birgei";"Diaphanosoma birgei"
"Holopedium gibberum";"Holopedium gibberum"
"K. longispina";"Kelicottia longispina"
"K. crassa";"Keratella crassa"
"K. taurocephala";"Keratella taurocephala"
"Catostomus commersoni";"Catostomus commersoni"
"P. inconspicuum";"Peridinium inconspicuum"
"P. cinctum";"Peridinium cinctum"
"Gymnodinium palustre";"Gymnodinium palustre"
"Cosmarium sp.";"Cosmarium"
"Asterionella formosa";"Asterionella formosa"
"Melosira sp.";"Melosira"
"S. ulna";"Synedra ulna"
"fish eggs";"Fish eggs"
"Cryptomonas ovata";"Cryptomonas ovata"
"C. erosa";"Cryptomonas erosa"
"Oocyctis sp.";"Oocyctis"
"Sphaerocystis schroeteri";"Sphaerocystis schroeteri"
"Schroederia setigera";"Schroederia setigera"
"Elakatrothrix gelatinosa";"Elakatothrix gelatinosa"
"Tetraedrom minimum";"Tetraedrom minimum"
"C. tetrapaedia";"C. tetrapaedia"
"S. quadricauda";"Scenedesmus quadricauda"
"S. longus";"Scenedesmus longus"
"Dictyosphaerium pulchellum";"Dictyosphaerium pulchellum"
"M. sp.";"Mallamonas"
"Dinobryon bavaricum";"Dinobryon bavaricum"
"D. sp.";"Dinobryon"
"Merismopedia tenuissima";"Merismopedia tenuissima"
"R. sp.";"R_sp1"
