"sp_taxon_1";"sp_taxon_2";"value";"type"
"C. vernalis";"P. inconspicuum";"1";"herbivory"
"Tropocyclops parsinus";"C. vernalis";"1";"predation"
"Tropocyclops parsinus";"Tropocyclops parsinus";"1";"predation"
"Tropocyclops parsinus";"copepod nauplii";"1";"predation"
"Tropocyclops parsinus";"Diaptomus minutus";"1";"predation"
"Tropocyclops parsinus";"Bosmina longirsotris";"1";"predation"
"Tropocyclops parsinus";"Chydorus sphaericus";"1";"predation"
"Tropocyclops parsinus";"Ceriodaphnia quadrangula";"1";"predation"
"Tropocyclops parsinus";"Chydorus bicornutus";"1";"predation"
"Tropocyclops parsinus";"A. affinis";"1";"predation"
"Tropocyclops parsinus";"Ophryoxus gracilis";"1";"predation"
"Tropocyclops parsinus";"Kelicottia bostoniensis";"1";"predation"
"Tropocyclops parsinus";"K. crassa";"1";"predation"
"Tropocyclops parsinus";"K. taurocephala";"1";"predation"
"Tropocyclops parsinus";"T. multicrinis";"1";"predation"
"Tropocyclops parsinus";"T. similis";"1";"predation"
"Tropocyclops parsinus";"Gastropus stylifer";"1";"predation"
"Tropocyclops parsinus";"Ploesoma truncatum";"1";"predation"
"Tropocyclops parsinus";"P. hudsoni";"1";"predation"
"Tropocyclops parsinus";"P. major";"1";"predation"
"Tropocyclops parsinus";"P. remata";"1";"predation"
"Tropocyclops parsinus";"P. vulgaris";"1";"predation"
"Tropocyclops parsinus";"C. unicornis";"1";"predation"
"Tropocyclops parsinus";"Lecane sp.";"1";"predation"
"Tropocyclops parsinus";"Ascomorpha ecaudis";"1";"predation"
"Tropocyclops parsinus";"Peridinium limbatum";"1";"herbivory"
"Tropocyclops parsinus";"P. wisconsinense";"1";"predation"
"Tropocyclops parsinus";"P. inconspicuum";"1";"herbivory"
"Asplanchna sp.";"Kelicottia bostoniensis";"1";"predation"
"Asplanchna sp.";"K. crassa";"1";"predation"
"Asplanchna sp.";"K. taurocephala";"1";"predation"
"Asplanchna sp.";"T. multicrinis";"1";"predation"
"Asplanchna sp.";"T. similis";"1";"predation"
"Asplanchna sp.";"Gastropus stylifer";"1";"predation"
"Asplanchna sp.";"Ploesoma truncatum";"1";"predation"
"Asplanchna sp.";"P. hudsoni";"1";"predation"
"Asplanchna sp.";"P. major";"1";"predation"
"Asplanchna sp.";"P. remata";"1";"predation"
"Asplanchna sp.";"P. vulgaris";"1";"predation"
"Asplanchna sp.";"C. unicornis";"1";"predation"
"Asplanchna sp.";"Lecane sp.";"1";"predation"
"Asplanchna sp.";"Ascomorpha ecaudis";"1";"predation"
"Asplanchna sp.";"Peridinium limbatum";"1";"herbivory"
"Asplanchna sp.";"P. wisconsinense";"1";"predation"
"Asplanchna sp.";"P. inconspicuum";"1";"herbivory"
"copepod nauplii";"Cryptomonas ovata";"1";"herbivory"
"Diaptomus minutus";"Cryptomonas ovata";"1";"herbivory"
"Diaptomus minutus";"Oocyctis sp.";"1";"herbivory"
"Diaptomus minutus";"Schroederia setigera";"1";"herbivory"
"Diaptomus minutus";"Arthrodesmus incus";"1";"herbivory"
"Diaptomus minutus";"A. subulatus";"1";"predation"
"Diaptomus minutus";"Pediastrum tetras";"1";"predation"
"Diaptomus minutus";"Scenedesmus sp.";"1";"herbivory"
"Diaptomus minutus";"S. quadricauda";"1";"herbivory"
"Diaptomus minutus";"S. dimorphus";"1";"herbivory"
"Diaptomus minutus";"Cosmarium sp.";"1";"herbivory"
"Diaptomus minutus";"M. sp.";"1";"herbivory"
"Diaptomus minutus";"D. sertularia";"1";"predation"
"Diaptomus minutus";"D. sp.";"1";"herbivory"
"Diaptomus minutus";"Chrysocapsa planktonica";"1";"herbivory"
"Diaptomus minutus";"Synura uvella";"1";"predation"
"Diaptomus minutus";"Uroglenopsis americana";"1";"herbivory"
"Diaptomus minutus";"Keriphyron sp.";"1";"herbivory"
"Diaptomus minutus";"M. punctata";"1";"predation"
"Diaptomus minutus";"Lyngbya sp.";"1";"herbivory"
"Bosmina longirsotris";"Cryptomonas ovata";"1";"herbivory"
"Diaphanosoma birgei";"Cryptomonas ovata";"1";"herbivory"
"Holopedium gibberum";"Cryptomonas ovata";"1";"herbivory"
"Holopedium gibberum";"Oocyctis sp.";"1";"herbivory"
"Holopedium gibberum";"Schroederia setigera";"1";"herbivory"
"Holopedium gibberum";"Arthrodesmus incus";"1";"herbivory"
"Holopedium gibberum";"A. subulatus";"1";"predation"
"Holopedium gibberum";"Pediastrum tetras";"1";"predation"
"Holopedium gibberum";"Scenedesmus sp.";"1";"herbivory"
"Holopedium gibberum";"S. quadricauda";"1";"herbivory"
"Holopedium gibberum";"S. dimorphus";"1";"herbivory"
"Holopedium gibberum";"Cosmarium sp.";"1";"herbivory"
"Holopedium gibberum";"M. sp.";"1";"herbivory"
"Holopedium gibberum";"D. sertularia";"1";"predation"
"Holopedium gibberum";"D. sp.";"1";"herbivory"
"Holopedium gibberum";"Chrysocapsa planktonica";"1";"herbivory"
"Holopedium gibberum";"Synura uvella";"1";"predation"
"Holopedium gibberum";"Uroglenopsis americana";"1";"herbivory"
"Holopedium gibberum";"Keriphyron sp.";"1";"herbivory"
"Holopedium gibberum";"M. punctata";"1";"predation"
"Holopedium gibberum";"Lyngbya sp.";"1";"herbivory"
"Chydorus sphaericus";"Cryptomonas ovata";"1";"herbivory"
"Chydorus sphaericus";"periphyton";"1";"herbivory"
"Ceriodaphnia quadrangula";"Cryptomonas ovata";"1";"herbivory"
"Chydorus bicornutus";"periphyton";"1";"herbivory"
"A. affinis";"periphyton";"1";"herbivory"
"Ophryoxus gracilis";"periphyton";"1";"herbivory"
"Kelicottia bostoniensis";"Cryptomonas ovata";"1";"herbivory"
"K. crassa";"Cryptomonas ovata";"1";"herbivory"
"K. taurocephala";"Cryptomonas ovata";"1";"herbivory"
"T. multicrinis";"Cryptomonas ovata";"1";"herbivory"
"T. similis";"Cryptomonas ovata";"1";"herbivory"
"Gastropus stylifer";"Cryptomonas ovata";"1";"herbivory"
"Ploesoma truncatum";"Cryptomonas ovata";"1";"herbivory"
"P. hudsoni";"Cryptomonas ovata";"1";"herbivory"
"P. major";"Cryptomonas ovata";"1";"herbivory"
"P. remata";"Cryptomonas ovata";"1";"herbivory"
"P. vulgaris";"Cryptomonas ovata";"1";"herbivory"
"C. unicornis";"Cryptomonas ovata";"1";"herbivory"
"Lecane sp.";"Cryptomonas ovata";"1";"herbivory"
"Ascomorpha ecaudis";"Cryptomonas ovata";"1";"herbivory"
