"";"names";"date"
"1";"Barger.2006";"2006-01-01"
"2";"Barger.2007";"2007-01-01"
"3";"Barger.2008";"2008-01-01"
"4";"Barger.2009";"2009-01-01"
"5";"Barger.2011";"2011-01-01"
"6";"Barger.2012";"2012-01-01"
"7";"Barger.2013";"2013-01-01"
"8";"Barger.2014";"2014-01-01"
"9";"Barn.2009";"2009-01-01"
"10";"Barn.2010";"2010-01-01"
"11";"Barn.2012";"2012-01-01"
"12";"Barn.2013";"2013-01-01"
"13";"Barn.2014";"2014-01-01"
"14";"BC2.2007";"2007-01-01"
"15";"BC2.2008";"2008-01-01"
"16";"BC2.2009";"2009-01-01"
"17";"BC2.2011";"2011-01-01"
"18";"BC2.2012";"2012-01-01"
"19";"BC2.2013";"2013-01-01"
"20";"BC2.2014";"2014-01-01"
"21";"Butler.2006";"2006-01-01"
"22";"Butler.2007";"2007-01-01"
"23";"Butler.2008";"2008-01-01"
"24";"Butler.2009";"2009-01-01"
"25";"Butler.2011";"2011-01-01"
"26";"Butler.2012";"2012-01-01"
"27";"Butler.2013";"2013-01-01"
"28";"Butler.2014";"2014-01-01"
"29";"Chamberlain.2007";"2007-01-01"
"30";"Chamberlain.2008";"2008-01-01"
"31";"Chamberlain.2009";"2009-01-01"
"32";"Chamberlain.2011";"2011-01-01"
"33";"Chamberlain.2012";"2012-01-01"
"34";"Chamberlain.2013";"2013-01-01"
"35";"Chamberlain.2014";"2014-01-01"
"36";"DQU.2006";"2006-01-01"
"37";"DQU.2007";"2007-01-01"
"38";"DQU.2008";"2008-01-01"
"39";"DQU.2009";"2009-01-01"
"40";"DQU.2011";"2011-01-01"
"41";"DQU.2012";"2012-01-01"
"42";"DQU.2013";"2013-01-01"
"43";"DQU.2014";"2014-01-01"
"44";"Fong.2008";"2008-01-01"
"45";"Fong.2009";"2009-01-01"
"46";"Fong.2010";"2010-01-01"
"47";"Fong.2011";"2011-01-01"
"48";"Fong.2012";"2012-01-01"
