"sp_taxon_1";"sp_taxon_2";"value"
"Diplopterys pubipetala";"Centris aenea";"1368"
"Byrsonima gardnerana";"Centris aenea";"924"
"Banisteriopsis muricata";"Centris aenea";"396"
"Heteropterys sp1 M_PL_059";"Centris aenea";"764"
"Heteropterys sp2 M_PL_059";"Centris aenea";"740"
"Dicella bracteosa";"Centris aenea";"556"
"Carolus chasei";"Centris aenea";"604"
"Stigmaphyllon paralias";"Centris aenea";"504"
"Banisteriopsis stellaris";"Centris aenea";"292"
"Banisteriopsis schizoptera";"Centris aenea";"228"
"Stigmaphyllon auriculatum";"Centris aenea";"240"
"Stigmaphyllon ciliatum";"Centris aenea";"268"
"Janusia anisandra";"Centris aenea";"188"
"Diplopterys pubipetala";"Centris fuscata";"1364"
"Byrsonima gardnerana";"Centris fuscata";"320"
"Banisteriopsis muricata";"Centris fuscata";"468"
"Heteropterys sp1 M_PL_059";"Centris fuscata";"680"
"Heteropterys sp2 M_PL_059";"Centris fuscata";"656"
"Dicella bracteosa";"Centris fuscata";"512"
"Carolus chasei";"Centris fuscata";"452"
"Stigmaphyllon paralias";"Centris fuscata";"816"
"Banisteriopsis stellaris";"Centris fuscata";"300"
"Banisteriopsis schizoptera";"Centris fuscata";"224"
"Stigmaphyllon auriculatum";"Centris fuscata";"164"
"Stigmaphyllon ciliatum";"Centris fuscata";"196"
"Janusia anisandra";"Centris fuscata";"244"
"Diplopterys pubipetala";"Centris caxiensis";"740"
"Byrsonima gardnerana";"Centris caxiensis";"2108"
"Banisteriopsis muricata";"Centris caxiensis";"108"
"Heteropterys sp1 M_PL_059";"Centris caxiensis";"528"
"Heteropterys sp2 M_PL_059";"Centris caxiensis";"528"
"Dicella bracteosa";"Centris caxiensis";"356"
"Carolus chasei";"Centris caxiensis";"432"
"Banisteriopsis stellaris";"Centris caxiensis";"244"
"Banisteriopsis schizoptera";"Centris caxiensis";"124"
"Stigmaphyllon auriculatum";"Centris caxiensis";"68"
"Diplopterys pubipetala";"Centris tarsata";"460"
"Byrsonima gardnerana";"Centris tarsata";"464"
"Banisteriopsis muricata";"Centris tarsata";"140"
"Heteropterys sp1 M_PL_059";"Centris tarsata";"308"
"Heteropterys sp2 M_PL_059";"Centris tarsata";"332"
"Dicella bracteosa";"Centris tarsata";"132"
"Carolus chasei";"Centris tarsata";"200"
"Banisteriopsis stellaris";"Centris tarsata";"116"
"Banisteriopsis schizoptera";"Centris tarsata";"120"
"Janusia anisandra";"Centris tarsata";"96"
"Diplopterys pubipetala";"Centris flavifrons";"416"
"Byrsonima gardnerana";"Centris flavifrons";"284"
"Banisteriopsis muricata";"Centris flavifrons";"272"
"Heteropterys sp1 M_PL_059";"Centris flavifrons";"404"
"Dicella bracteosa";"Centris flavifrons";"524"
"Stigmaphyllon auriculatum";"Centris flavifrons";"196"
"Stigmaphyllon ciliatum";"Centris flavifrons";"164"
"Diplopterys pubipetala";"Centris trigonoides";"256"
"Banisteriopsis muricata";"Centris trigonoides";"652"
"Heteropterys sp1 M_PL_059";"Centris trigonoides";"300"
"Heteropterys sp2 M_PL_059";"Centris trigonoides";"324"
"Banisteriopsis muricata";"Centris obsoleta";"912"
"Diplopterys pubipetala";"Epicharis sp1 M_PL_059";"328"
"Banisteriopsis muricata";"Epicharis sp1 M_PL_059";"364"
"Heteropterys sp1 M_PL_059";"Epicharis sp1 M_PL_059";"28"
"Heteropterys sp2 M_PL_059";"Epicharis sp1 M_PL_059";"116"
"Diplopterys pubipetala";"Apis mellifera";"364"
"Byrsonima gardnerana";"Apis mellifera";"28"
"Banisteriopsis muricata";"Apis mellifera";"44"
"Heteropterys sp2 M_PL_059";"Apis mellifera";"116"
"Diplopterys pubipetala";"Centris sp1 M_PL_059";"368"
"Banisteriopsis muricata";"Centris sp2 M_PL_059";"368"
"Banisteriopsis muricata";"Xylocopa sp1 M_PL_059";"164"
"Heteropterys sp1 M_PL_059";"Xylocopa sp1 M_PL_059";"76"
"Banisteriopsis muricata";"Xylocopa grisescens";"84"
