"name";"bold";"eol";"ncbi";"tsn"
"Heteractis crispa";"668228";"46223553";"611994";"175771"
"Entacmaea quadricolor";"524883";NA;NA;"6118"
"Heteractis magnifica";"85271";"46223554";"611995";"38281"
"Stichodactyla mertensii";NA;"55545625";"612000";"645706"
"Heteractis aurora";"668678";"46223552";"611993";"478399"
"Stichodactyla gigantea";NA;"46223547";"611998";"230562"
"Stichodactyla haddoni";"668679";"46223548";"611999";"475174"
"Macrodactyla doreensis";NA;"46222891";"611902";"244865"
"Heteractus malu";NA;NA;NA;NA
"Cryptodendrum adhaesivum";NA;"46223481";"612004";"659513"
"Amphiprion clarkii";"47191";"57402869";"613230";"80970"
"Amphiprion akindynos";"160650";"55875921";"615169";"229068"
"Amphiprion chrysopterus";"55984";"55875926";"615181";"229071"
"Amphiprion bicinctus";"462308";"55875913";"170142";"367269"
"Amphiprion tricinctus";NA;"46542510";"615212";"1450164"
"Amphiprion perideraion";"47207";"55875916";"170145";"80973"
"Amphiprion melanopus";"11468";"55875909";"170138";"229072"
"Amphiprion percula";"11518";"57402875";"170144";"161767"
"Amphiprion leucokranos";NA;"46542483";"170139";"367274"
"Amphiprion polymnus";"47193";"55875917";"170146";"96882"
"Amphiprion omanensis";"794531";"52595685";"615202";"229074"
"Amphiprion sandaracinos";"47264";"55875935";"615209";"96883"
"Amphiprion ephippium";"78634";"55875914";"170143";"1129554"
"Amphiprion latezonatus";NA;"46542501";"615190";"367278"
"Amphiprion allardi";"84506";"55875912";"170141";"229069"
"Amphiprion rubrocinctus";NA;"55875934";"615208";"367277"
"Amphiprion frenatus";"47194";"55875919";"170149";"80971"
"Amphiprion mccullochi";NA;"46542504";"615196";"367275"
"Premnas biaculeatus";"47263";"46542647";"170216";"80991"
"Amphiprion chrysogaster";"64348";"55875925";"615180";"229070"
"Amphiprion ocellaris";"47163";"46542496";"615174";"80972"
"Amphiprion akallopisos";"64425";"55875911";"170140";"229067"
"Amphiprion nigripes";"47164";"55875932";"615201";"229073"
"Amphiprion fuscocaudatus";NA;"52595681";"615185";NA
"Amphiprion latifasciatus";"182939";"46542502";"615192";"586773"
"Amphiprion sebae";"64354";"55875918";"170147";"229075"
