"sp_taxon_1";"sp_taxon_2";"value"
"Aechmea araneosa";"Amazilia fimbriata";1
"Aechmea triangularis";"Amazilia fimbriata";8
"Aechmea victoriana";"Amazilia fimbriata";1
"Neoregelia magdalaenae";"Amazilia fimbriata";6
"Quesnelia strobilispica";"Amazilia fimbriata";1
"Tillandsia geminifolia";"Amazilia fimbriata";1
"Aechmea pineliana";"Aphantochroa cirrhochloris";1
"Canistrum triangulare";"Aphantochroa cirrhochloris";2
"Vriesea simplex";"Aphantochroa cirrhochloris";3
"Portea petropolitana";"Clytolaema rubricauda";1
"Aechmea bromeliifolia";"Glaucis hirsuta";1
"Vriesea psittacina";"Leucochloris albicollis";3
"Aechmea araneosa";"Phaethornis eurynome";10
"Aechmea bromeliifolia";"Phaethornis eurynome";1
"Aechmea mutica";"Phaethornis eurynome";35
"Aechmea nudicaulis";"Phaethornis eurynome";2
"Aechmea victoriana";"Phaethornis eurynome";2
"Billbergia amoena";"Phaethornis eurynome";41
"Neoregelia magdalaenae";"Phaethornis eurynome";1
"Nidularium cariacicaense";"Phaethornis eurynome";19
"Nidularium procerum";"Phaethornis eurynome";9
"Quesnelia strobilispica";"Phaethornis eurynome";6
"Tillandsia geminifolia";"Phaethornis eurynome";2
"Vriesea gracilior";"Phaethornis eurynome";9
"Vriesea psittacina";"Phaethornis eurynome";9
"Vriesea simplex";"Phaethornis eurynome";8
"Aechmea araneosa";"Phaethornis squalidus";9
"Aechmea bromeliifolia";"Phaethornis squalidus";2
"Aechmea mutica";"Phaethornis squalidus";14
"Aechmea pineliana";"Phaethornis squalidus";1
"Aechmea victoriana";"Phaethornis squalidus";2
"Billbergia amoena";"Phaethornis squalidus";12
"Neoregelia magdalaenae";"Phaethornis squalidus";2
"Neoregelia sp";"Phaethornis squalidus";1
"Nidularium cariacicaense";"Phaethornis squalidus";14
"Quesnelia strobilispica";"Phaethornis squalidus";3
"Vriesea gracilior";"Phaethornis squalidus";3
"Vriesea psittacina";"Phaethornis squalidus";1
"Aechmea araneosa";"Rhamphodon naevius";3
"Aechmea bromeliifolia";"Rhamphodon naevius";12
"Aechmea pineliana";"Rhamphodon naevius";5
"Aechmea triangularis";"Rhamphodon naevius";4
"Aechmea victoriana";"Rhamphodon naevius";4
"Canistrum triangulare";"Rhamphodon naevius";4
"Neoregelia magdalaenae";"Rhamphodon naevius";13
"Nidularium cariacicaense";"Rhamphodon naevius";3
"Nidularium procerum";"Rhamphodon naevius";4
"Quesnelia strobilispica";"Rhamphodon naevius";1
"Vriesea gracilior";"Rhamphodon naevius";3
"Vriesea psittacina";"Rhamphodon naevius";5
"Aechmea araneosa";"Thalurania glaucopis";6
"Aechmea bromeliifolia";"Thalurania glaucopis";6
"Aechmea mutica";"Thalurania glaucopis";2
"Aechmea pineliana";"Thalurania glaucopis";11
"Aechmea triangularis";"Thalurania glaucopis";6
"Aechmea victoriana";"Thalurania glaucopis";4
"Canistrum triangulare";"Thalurania glaucopis";1
"Neoregelia magdalaenae";"Thalurania glaucopis";12
"Quesnelia strobilispica";"Thalurania glaucopis";1
"Tillandsia geminifolia";"Thalurania glaucopis";1
"Aechmea araneosa";"Heliconius erato";11
"Aechmea nudicaulis";"Heliconius erato";2
"Tillandsia tenuifolia";"Heliconius erato";4
"Aechmea araneosa";"Heliconius ethilla";20
"Aechmea pineliana";"Heliconius ethilla";1
"Billbergia amoena";"Heliconius ethilla";1
"Aechmea araneosa";"Heliconius nattereri";30
"Aechmea nudicaulis";"Heliconius nattereri";3
"Aechmea triangularis";"Heliconius nattereri";1
"Vriesea gracilior";"Heliconius nattereri";1
"Acanthostachys strobilaceae";"Heliconius nattereri";1
"Tillandsia tenuifolia";"Heliconius nattereri";1
"Aechmea araneosa";"Heliconius numato";14
"Acanthostachys strobilaceae";"Heliconius numato";2
"Tillandsia tenuifolia";"Heliconius numato";1
"Aechmea nudicaulis";"Heliconius sara";3
"Aechmea triangularis";"Oleria aquata";1
"Billbergia amoena";"Paracalystos sp.";1
"Aechmea mutica";"Saliana triangularis";2
"Aechmea triangularis";"Strymon oreala";1
"Billbergia amoena";"Bombus morio";1
"Nidularium cariacicaense";"Bombus morio";2
"Quesnelia strobilispica";"Bombus morio";1
"Aechmea lingulata";"Epicharis obscura";3
"Neoregelia sp";"Euglossa chalybeata";7
"Aechmea araneosa";"Euglossa sp.";15
"Billbergia amoena";"Euglossa sp.";1
"Neoregelia magdalaenae";"Euglossa sp.";3
"Neoregelia sp";"Euglossa sp.";5
"Aechmea araneosa";"Trigona fulviventris";11
"Aechmea mutica";"Trigona fulviventris";2
"Aechmea triangularis";"Trigona fulviventris";1
"Aechmea victoriana";"Trigona fulviventris";1
"Quesnelia strobilispica";"Trigona fulviventris";1
"Vriesea gracilior";"Trigona fulviventris";1
"Tillandsia tenuifolia";"Trigona fulviventris";11
