"Baeta, A., Niquil, N., Marques, JC., and Patricio, J. (2011). Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs. Ecological Modelling, 222, pp. 1209-1221.",,,,,,,,,,,,,,,,,,,,,,,,,,
Zostera 1999/00 - Mondego estuarine ecosystem -Portugal ,Zooplankton,Amphithoe valida,Melita palmata,Cerastoderma edule,Scrobicularia plana,Carcinus maenas,Crangon crangon,Haminoea hydatis,Hydrobia ulvae,Littorina littorea,Cyathura carinata,Idotea chelipes,Alkmaria romijni,Capitella capitata,Chaetozone setosa,Eteone flava,Glycera tridactyla,Hediste diversicolor,Heteromastus filiformis,Lagis koreni,Mediomastus fragilis,Mista picta,Nephthys spp.,Streblospio shrubsolii,Nemertini,Oligochaets
Phytoplankton,0.98,0,0,0.8,0.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0,0
Microphytobenthos,0,0.1,0.1,0.1,0.2,0,0,0.3,0.45,0.05,0,0.1,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0
Green macroalgae,0,0.2,0.2,0,0,0.04,0.05,0.05,0,0.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zostera noltii,0,0,0,0,0,0,0,0,0,0.2,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,0.02,0,0,0,0,0.06,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Ampithoe valida,0,0,0,0,0,0.02,0.02,0,0,0,0.006,0,0,0,0,0,0.03,0.001,0,0,0,0,0.005,0,0.01,0
Melita palmata,0,0,0,0,0,0.005,0.0005,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0
Cerastoderma edule,0,0,0,0,0,0.01,0.001,0,0,0,0,0,0,0,0,0,0.005,0.001,0,0,0,0,0.002,0,0.005,0
Scrobicularia plana,0,0,0,0,0,0.11,0.16,0,0,0,0,0,0,0,0,0,0.14,0.069,0,0,0,0,0.05,0,0.08,0
Carcinus maenas,0,0,0,0,0,0.05,0.01,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crangon crangon,0,0,0,0,0,0.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haminoea hydatis,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Hydrobia ulvae,0,0,0,0,0,0.023,0.05,0,0,0,0,0,0,0,0,0,0.03,0.07,0,0,0,0,0,0,0.05,0
Littorina littorea,0,0,0,0,0,0.005,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Cyathura carinata,0,0,0,0,0,0.015,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
Idotea chelipes,0,0,0,0,0,0.001,0.001,0,0,0,0.001,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
Alkmaria romijni,0,0,0,0,0,0,0.005,0,0,0,0.001,0,0,0,0,0,0.005,0,0,0,0,0,0.001,0,0,0
Capitella capitata,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.005,0,0,0,0,0,0.001,0,0,0
Chaetozone setosa,0,0,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0.04,0.002,0,0,0,0,0.004,0,0.005,0
Eteone flava,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0.004,0,0.005,0
Glycera tridactyla,0,0,0,0,0,0.005,0.003,0,0,0,0.005,0,0,0,0,0,0.01,0.001,0,0,0,0,0.01,0,0.005,0
Hediste diversicolor,0,0,0,0,0,0.17,0.14,0,0,0,0.129,0,0,0,0,0.66,0.37,0,0,0,0,0.7,0.45,0,0.35,0
Heteromastus filiformis,0,0,0,0,0,0.002,0.02,0,0,0,0.03,0.1,0,0,0,0.15,0.09,0.04,0,0,0,0.15,0.09,0,0.1,0
Lagis koreni,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.005,0
Mediomastus fragilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0
Mista picta,0,0,0,0,0,0.001,0.001,0,0,0,0.001,0,0,0,0,0,0.01,0.001,0,0,0,0,0.001,0,0,0
Nephthys spp.,0,0,0,0,0,0.005,0.01,0,0,0,0,0,0,0,0,0,0.01,0.001,0,0,0,0,0.001,0,0.005,0
Streblospio shrubsolii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0.005,0
Nemertini,0,0,0,0,0,0.001,0.001,0,0,0,0.005,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0.05,0
Oligochaets,0,0,0,0,0,0.001,0.003,0,0,0,0.03,0.15,0,0,0,0.05,0.03,0.01,0,0,0,0.05,0.03,0,0.05,0
Detritus,0,0.7,0.7,0.1,0.6,0.15,0.3,0.65,0.55,0.25,0.75,0.4,0.9,1,1,0.1,0.2,0.7,1,1,1,0.1,0.3,1,0.2,1
Imports,0,0,0,0,0,0.18,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
