"Baeta, A., Niquil, N., Marques, JC., and Patricio, J. (2011). Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs. Ecological Modelling, 222, pp. 1209-1221.",,,,,,,,,,,,,,,,,,,,,
Bare sediment 1993/94- Mondego estuarine ecosystem - Portugal,Zooplankton,Amphithoe valida,Melita palmata,Cerastoderma edule,Scrobicularia plana,Carcinus maenas,Crangon crangon,Haminoea hydatis,Hydrobia ulvae,Cyathura carinata,Idotea chelipes,Alkmaria romijni,Capitella capitata,Chaetozone setosa,Glycera tridactyla,Hediste diversicolor,Heteromastus filiformis,Pygospio elegans,Streblospio shrubsolii,Nemertini,Oligochaets
Phytoplankton,0.98,0,0,0.85,0.4,0,0,0,0,0,0,0.1,0,0,0,0.05,0,0.6,0,0,0
Microphytobenthos,0,0.1,0.1,0.05,0.4,0,0,0.65,0.75,0,0.1,0,0,0,0,0.05,0,0,0,0,0
Green macroalgae,0,0.75,0.75,0,0,0.08,0.06,0.1,0,0.015,0.7,0,0,0,0,0,0,0,0,0,0
Zooplankton,0.02,0,0,0,0,0.06,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
Ampithoe valida,0,0,0,0,0,0.03,0.02,0,0,0.001,0,0,0,0,0.03,0.03,0,0,0,0.05,0
Melita palmata,0,0,0,0,0,0.03,0.03,0,0,0.001,0,0,0,0,0.04,0.02,0,0,0,0.04,0
Cerastoderma edule,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0.005,0.01,0,0,0,0.005,0
Scrobicularia plana,0,0,0,0,0,0.08,0.09,0,0,0,0,0,0,0,0.08,0.058,0,0,0,0.04,0
Carcinus maenas,0,0,0,0,0,0.06,0.01,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0
Crangon crangon,0,0,0,0,0,0.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haminoea hydatis,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.005,0
Hydrobia ulvae,0,0,0,0,0,0.02,0.05,0,0,0,0,0,0,0,0.03,0.05,0,0,0,0.04,0
Cyathura carinata,0,0,0,0,0,0.04,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
Idotea chelipes,0,0,0,0,0,0.001,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0
Alkmaria romijni,0,0,0,0,0,0,0.01,0,0,0.004,0.05,0,0,0,0.095,0,0,0,0,0.09,0
Capitella capitata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.025,0,0,0,0,0
Chaetozone setosa,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0.01,0.001,0,0,0,0.005,0
Glycera tridactyla,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0.02,0.001,0,0,0,0.002,0
Hediste diversicolor,0,0,0,0,0,0.095,0.084,0,0,0.001,0,0,0,0,0.28,0,0,0,0,0.26,0
Heteromastus filiformis,0,0,0,0,0,0.01,0.04,0,0,0.001,0.05,0,0,0,0.11,0.05,0,0,0,0.098,0
Pygospio elegans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.002,0,0,0,0.01,0
Streblospio shrubsolii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.002,0,0,0,0.01,0
Nemertini,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.01,0,0,0,0,0.05,0
Oligochaets,0,0,0,0,0,0,0.001,0,0,0,0.05,0,0,0,0.01,0.001,0,0,0,0.05,0
Detritus,0,0.15,0.15,0.1,0.2,0.15,0.35,0.25,0.25,0.974,0.05,0.9,1,1,0.2,0.65,1,0.4,1,0.2,1
Imports,0,0,0,0,0,0.2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
