"H.E. Savely Jr. (1939). Ecological Relations of Certain Animals in Dead Pine and Oak Logs. Ecological Monographs. 9(3), pp. 321-385.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotting pine logs (1 year) North Carolina - USA,Entomobrya corticola,E. ligata,Entomobrya sp.,Pseudachorutes sp.,Isotoma sensibilis,Tomocera flavescens,Parcoblatta sp.,heteropteran (undet.),Epiptera sp.,Tachymenis flavicauda,Erchomus ventriculus,Saprinus sp.,Platysoma parallelum,P. lecontei,Plegaderus sp.,Cylistix cylindrica,Thanasimus dubius,Boros unicolor larvae,Dendroides bicolor larvae,Alaus myops larvae,Ischiodontus sp. larvae,Melanotus sp. larvae,Elater verticinus,Drapites sp. larvae,Buprestis lineata larvae,Buprestis sp. larvae,Chalcophora sp. larvae,Chrysobothris sp. larvae,Temnochila virescens,Rhizophagus cylindricus,Brontes dubius,Mycetophagus pini,Colopterus semitectus,Stelidota geminata,Bolitotherus cornutus,Platydema flavipes,Stephanopachys rugosus larvae,Asemum moestum larvae,Rhagium lineatum larvae,Xylotrechus sagittatus larvae,Callidium antennatum larvae,Acanthocinus obsoletus larvae,A. nodosus larvae,Eupogonius tomentosus larvae,Monochammus titillator larvae,Rhyncolus sp.,Cossonus corticola,Pissodes memorensis larvae,Pachylobins picivorus larvae,Hylobius pales larvae,Platypus flavicornis,Ips grandicollis,I. calligraphus,Xyleborus fitchi,Orthotomicus coelatus,Pithyophthorus annectens,P. pullus,Dendroctonus valens,D. tenebrans,Sciara coprophila larvae,Xylophagus fasciatus larvae,Lonchaea sp. larvae,Theresia monohammi larvae,Sarcophaga sp. larvae,Sirex nigricornia larvae,Orussus sp. larvae,Coeloides pissodis larvae,Camponotus herculeanus,Leptinothorax curvispinosus,Ponera coarctata,Lasius umbratus,uropodid sp.,Parasitus sp,Dendrolaelaps sp.,Pergamasus sp.,Geophilus varians,Linotaenia bidens,Cryptops hyalina,Bothropolys multidentatus,Chelanops oblongus,C. virginnae,Chelifer cancroides,various larvae (unsp.),chironomid larvae,cecidomyid larvae,dolicopodid larvae,fungi
Entomobrya corticola,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. ligata,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomobrya sp.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudachorutes sp.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isotoma sensibilis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomocera flavescens,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendroides bicolor larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chalcophora sp. larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysobothris sp. larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhagium lineatum larvae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
