sp_taxon_1;sp_taxon_2;value
Turdus albicollis;Guapira opposita;1
Turdus albicollis;Myrcia rufula;1
Turdus albicollis;Myrsine gardneriana;1
Turdus albicollis;Ocotea bicolor;1
Turdus albicollis;Rudgea jasminoides;1
Turdus albicollis;Ocotea teleiandra;1
Turdus albicollis;Geonoma gamiova;1
Turdus albicollis;Miconia sp1 M_SD_022;1
Turdus albicollis;Paullinia uloptera;1
Turdus albicollis;Psychotria forsteronioides;1
Turdus albicollis;Ixora heterodoxa;1
Turdus albicollis;Mollinedia floribunda;1
Turdus albicollis;Symplocos tetrandra;1
Turdus albicollis;Gomidesia fenzliana;1
Tachyphonus coronatus;Myrsine coriacea;1
Tachyphonus coronatus;Ficus luschnatiana;1
Tachyphonus coronatus;Coussapoa microcarpa;1
Tachyphonus coronatus;Myrsine lancifolia;1
Tachyphonus coronatus;Cupania vernalis;1
Tachyphonus coronatus;Miconia pusilliflora;1
Tachyphonus coronatus;Trema micrantha;1
Tachyphonus coronatus;Leandra dasytricha;1
Tachyphonus coronatus;Alchornea triplinervia;1
Tachyphonus coronatus;Rubus rosaefolius;1
Tachyphonus coronatus;Miconia racemifera;1
Tachyphonus coronatus;Schinus terebinthifolius;1
Tachyphonus coronatus;Miconia latecrenata;1
Tachyphonus coronatus;Ossaea amygdaloides;1
Tachyphonus coronatus;Allophylus edulis;1
Tachyphonus coronatus;Rubus urticaefolius;1
Tachyphonus coronatus;Ilex brevicuspis;1
Tachyphonus coronatus;Matayba guianensis;1
Tachyphonus coronatus;Psychotria vellosiana;1
Tachyphonus coronatus;Ilex microdonta;1
Tachyphonus coronatus;Psychotria longipes;1
Tachyphonus coronatus;Alchornea glandulosa;1
Tachyphonus coronatus;Fuchsia regia;1
Tachyphonus coronatus;Piper dilatatum;1
Tachyphonus coronatus;Psychotria suterella;1
Tachyphonus coronatus;Vassobia breviflora;1
Tachyphonus coronatus;Casearia sylvestris ;1
Tachyphonus coronatus;Leandra australis;1
Tachyphonus coronatus;Leandra laevigata;1
Tachyphonus coronatus;Leandra melastomatoides;1
Tachyphonus coronatus;Leandra refracta;1
Tachyphonus coronatus;Myrcia sp1 M_SD_022;1
Tachyphonus coronatus;Piper corintoanum;1
Tachyphonus coronatus;Leandra sabiaensis;1
Tachyphonus coronatus;Leandra sp1 M_SD_022;1
Tachyphonus coronatus;Urera baccifera;1
Tachyphonus coronatus;Psidium sp1 M_SD_022;1
Tachyphonus coronatus;Bromeliacea sp1 M_SD_022;1
Tachyphonus coronatus;Dichorisandra thyrsiflora;1
Tachyphonus coronatus;Galium hypocarpium;1
Tachyphonus coronatus;Lantana camara;1
Turdus rufiventris;Myrsine coriacea;1
Turdus rufiventris;Ficus luschnatiana;1
