"R.M. Thompson and C.R. Townsend. (2004). Land-use influences on New Zealand stream communities: effects of species composition, functional organisation, and food-web structure. New Zealand Journal of Marine and Freshwater Research. 38, pp. 595-608.",,,,,,,,,,,,,,,,,,,,,,
Akatore A Creek - 2 yrs post harvest - New Zealand,Aphrophila spp.,Aspectrotanypus,Austroperla cyrene,Austrosimulium australense,Chironomous zelandicus (Hudson),Cricotopus II,Cristaperla fimbriae,Deleatidium spp,Hydora nitida (larva) (Broun),Nannochorista,Oligochaeta lumbr blue,Oligochaeta type II,Oligochaeta lumbriculiid pink,Oligo smooth,Oxyethira albiceps (McLachlan),Paracalliope fluviatilis (Thomson),Paucispinigera approximata,Polyplectropus puerilis (McLachlan),Potamopyrgus antipodarum (Gray),Stratiomyid spp.,Tanypodini spp.,Zelandobius spp. nr confusus (Hare)
Unidentified detritus,3,3,2,0,0,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0,3
Plant material,3,0,0,0,0,0,3,0,0,3,0,3,3,3,0,3,3,2,2,3,0,3
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes linearis,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Achnanthes minutissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Blue green algae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Calothrix,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Closterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cocconeis placentula,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cymbella aspera,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cymbella mulleri,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Diatoma heimale,0,0,0,4,0,3,0,0,0,3,3,3,3,3,3,3,1,3,3,0,0,0
Eunotia pectinalis,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fragilaria vaucheriae,3,0,0,2,2,3,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,2
fungii,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0
Gomphonema sp. 3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Gomphonema sp. 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gomphonema angustatum,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gomcle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gomphoneis herculeana,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gomphonema new sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Unknown green algal cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Melosira varians,0,0,0,2,3,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0
Meridion circulare,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0
Microspora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Navicula avenacea,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Navicula rhynchocephala,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitzschia sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
