"R.W. Dexter. The Marine Communities of a Tidal Inlet at Cape Ann, Massachusetts: A Study in Bio-Ecology. Ecological Monographs. 17(3), pp. 261-294.",,,,,,,,,,,,,,,,,,,,,
Shallow sublittoral - Cape Ann - Massachusetts,Fundulus - fish fry,Chalina,Mytilus - Gemma,Abietinaria - Sertularia - Metridium,Lichenophora,isopods - Gammarus - Caprella,Littorina littorea,Strongylocentrotus,Crago,annelids,Scomber - Clupea,Loligo,Pagurus - Cancer,Polinices,Limulus,Raja,Asterias,Pomatomus - Poronatus,Myoxocephalus,Phoca,Sterna
plankton and detritus,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
organic debris,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
macroalgae,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
organic matter in mud,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Fundulus - fish fry,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
Chalina,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Mytilus - Gemma,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
Abietinaria - Sertularia - Metridium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Lichenophora,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
isopods - Gammarus - Caprella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Littorina littorea,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Strongylocentrotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Crago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
annelids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Scomber - Clupea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Loligo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Pagurus - Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Polinices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Asterias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pomatomus - Poronatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Myoxocephalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
