"sp_taxon_1";"sp_taxon_2";"value"
"Ipomoea sp";"Amazilia fimbriata";"7"
"Sinningia douglasii";"Amazilia fimbriata";"13"
"Hedychium coronarium";"Amazilia versicolor";"2"
"Ipomoea sp";"Amazilia versicolor";"1"
"Fuchsia regia";"Clytolaema rubricauda";"208"
"Nematanthus australis";"Clytolaema rubricauda";"6"
"Vriesea erythrodactylon";"Clytolaema rubricauda";"1"
"Vriesea vagans";"Clytolaema rubricauda";"4"
"Aechmea blumenavii";"Phaethornis eurynome";"7"
"Billbergia amoena";"Phaethornis eurynome";"6"
"Heliconia farinosa";"Phaethornis eurynome";"1"
"Hippeastrum aulicum";"Phaethornis eurynome";"32"
"Justicia brasiliana";"Phaethornis eurynome";"71"
"Justicia carnea";"Phaethornis eurynome";"1"
"Nidularium innocentii";"Phaethornis eurynome";"17"
"Sinningia douglasii";"Phaethornis eurynome";"2"
"Vriesea carinata";"Phaethornis eurynome";"3"
"Vriesea incurvata";"Ramphodon naevius";"1"
"Vriesea vagans";"Ramphodon naevius";"1"
"Aechmea blumenavii";"Thalurania glaucopis";"1"
"Fuchsia regia";"Thalurania glaucopis";"63"
"Heliconia farinosa";"Thalurania glaucopis";"33"
"Hippeastrum aulicum";"Thalurania glaucopis";"3"
"Ipomoea sp";"Thalurania glaucopis";"7"
"Justicia carnea";"Thalurania glaucopis";"4"
"Nematanthus australis";"Thalurania glaucopis";"26"
"Psychotria suterella";"Thalurania glaucopis";"32"
"Tillandsia sp";"Thalurania glaucopis";"5"
"Vriesea vagans";"Thalurania glaucopis";"4"
