"sp_taxon_1";"sp_taxon_2";"value"
"Aechmea cylindrata";"Amazilia versicolor";"23"
"Aechmea cylindrata";"Clytolaema rubricauda";"5"
"Aegiphila obducta";"Clytolaema rubricauda";"6"
"Fuchsia regia";"Clytolaema rubricauda";"337"
"Nematanthus australis";"Clytolaema rubricauda";"10"
"Vriesea altodaserrae";"Clytolaema rubricauda";"4"
"Aechmea cylindrata";"Stephanoxis lalandi";"64"
"Fuchsia regia";"Stephanoxis lalandi";"8"
"Gaylussacia brasiliensis";"Stephanoxis lalandi";"166"
"Nematanthus australis";"Stephanoxis lalandi";"11"
"Aechmea cylindrata";"Thalurania glaucopis";"42"
"Fuchsia regia";"Thalurania glaucopis";"329"
"Nematanthus australis";"Thalurania glaucopis";"110"
"Nidularium innocentii";"Thalurania glaucopis";"1"
"Vriesea altodaserrae";"Thalurania glaucopis";"5"
