"L. F. Jiron, and V.M. Cartin. (1981). Insect Succession in the Decomposition of a Mammal in Costa Rica. Journal of the New York Entemological Society. 89(3), pp. 158-165.",,,,,,,,,,,,,,,,,,,,,,,,,,
Dog carcass - Costa Rica,arachnids,reduviids,phalangids,Macrocheles muscadomesticae,staphylinids,carabids,Geomysaprinus belioculus,Euspilotus aenicollis,Hister punctiger,Camponotus sp.,noctuid lepidopterans,pyralid lepidopterans,forest roaches,vespids,silphids,Dermestes carnivorus,scarabs,drosophilids,Prochyliza azteca,Trigona sp.,Phaenicia eximia,Hemilucilia segmentaria,Cochliomyia macellaria,P. eximia larvae,H. segmentaria larvae,C. macellaria larvae
P. eximia larvae,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. segmentaria larvae,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C. macellaria larvae,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mammal carcass,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
