"Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skipwith Pond - Skipwith Common - North Yorkshire - England,Polycelis tenuis (Ijima),Small oligochaetes (principally Enchytraeidae),Lumbriculus variegatus (Muller),Oribatei sp.,Argyroneta aquatica (Clerk),Scaphaloberis mucronata (Muller),Chydorus latus Sars,Acanthocyclops vernalis (Fischer),Enallagma cyathigerum (Charpentier),Lestes sponsa (Hansemann),Aeshna juncea (L.),Sympetrum scoticum (Donovan),Notonecta glauca L.,Callicorixa praeusta (Fieber),Corixa dentipes (Thomson),Corixa punctata (Illinger),Hesperocorixa linnei (Fieber),Hesperocorixa sahlbergi (Fieber),Arctocorisa germari (Fieber),Sigaria semistraiata (Fieber),Hydroporus erythrocephalus,Agabus sturmii (Gyllenhal),Agabus bipustulatus (L.),Ilybius fuliginosus (Fabricus),Dytiscus marginalis L.,Sialis lutaria (L.),Holocentropus picicornis (Stephens),Limnephilus marmoratus Curtis,Procladius sagittalis (Kieffer),Corynoneura scutellata Winnertz,Chironomus dorsalis Meigen,Glyptotendipes pallens (Meigen),Tanytarsus bruchonius Reiss & Fittkau,Other Chironomidae
Detritus,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Polycelis tenuis (Ijima),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small oligochaetes (principally Enchytraeidae),1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0
Lumbriculus variegatus (Muller),1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
Oribatei sp.,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
Argyroneta aquatica (Clerk),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scaphaloberis mucronata (Muller),0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
Chydorus latus Sars,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
Acanthocyclops vernalis (Fischer),0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
Enallagma cyathigerum (Charpentier),0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Lestes sponsa (Hansemann),0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Aeshna juncea (L.),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sympetrum scoticum (Donovan),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Notonecta glauca L.,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Callicorixa praeusta (Fieber),0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Corixa dentipes (Thomson),0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Corixa punctata (Illinger),0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Hesperocorixa linnei (Fieber),0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Hesperocorixa sahlbergi (Fieber),0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Arctocorisa germari (Fieber),0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Sigaria semistraiata (Fieber),0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Hydroporus erythrocephalus,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Agabus sturmii (Gyllenhal),0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Agabus bipustulatus (L.),0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Ilybius fuliginosus (Fabricus),0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Dytiscus marginalis L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sialis lutaria (L.),0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Holocentropus picicornis (Stephens),0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Limnephilus marmoratus Curtis,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Procladius sagittalis (Kieffer),1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Corynoneura scutellata Winnertz,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Chironomus dorsalis Meigen,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Glyptotendipes pallens (Meigen),1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Tanytarsus bruchonius Reiss & Fittkau,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Other Chironomidae,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
