"Huang, Y., Yan, Y., and Li, X. (2008).  Food Web Structure of Benthic Macrolnvertebrates in a Second Order Stream of the Hanjiang River Basin in Middle China', Journal of Freshwater Ecology. 23, pp. 421-427. ",,,,,,,,,,,,,,
Heizhuchong Stream (Hanjiang River Basin) - Hubei Province - China,C. nigropunctata,Leptophlebia sp.,E. sinensis,C. fluminea,Pegastia sp.,T. discoloripes,E. potthasti,Ephemera sp.,Polypedilum sp.,Chaetocladius sp.,Microtendipes sp.,Pentaneura sp.,Hydropsyche sp.,S. teritisum
Amorphus Detritus,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Diatoms,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Vascular Plant Detritus,1,1,1,1,0,0,0,1,0,0,0,0,1,1
Fungi,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Filament Algae,0,0,1,1,0,0,0,0,0,1,0,0,1,0
animal material,0,0,0,0,0,0,0,0,0,0,0,1,1,1
