"Schoenly, K. and Reid, W. (1983). Community structure of carrion arthropods in the Chihuahuan Desert.  J. Arid Environ. 6:253-263. ",,,,,,,,,,,,,,,,,,,,,,,
Rabbit carrion (day 4) Franklin Mtns - TX - USA,Blaesoxipha plinthopyga,Cochyliomyia macellaria,Musca domestica,Boreocanthon puncticollis,Dermestes marmoratus,Eleodes carbonarius,E. longicollis,Embaphion sp.,Silpha truncata,Necrophorus marginatus,Conomyrma bicolor,Pheidole sp.,Novomessor cockerelli,Crematogaster clara,Iridomyrmex pruinosum,Trox suberosus,Saprinus discoidalis,Syspira longipes,Psilochorus utahensis,Creophilis maxillosus,B. plinthopyga larvae,C. macellaria larvae,M. domestica larvae
Blaesoxipha plinthopyga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Cochyliomyia macellaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Musca domestica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Boreocanthon puncticollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dermestes marmoratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Trox suberosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saprinus discoidalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dipteran eggs (unknown),0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
B. plinthopyga larvae,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
C. macellaria larvae,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
M. domestica larvae,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0
rabbit carcass (L. californicus),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
