"L.J. Tilly. (1968). The Structure and Dynamics of Cone Spring. Ecological Monographs. 38(2), pp. 169-197.",,,,,,,,,,
Cone Spring - Iowa,Frenesia,Gammarus,tendipedid,Physa,Cardiocladius,Tubifex,Rhantus,Chauliodes,Pentaneura,Phagocata
detritus,1,1,1,1,1,1,0,0,1,0
Frenesia,0,0,0,0,0,0,1,1,0,0
Gammarus,0,0,0,0,0,0,1,1,1,1
tendipedid,0,0,0,0,0,0,0,0,1,1
Cardiocladius,0,0,0,0,0,0,1,0,0,1
Tubifex,0,0,0,0,0,0,0,0,1,1
Pentaneura,0,0,0,0,0,0,0,0,0,1
