      49     4    5    6    7    8    9   10   11   12
       1     0    0    1    1    0    1    0    0    0
       2     0    1    1    0    0    0    0    0    0
       3     1    0    1    0    0    0    0    0    0
       4     0    0    0    0    1    1    0    0    1
       5     0    0    0    0    1    0    1    0    1
       6     0    0    0    0    0    0    1    0    1
       7     0    0    0    0    0    0    1    0    0
       9     0    0    0    0    0    0    0    1    1
      10     0    0    0    0    0    0    0    0    1
      11     0    0    0    0    0    0    0    0    1


