"Cruz-Escalona, V.H., Arrequin-Sanchez, F., and Zetina-Rejon. (2007). Analysis of the ecosystem structure of Laguna Alvarado, western Gulf of Mexico, by means of a mass balance model. Estuarine, Coastal and Shelf Science. 72, pp. 155-167.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Laguna Alvarado - Mexico,Sea mammals,Rays,Croakers,Snappers,Jacks,Snooks,Catfish,Flatfish,Halfbeaks,Herrings,Mojarras,Mollies,Gobies,Mexican mojarras,Toadfish,Pinfish,Mullets,Needlefish,Fat Sleepers,Swimming crabs,Crayfish,Shrimp,Infauna,Polychaetes,Bivalves,Gastropods,Zooplankton
Sea mammals,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rays,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croakers,0.129,0,0,0.026,0,0.029,0,0,0,0,0,0,0,0.029,0,0.011,0,0.034,0,0,0,0,0,0,0,0,0
Snappers,0,0,0.001,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacks,0.027,0,0,0.007,0,0.005,0,0,0,0.001,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0
Snooks,0,0,0,0.007,0.029,0,0.003,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
Catfish,0.35,0.2,0.105,0,0.025,0.358,0.008,0,0,0,0,0,0,0.133,0.108,0,0,0.01,0,0,0,0,0,0,0,0,0
Flatfish,0,0.017,0.011,0.026,0,0.009,0.001,0,0,0,0,0,0,0,0.021,0,0,0.038,0,0,0,0,0,0,0,0,0
Halfbeaks,0,0,0.007,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0,0,0
Herrings,0.268,0,0,0.138,0.045,0.027,0.003,0,0.009,0.007,0,0,0,0,0,0,0,0.042,0,0.027,0,0,0,0,0,0,0
Mojarras,0.084,0,0.166,0.129,0.186,0.283,0.034,0.119,0.016,0,0,0.019,0.093,0.161,0.008,0,0,0.471,0.12,0.003,0,0,0,0,0,0,0.001
Mollies,0,0.009,0,0.026,0,0.002,0,0,0.002,0.001,0,0.002,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0
Gobies,0,0.012,0.009,0.344,0.079,0.008,0.003,0.037,0.004,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0
Mexican mojarras,0,0,0,0.077,0,0.093,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0
Toadfish,0,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0
Pinfish,0,0,0,0,0,0.011,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mullets,0,0.006,0,0,0.011,0.006,0,0,0,0,0,0,0,0,0,0.022,0,0.007,0,0.011,0,0,0,0,0,0,0
Needlefish,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fat Sleepers,0,0.009,0,0,0,0,0,0.001,0,0,0,0.03,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swimming crabs,0,0.026,0.011,0,0.022,0.026,0.001,0.011,0,0,0,0,0.004,0.019,0,0,0,0,0,0.034,0,0,0,0,0,0,0
Crayfish,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0.006,0.013,0,0,0,0,0,0,0,0,0,0,0,0
Shrimp,0.141,0.26,0.153,0.121,0.108,0.111,0.013,0,0,0,0,0,0,0,0.022,0,0,0,0,0.019,0,0.023,0,0,0,0,0
Infauna,0,0,0,0,0.364,0.015,0.056,0.48,0.125,0.007,0.017,0.223,0.47,0.111,0.459,0.293,0.085,0.027,0.404,0.3,0.124,0.023,0.016,0.03,0.007,0.065,0.004
Polychaetes,0,0.098,0.337,0,0,0,0.216,0.136,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0.024,0,0,0
Bivalves,0,0.029,0.136,0,0.082,0,0.031,0.027,0,0,0,0,0.065,0,0.052,0.1,0,0,0,0,0,0,0,0,0,0.104,0
Gastropods,0,0.008,0,0,0.005,0,0,0,0,0,0,0,0.009,0,0.008,0.081,0.014,0,0.109,0.014,0,0,0,0,0,0.006,0
Zooplankton,0,0,0,0,0,0,0.081,0.038,0.296,0.462,0.367,0.24,0.328,0.008,0,0.203,0.082,0,0.171,0,0.147,0.054,0.357,0.12,0.39,0.004,0.004
Wigeongrass,0,0.236,0,0.099,0,0,0.545,0.151,0.548,0.236,0.316,0.189,0.031,0.216,0.027,0,0.174,0.122,0.196,0.366,0.494,0.393,0.123,0.405,0.268,0.591,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0.222,0.289,0.236,0,0.008,0.21,0.179,0.329,0,0,0,0,0.196,0.44,0.151,0.335,2.31,0.991
Detritus,0,0,0.056,0,0.045,0,0,0,0,0,0.011,0.06,0,0.309,0,0,0.243,0,0,0.226,0.235,0.311,0.064,0.271,0,0,0
