"B.A. Hawkins, and R.D. Goeden. (1984). Organization of a parasitoid community associated with a complex of galls on Atriplex spp. in Southern California. Ecological Entemology, 9, pp. 271-292.",,,,,,,,,,,,,,,,,,,,,,,
Woolly stem galls of Asphondylia on A. polycarpa - S. California - USA,Phyllobaenus atriplexus,Eupelmid n. genus,Torymus c. capillaceus,Spilochalcis sp.,Galeopsomyia sp. C,Pseudocatolaccus guizoti,Platygaster sp. A,Rileya tegularis,Torymus atriplicis,Torymus umbilicatus,Galeopsomyia sp. A,Gelechiid sp. A,Tricorynus sp.,Acarid sp.,Gelechiid sp. B,Agathis sp.,Plastonoxus incompletus,Goniozus sp. A,Goniozus sp. B,Chelonus sp.,Arthrocnodax sp.,Anystid sp.,Asphondylia sp. C
Eupelmid n. genus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torymus c. capillaceus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spilochalcis sp.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galeopsomyia sp. C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudocatolaccus guizoti,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platygaster sp. A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rileya tegularis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torymus atriplicis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torymus umbilicatus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelechiid sp. A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tricorynus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Acarid sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Gelechiid sp. B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Asphondylia sp. C,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gall tissue (Atriplex polycarpa),0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1
