"name";"bold";"eol";"tsn";"ncbi"
"Cetraria delisei";NA;NA;"190610";NA
"Bryophyta";"176192";"11090370";"14189";"3208"
"Achorutes";NA;"21847481";"100162";NA
"Lumbricillus";"349718";"11329198";"204745";"735369"
"Brevipalpus phoenicis";NA;"12437020";NA;"152387"
"Rangifer tarandus";"19364";"10667116";"898504";"9870"
"Plectrophenax nivalis";"9791";"11149802";"730116";"161627"
"Calidris maritima";"10177";"11143092";"176646";"28682"
