"sp_taxon_1";"sp_taxon_2";"value"
"Ficus vogelii";"Cholorocichla flaviventris";"270"
"Bridelia micrantha";"Cholorocichla flaviventris";"123"
"Halleria lucida";"Cholorocichla flaviventris";"26"
"Ficus natalensis";"Cholorocichla flaviventris";"25"
"Apodytes dimidiata";"Cholorocichla flaviventris";"164"
"Trema orientalis";"Cholorocichla flaviventris";"9"
"Dovyalis longispina";"Cholorocichla flaviventris";"57"
"Sideroxylon inerme";"Cholorocichla flaviventris";"112"
"Trichilia emetica";"Cholorocichla flaviventris";"83"
"Vepris undulata";"Cholorocichla flaviventris";"47"
"Euclea natalensis";"Cholorocichla flaviventris";"51"
"Antidesma venosum";"Cholorocichla flaviventris";"4"
"Ekebergia capensis";"Cholorocichla flaviventris";"7"
"Mimusops caffra";"Cholorocichla flaviventris";"11"
"Ficus vogelii";"Pogoniulus bilineatus";"86"
"Bridelia micrantha";"Pogoniulus bilineatus";"6"
"Halleria lucida";"Pogoniulus bilineatus";"44"
"Ficus natalensis";"Pogoniulus bilineatus";"116"
"Apodytes dimidiata";"Pogoniulus bilineatus";"30"
"Trema orientalis";"Pogoniulus bilineatus";"92"
"Dovyalis longispina";"Pogoniulus bilineatus";"27"
"Sideroxylon inerme";"Pogoniulus bilineatus";"38"
"Trichilia emetica";"Pogoniulus bilineatus";"41"
"Vepris undulata";"Pogoniulus bilineatus";"62"
"Erianthemum dregei";"Pogoniulus bilineatus";"141"
"Euclea natalensis";"Pogoniulus bilineatus";"27"
"Antidesma venosum";"Pogoniulus bilineatus";"36"
"Ekebergia capensis";"Pogoniulus bilineatus";"5"
"Strelitzia nicholai";"Pogoniulus bilineatus";"10"
"Mimusops caffra";"Pogoniulus bilineatus";"3"
"Ficus vogelii";"Pycnonotus barbatus";"151"
"Bridelia micrantha";"Pycnonotus barbatus";"114"
"Halleria lucida";"Pycnonotus barbatus";"23"
"Ficus natalensis";"Pycnonotus barbatus";"25"
"Apodytes dimidiata";"Pycnonotus barbatus";"3"
"Trema orientalis";"Pycnonotus barbatus";"13"
"Dovyalis longispina";"Pycnonotus barbatus";"57"
"Trichilia emetica";"Pycnonotus barbatus";"10"
"Euclea natalensis";"Pycnonotus barbatus";"8"
"Antidesma venosum";"Pycnonotus barbatus";"11"
"Ekebergia capensis";"Pycnonotus barbatus";"1"
"Strelitzia nicholai";"Pycnonotus barbatus";"26"
"Mimusops caffra";"Pycnonotus barbatus";"3"
"Ficus vogelii";"Buccanodon leucotis";"259"
"Bridelia micrantha";"Buccanodon leucotis";"12"
"Halleria lucida";"Buccanodon leucotis";"13"
"Ficus natalensis";"Buccanodon leucotis";"15"
"Dovyalis longispina";"Buccanodon leucotis";"2"
"Sideroxylon inerme";"Buccanodon leucotis";"4"
"Euclea natalensis";"Buccanodon leucotis";"8"
"Antidesma venosum";"Buccanodon leucotis";"3"
"Ekebergia capensis";"Buccanodon leucotis";"14"
