REARING_NUMBER;date;sp_taxon_1;sp_taxon_2;value;attr;lat;lon;type
198846A-49POretic;1988-08-13;Pontania reticulatae;Lathrostizus flexicauda;29;Number of parasited galls;68,31666667;18,85;parasitism
198846A-49POretic;1988-08-13;Pontania reticulatae;Pteromalus pontaniae;41;Number of parasited galls;68,31666667;18,85;parasitism
198846A-49POretic;1988-08-13;Pontania reticulatae;Pteromalus dolichurus;4;Number of parasited galls;68,31666667;18,85;parasitism
198846A-49POretic;1988-08-13;Pontania reticulatae;Shawiana lapponica;2;Number of parasited galls;68,31666667;18,85;parasitism
198846A-49POretic;1988-08-13;Pontania reticulatae;Chalcidoidea indet.;22;Number of parasited galls;68,31666667;18,85;parasitism
198846A-49POretic;1988-08-13;Pontania reticulatae;Bracon romani;40;Number of parasited galls;68,31666667;18,85;parasitism
198849R-51V1Oherba;1988-08-13;Pontania herbaceae;Pteromalus pontaniae;101;Number of parasited galls;68,31666667;18,85;parasitism
198849R-51V1Oherba;1988-08-13;Pontania herbaceae;Ichneumonidae indet.;2;Number of parasited galls;68,31666667;18,85;parasitism
198849R-51V1Oherba;1988-08-13;Pontania herbaceae;Shawiana lapponica;5;Number of parasited galls;68,31666667;18,85;parasitism
198849R-51V1Oherba;1988-08-13;Salix herbacea;Pontania herbaceae;381;Number of galls;68,31666667;18,85;parasitism
198849R-51V1Oherba;1988-08-13;Pontania herbaceae;Bracon romani;60;Number of parasited galls;68,31666667;18,85;parasitism
198852A-53V1Elappo;1988-08-15;Euura lappo;Pteromalus pontaniae;1;Number of parasited galls;66,55;15,3;parasitism
198852A-53V1Elappo;1988-08-15;Euura lappo;Chalcidoidea indet.;2;Number of parasited galls;66,55;15,3;parasitism
198852A-53V1Elappo;1988-08-15;Salix lapponum;Euura lappo;500;Number of galls;66,55;15,3;parasitism
198854A-DElappc;1988-08-15;Salix lapponum;Euura lapponica;15;Number of galls;66,55;15,3;parasitism
198854F-J1Onorve;1988-08-19;Pontania norvegica;Eulonchetron torymoides;1;Number of parasited galls;62,53333333;9,616666667;parasitism
198854F-J1Onorve;1988-08-19;Pontania norvegica;Chalcidoidea indet.;10;Number of parasited galls;62,53333333;9,616666667;parasitism
198854F-J1Onorve;1988-08-19;Salix borealis;Pontania norvegica;93;Number of galls;62,53333333;9,616666667;parasitism
198854F-J1Onorve;1988-08-19;Pontania norvegica;Saotis granulator;1;Number of parasited galls;62,53333333;9,616666667;parasitism
198854F-J1Onorve;1988-08-19;Pontania norvegica;Eurytoma aciculata;9;Number of parasited galls;62,53333333;9,616666667;commensalism
198854F-J1Onorve;1988-08-19;Pontania norvegica;Pteromalus cyniphidis;1;Number of parasited galls;62,53333333;9,616666667;parasitism
198854F-J1Onorve;1988-08-19;Pontania norvegica;Braconidae indet.;2;Number of parasited galls;62,53333333;9,616666667;parasitism
198854L1-N1Ephyli;1988-08-19;Salix phylicifolia;Euura phylicifoliae;11;Number of galls;62,53333333;9,616666667;parasitism
198855A-UOmyrsi;1988-08-15;Pontania myrsiniticola;Bracon romani;8;Number of parasited galls;66,03333333;13,68333333;parasitism
198855A-UOmyrsi;1988-08-15;Salix myrsinites;Pontania myrsiniticola;64;Number of galls;66,03333333;13,68333333;parasitism
198855A-UOmyrsi;1988-08-15;Pontania myrsiniticola;Eurytoma aciculata;1;Number of parasited galls;66,03333333;13,68333333;commensalism
198855A-UOmyrsi;1988-08-15;Pontania myrsiniticola;Chalcidoidea indet.;6;Number of parasited galls;66,03333333;13,68333333;parasitism
198855VOspeit;1988-08-15;Pontania P. sp.18;Bracon romani;1;Number of parasited galls;66,03333333;13,68333333;parasitism
198855VOspeit;1988-08-15;Pontania P. sp.18;Chalcidoidea indet.;1;Number of parasited galls;66,03333333;13,68333333;parasitism
198855VOspeit;1988-08-15;Salix myrsinites;Pontania P. sp.18;2;Number of galls;66,03333333;13,68333333;parasitism
198855W-56ZElappc;1988-08-15;Salix lapponum;Euura lapponica;208;Number of galls;66,03333333;13,68333333;parasitism
198855W-56ZElappc;1988-08-15;Euura lapponica;Bracon romani;3;Number of parasited galls;66,03333333;13,68333333;parasitism
198856A1-V1Elappo;1988-08-15;Salix lapponum;Euura lappo;105;Number of galls;66,03333333;13,68333333;parasitism
198857A-B1Omyrsi;1988-08-19;Pontania myrsiniticola;Lathrostizus flexicauda;2;Number of parasited galls;62,18333333;9,483333333;parasitism
198857A-B1Omyrsi;1988-08-19;Salix myrsinites;Pontania myrsiniticola;84;Number of galls;62,18333333;9,483333333;parasitism
198857D1-58JOmyrsi;1988-08-19;Salix myrsinites;Pontania myrsiniticola;85;Number of galls;61,6;8,033333333;parasitism
198857D1-58JOmyrsi;1988-08-19;Pontania myrsiniticola;Chalcidoidea indet.;3;Number of parasited galls;61,6;8,033333333;parasitism
198857D1-58JOmyrsi;1988-08-19;Pontania myrsiniticola;Pteromalus pontaniae;8;Number of parasited galls;61,6;8,033333333;parasitism
198857D1-58JOmyrsi;1988-08-19;Pontania myrsiniticola;Bracon romani;4;Number of parasited galls;61,6;8,033333333;parasitism
198858L-59XOgalla;1988-08-22;Pontania gallarum;Hydriomena ruberata;2;Number of parasited galls;60,11666667;6,633333333;commensalism
198858L-59XOgalla;1988-08-22;Pontania gallarum;Scambus vesicarius;1;Number of parasited galls;60,11666667;6,633333333;parasitism
198858L-59XOgalla;1988-08-22;Pontania gallarum;Pteromalus cyniphidis;1;Number of parasited galls;60,11666667;6,633333333;parasitism
198858L-59XOgalla;1988-08-22;Salix caprea;Pontania gallarum;180;Number of galls;60,11666667;6,633333333;parasitism
198858L-59XOgalla;1988-08-22;Pontania gallarum;Campoplex sp.;2;Number of parasited galls;60,11666667;6,633333333;parasitism
198858L-59XOgalla;1988-08-22;Pontania gallarum;Chalcidoidea indet.;7;Number of parasited galls;60,11666667;6,633333333;parasitism
198858L-59XOgalla;1988-08-22;Pontania gallarum;Pteromalus pontaniae;1;Number of parasited galls;60,11666667;6,633333333;parasitism
198858L-59XOgalla;1988-08-22;Pontania gallarum;Eulonchetron torymoides;4;Number of parasited galls;60,11666667;6,633333333;parasitism
198859A1-60Oherba;1988-08-22;Salix herbacea;Pontania herbaceae;210;Number of galls;59,83333333;6,816666667;parasitism
198859A1-60Oherba;1988-08-22;Pontania herbaceae;Eurytoma aciculata;25;Number of parasited galls;59,83333333;6,816666667;commensalism
198859A1-60Oherba;1988-08-22;Pontania herbaceae;Adelognathus cubiceps;5;Number of parasited galls;59,83333333;6,816666667;parasitism
198859A1-60Oherba;1988-08-22;Pontania herbaceae;Bracon romani;3;Number of parasited galls;59,83333333;6,816666667;parasitism
198864M-YElappc;1988-08-15;Euura lapponica;Bracon romani;6;Number of parasited galls;66,03333333;13,68333333;parasitism
198864M-YElappc;1988-08-15;Salix lapponum;Euura lapponica;16;Number of galls;66,03333333;13,68333333;parasitism
198876A-77H1Ovimin;1988-06-24;Salix purpurea;Pontania viminalis;246;Number of galls;49,85;8,516666667;parasitism
198876A-77H1Ovimin;1988-06-24;Pontania viminalis;Eupelmus urozonus;2;Number of parasited galls;49,85;8,516666667;parasitism
198876A-77H1Ovimin;1988-06-24;Pontania viminalis;Pteromalus dolichurus;1;Number of parasited galls;49,85;8,516666667;parasitism
198876A-77H1Ovimin;1988-06-24;Pontania viminalis;Eurytoma aciculata;38;Number of parasited galls;49,85;8,516666667;commensalism
198877J1-R1Ovesic;1988-06-24;Pontania vesicator;Eurytoma aciculata;3;Number of parasited galls;49,85;8,516666667;commensalism
198877J1-R1Ovesic;1988-06-24;Salix purpurea;Pontania vesicator;17;Number of galls;49,85;8,516666667;parasitism
198878A-V1Obella;1988-09-22;Pontania bella;Bracon epitriptus;1;Number of parasited galls;50,65;8,666666667;parasitism
198878A-V1Obella;1988-09-22;Pontania bella;Chalcidoidea indet.;5;Number of parasited galls;50,65;8,666666667;parasitism
198878A-V1Obella;1988-09-22;Salix aurita;Pontania bella;16;Number of galls;50,65;8,666666667;parasitism
198878A-V1Obella;1988-09-22;Pontania bella;Bracon romani;1;Number of parasited galls;50,65;8,666666667;parasitism
1988SZS-CHpruss;1988-07-13;Salix cinerea;Phyllocolpa prussica;144;Number of galls;49,81666667;8,416666667;parasitism
1988SZS-CHpruss;1988-07-13;Phyllocolpa prussica;Adelognathus pusillus;6;Number of parasited galls;49,81666667;8,416666667;parasitism
198901A-E1Ovesic;1989-05-31;Pontania vesicator;Curculio crux;11;Number of parasited galls;49,81666667;8,416666667;commensalism
198901A-E1Ovesic;1989-05-31;Pontania vesicator;Chalcidoidea indet.;4;Number of parasited galls;49,81666667;8,416666667;parasitism
198901A-E1Ovesic;1989-05-31;Salix purpurea;Pontania vesicator;96;Number of galls;49,81666667;8,416666667;parasitism
198901G1-L1Ovimin;1989-05-31;Salix purpurea;Pontania viminalis;18;Number of galls;49,81666667;8,416666667;parasitism
198901G1-L1Ovimin;1989-05-31;Pontania viminalis;Curculio crux;1;Number of parasited galls;49,81666667;8,416666667;commensalism
198901G1-L1Ovimin;1989-05-31;Pontania viminalis;Chalcidoidea indet.;5;Number of parasited galls;49,81666667;8,416666667;parasitism
198902A1-3EOvimin;1989-05-31;Salix purpurea;Pontania viminalis;91;Number of galls;49,85;8,516666667;parasitism
198902A1-3EOvimin;1989-05-31;Pontania viminalis;Ichneutes lapponicus;2;Number of parasited galls;49,85;8,516666667;parasitism
198902A1-3EOvimin;1989-05-31;Pontania viminalis;Eurytoma aciculata;5;Number of parasited galls;49,85;8,516666667;commensalism
198902A1-3EOvimin;1989-05-31;Pontania viminalis;Curculio crux;6;Number of parasited galls;49,85;8,516666667;commensalism
198902A1-3EOvimin;1989-05-31;Pontania viminalis;Chalcidoidea indet.;10;Number of parasited galls;49,85;8,516666667;parasitism
198902C-YOvimin;1989-05-31;Pontania viminalis;Curculio crux;8;Number of parasited galls;49,81666667;8,416666667;commensalism
198902C-YOvimin;1989-05-31;Pontania viminalis;Pteromalus dolichurus;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198902C-YOvimin;1989-05-31;Pontania viminalis;Eurytoma aciculata;3;Number of parasited galls;49,81666667;8,416666667;commensalism
198902C-YOvimin;1989-05-31;Salix purpurea;Pontania viminalis;69;Number of galls;49,81666667;8,416666667;parasitism
198903A1-4XOproxi;1989-06-01;Salix fragilis;Pontania proxima;139;Number of galls;50,23333333;8,316666667;parasitism
198903A1-4XOproxi;1989-06-01;Pontania proxima;Chalcidoidea indet.;18;Number of parasited galls;50,23333333;8,316666667;parasitism
198903A1-4XOproxi;1989-06-01;Pontania proxima;Euphranta toxoneura;4;Number of parasited galls;50,23333333;8,316666667;commensalism
198903A1-4XOproxi;1989-06-01;Pontania proxima;Curculio crux;36;Number of parasited galls;50,23333333;8,316666667;commensalism
198903G-TOviril;1989-05-31;Salix purpurea;Pontania virilis;43;Number of galls;49,85;8,516666667;parasitism
198903G-TOviril;1989-05-31;Pontania virilis;Curculio crux;9;Number of parasited galls;49,85;8,516666667;commensalism
198903G-TOviril;1989-05-31;Pontania virilis;Pteromalus dolichurus;9;Number of parasited galls;49,85;8,516666667;parasitism
198903G-TOviril;1989-05-31;Pontania virilis;Chalcidoidea indet.;10;Number of parasited galls;49,85;8,516666667;parasitism
198903G-TOviril;1989-05-31;Pontania virilis;Scambus vesicarius;1;Number of parasited galls;49,85;8,516666667;parasitism
198904A1-L1Ovimin;1989-05-31;Pontania viminalis;Chalcidoidea indet.;2;Number of parasited galls;49,85;8,383333333;parasitism
198904A1-L1Ovimin;1989-05-31;Salix purpurea;Pontania viminalis;37;Number of galls;49,85;8,383333333;parasitism
198904A1-L1Ovimin;1989-05-31;Pontania viminalis;Curculio crux;2;Number of parasited galls;49,85;8,383333333;commensalism
198904N1-R1Oviril;1989-05-31;Salix purpurea;Pontania virilis;15;Number of galls;49,85;8,383333333;parasitism
198904N1-R1Oviril;1989-05-31;Pontania virilis;Chalcidoidea indet.;1;Number of parasited galls;49,85;8,383333333;parasitism
198904N1-R1Oviril;1989-05-31;Pontania virilis;Curculio crux;4;Number of parasited galls;49,85;8,383333333;commensalism
198905A-V1Oproxi;1989-05-31;Pontania proxima;Curculio crux;62;Number of parasited galls;49,85;8,383333333;commensalism
198905A-V1Oproxi;1989-05-31;Pontania proxima;Lathrostizus lugens;2;Number of parasited galls;49,85;8,383333333;parasitism
198905A-V1Oproxi;1989-05-31;Salix alba;Pontania proxima;117;Number of galls;49,85;8,383333333;parasitism
198905A-V1Oproxi;1989-05-31;Pontania proxima;Chalcidoidea indet.;8;Number of parasited galls;49,85;8,383333333;parasitism
198905A-V1Oproxi;1989-05-31;Pontania proxima;Apanteles sp.;1;Number of parasited galls;49,85;8,383333333;parasitism
198906A-9V1Oelaea;1989-06-29;Salix elaeagnos;Pontania elaeagnocola;768;Number of galls;47,38333333;11,6;parasitism
198906A-9V1Oelaea;1989-06-29;Pontania elaeagnocola;Scambus vesicarius;14;Number of parasited galls;47,38333333;11,6;parasitism
198906A-9V1Oelaea;1989-06-29;Pontania elaeagnocola;Hydriomena ruberata;6;Number of parasited galls;47,38333333;11,6;commensalism
198906A-9V1Oelaea;1989-06-29;Pontania elaeagnocola;Chalcidoidea indet.;167;Number of parasited galls;47,38333333;11,6;parasitism
198906A-9V1Oelaea;1989-06-29;Pontania elaeagnocola;Eridolius pygmaeus;3;Number of parasited galls;47,38333333;11,6;parasitism
198906A-9V1Oelaea;1989-06-29;Pontania elaeagnocola;Curculio crux;7;Number of parasited galls;47,38333333;11,6;commensalism
198906A-9V1Oelaea;1989-06-29;Pontania elaeagnocola;Pteromalus dolichurus;4;Number of parasited galls;47,38333333;11,6;parasitism
198906A-9V1Oelaea;1989-06-29;Pontania elaeagnocola;Cirrospilus vittatus;1;Number of parasited galls;47,38333333;11,6;parasitism
198910A-V1Onigri;1989-06-30;Pontania nigricantis;Chalcidoidea indet.;54;Number of parasited galls;47,1;11,65;parasitism
198910A-V1Onigri;1989-06-30;Salix myrsinifolia;Pontania nigricantis;192;Number of galls;47,1;11,65;parasitism
198911A-V1Onigri;1989-06-30;Pontania nigricantis;Chalcidoidea indet.;38;Number of parasited galls;47,15;11,76666667;parasitism
198911A-V1Onigri;1989-06-30;Salix myrsinifolia;Pontania nigricantis;195;Number of galls;47,15;11,76666667;parasitism
198912A-V1Ohelve;1989-07-02;Salix helvetica;Pontania helveticae;209;Number of galls;46,86666667;10,91666667;parasitism
198912A-V1Ohelve;1989-07-02;Pontania helveticae;Pteromalus dolichurus;3;Number of parasited galls;46,86666667;10,91666667;parasitism
198912A-V1Ohelve;1989-07-02;Pontania helveticae;Chalcidoidea indet.;14;Number of parasited galls;46,86666667;10,91666667;parasitism
198913A-14V1Ovesic;1989-07-04;Pontania vesicator;Chalcidoidea indet.;48;Number of parasited galls;46,71666667;10,85;parasitism
198913A-14V1Ovesic;1989-07-04;Pontania vesicator;Scambus vesicarius;1;Number of parasited galls;46,71666667;10,85;parasitism
198913A-14V1Ovesic;1989-07-04;Salix purpurea;Pontania vesicator;204;Number of galls;46,71666667;10,85;parasitism
198915A-IObridg;1989-08-10;Pontania bridgmanii;Chalcidoidea indet.;11;Number of parasited galls;47,43333333;14,13333333;parasitism
198915A-IObridg;1989-08-10;Pontania bridgmanii;Pteromalus dolichurus;3;Number of parasited galls;47,43333333;14,13333333;parasitism
198915A-IObridg;1989-08-10;Salix appendiculata;Pontania bridgmanii;36;Number of galls;47,43333333;14,13333333;parasitism
198915A-IObridg;1989-08-10;Pontania bridgmanii;Pnigalio nemati;1;Number of parasited galls;47,43333333;14,13333333;parasitism
198915A1-16POvaria;1989-08-10;Pontania varia;Eurytoma aciculata;11;Number of parasited galls;47,4;14,18333333;commensalism
198915A1-16POvaria;1989-08-10;Salix myrsinifolia;Pontania varia;88;Number of galls;47,4;14,18333333;parasitism
198915A1-16POvaria;1989-08-10;Pontania varia;Saotis pygidiator;7;Number of parasited galls;47,4;14,18333333;parasitism
198915A1-16POvaria;1989-08-10;Pontania varia;Euphranta toxoneura;4;Number of parasited galls;47,4;14,18333333;commensalism
198915A1-16POvaria;1989-08-10;Pontania varia;Hydriomena ruberata;1;Number of parasited galls;47,4;14,18333333;commensalism
198915A1-16POvaria;1989-08-10;Pontania varia;Curculio crux;1;Number of parasited galls;47,4;14,18333333;commensalism
198915A1-16POvaria;1989-08-10;Pontania varia;Chalcidoidea indet.;16;Number of parasited galls;47,4;14,18333333;parasitism
198915K-YObridg;1989-08-10;Pontania bridgmanii;Chalcidoidea indet.;13;Number of parasited galls;47,4;14,18333333;parasitism
198915K-YObridg;1989-08-10;Salix appendiculata;Pontania bridgmanii;62;Number of galls;47,4;14,18333333;parasitism
198916R-V1Ovimin;1989-08-11;Salix purpurea;Pontania viminalis;124;Number of galls;47,58333333;13,93333333;parasitism
198916R-V1Ovimin;1989-08-11;Pontania viminalis;Eurytoma aciculata;78;Number of parasited galls;47,58333333;13,93333333;commensalism
198916R-V1Ovimin;1989-08-11;Pontania viminalis;Chalcidoidea indet.;10;Number of parasited galls;47,58333333;13,93333333;parasitism
198917A-QOfoeti;1989-08-11;Pontania foetidae;Bracon romani;1;Number of parasited galls;47,58333333;13,93333333;parasitism
198917A-QOfoeti;1989-08-11;Pontania foetidae;Hydriomena ruberata;1;Number of parasited galls;47,58333333;13,93333333;commensalism
198917A-QOfoeti;1989-08-11;Pontania foetidae;Chalcidoidea indet.;17;Number of parasited galls;47,58333333;13,93333333;parasitism
198917A-QOfoeti;1989-08-11;Salix foetida;Pontania foetidae;67;Number of galls;47,58333333;13,93333333;parasitism
198917O1-18WOvaria;1989-08-11;Pontania varia;Apion minimum;2;Number of parasited galls;47,6;13,76666667;commensalism
198917O1-18WOvaria;1989-08-11;Pontania varia;Eurytoma aciculata;1;Number of parasited galls;47,6;13,76666667;commensalism
198917O1-18WOvaria;1989-08-11;Pontania varia;Curculio crux;38;Number of parasited galls;47,6;13,76666667;commensalism
198917O1-18WOvaria;1989-08-11;Pontania varia;Pteromalus dolichurus;4;Number of parasited galls;47,6;13,76666667;parasitism
198917O1-18WOvaria;1989-08-11;Pontania varia;Scambus vesicarius;2;Number of parasited galls;47,6;13,76666667;parasitism
198917O1-18WOvaria;1989-08-11;Salix myrsinifolia;Pontania varia;125;Number of galls;47,6;13,76666667;parasitism
198917O1-18WOvaria;1989-08-11;Pontania varia;Ichneutes lapponicus;3;Number of parasited galls;47,6;13,76666667;parasitism
198917O1-18WOvaria;1989-08-11;Pontania varia;Eulonchetron torymoides;4;Number of parasited galls;47,6;13,76666667;parasitism
198917O1-18WOvaria;1989-08-11;Pontania varia;Euphranta toxoneura;1;Number of parasited galls;47,6;13,76666667;commensalism
198917O1-18WOvaria;1989-08-11;Pontania varia;Chalcidoidea indet.;6;Number of parasited galls;47,6;13,76666667;parasitism
198917T-M1Okriec;1989-08-11;Pontania kriechbaumeri;Chalcidoidea indet.;18;Number of parasited galls;47,58333333;13,93333333;parasitism
198917T-M1Okriec;1989-08-11;Salix elaeagnos;Pontania kriechbaumeri;80;Number of galls;47,58333333;13,93333333;parasitism
198918A1-20ZOkriec;1989-08-11;Pontania kriechbaumeri;Eulonchetron torymoides;1;Number of parasited galls;47,6;13,76666667;parasitism
198918A1-20ZOkriec;1989-08-11;Pontania kriechbaumeri;Curculio crux;6;Number of parasited galls;47,6;13,76666667;commensalism
198918A1-20ZOkriec;1989-08-11;Pontania kriechbaumeri;Chalcidoidea indet.;43;Number of parasited galls;47,6;13,76666667;parasitism
198918A1-20ZOkriec;1989-08-11;Salix elaeagnos;Pontania kriechbaumeri;385;Number of galls;47,6;13,76666667;parasitism
198918A1-20ZOkriec;1989-08-11;Pontania kriechbaumeri;Ichneutes lapponicus;6;Number of parasited galls;47,6;13,76666667;parasitism
198918A1-20ZOkriec;1989-08-11;Pontania kriechbaumeri;Eurytoma aciculata;5;Number of parasited galls;47,6;13,76666667;commensalism
198920A1-21V1Onigri;1989-08-12;Salix mielichhoferi;Pontania nigricantis;280;Number of galls;47,23333333;13,51666667;parasitism
198920A1-21V1Onigri;1989-08-12;Pontania nigricantis;Chalcidoidea indet.;50;Number of parasited galls;47,23333333;13,51666667;parasitism
198920A1-21V1Onigri;1989-08-12;Pontania nigricantis;Hydriomena ruberata;2;Number of parasited galls;47,23333333;13,51666667;commensalism
198920A1-21V1Onigri;1989-08-12;Pontania nigricantis;Scambus vesicarius;14;Number of parasited galls;47,23333333;13,51666667;parasitism
198922A-23V1Ovaria;1989-08-12;Salix mielichhoferi;Pontania varia;384;Number of galls;47,23333333;13,51666667;parasitism
198922A-23V1Ovaria;1989-08-12;Pontania varia;Hydriomena ruberata;9;Number of parasited galls;47,23333333;13,51666667;commensalism
198922A-23V1Ovaria;1989-08-12;Pontania varia;Chalcidoidea indet.;27;Number of parasited galls;47,23333333;13,51666667;parasitism
198922A-23V1Ovaria;1989-08-12;Pontania varia;Eurytoma aciculata;9;Number of parasited galls;47,23333333;13,51666667;commensalism
198924A-JOmonti;1989-08-12;Salix waldsteiniana;Pontania montivaga;43;Number of galls;47,23333333;13,51666667;parasitism
198924A-JOmonti;1989-08-12;Pontania montivaga;Chalcidoidea indet.;8;Number of parasited galls;47,23333333;13,51666667;parasitism
198924L-L1Ofoeti;1989-08-12;Salix waldsteiniana;Pontania foetidae;109;Number of galls;47,23333333;13,51666667;parasitism
198924L-L1Ofoeti;1989-08-12;Pontania foetidae;Shawiana lapponica;1;Number of parasited galls;47,23333333;13,51666667;parasitism
198924L-L1Ofoeti;1989-08-12;Pontania foetidae;Chalcidoidea indet.;10;Number of parasited galls;47,23333333;13,51666667;parasitism
198924L-L1Ofoeti;1989-08-12;Pontania foetidae;Pteromalus dolichurus;3;Number of parasited galls;47,23333333;13,51666667;parasitism
198924L-L1Ofoeti;1989-08-12;Pontania foetidae;Bracon romani;2;Number of parasited galls;47,23333333;13,51666667;parasitism
198924L-L1Ofoeti;1989-08-12;Pontania foetidae;Scambus vesicarius;2;Number of parasited galls;47,23333333;13,51666667;parasitism
198924M1-R1Oobscu;1989-08-12;Salix waldsteiniana;Pontania obscura;19;Number of galls;47,23333333;13,51666667;parasitism
198924M1-R1Oobscu;1989-08-12;Pontania obscura;Chalcidoidea indet.;1;Number of parasited galls;47,23333333;13,51666667;parasitism
198925A-D1Egemmf;1989-08-12;Salix waldsteiniana;Euura gemmafoetidae;119;Number of galls;47,23333333;13,51666667;parasitism
198925E1-26I1Ovaria;1989-08-13;Salix myrsinifolia;Pontania varia;214;Number of galls;47,1;11,65;parasitism
198925E1-26I1Ovaria;1989-08-13;Pontania varia;Eulonchetron torymoides;9;Number of parasited galls;47,1;11,65;parasitism
198925E1-26I1Ovaria;1989-08-13;Pontania varia;Saotis pygidiator;2;Number of parasited galls;47,1;11,65;parasitism
198925E1-26I1Ovaria;1989-08-13;Pontania varia;Bracon romani;1;Number of parasited galls;47,1;11,65;parasitism
198925E1-26I1Ovaria;1989-08-13;Pontania varia;Chalcidoidea indet.;15;Number of parasited galls;47,1;11,65;parasitism
198925E1-26I1Ovaria;1989-08-13;Pontania varia;Eurytoma aciculata;53;Number of parasited galls;47,1;11,65;commensalism
198926K1-27EOmonti;1989-08-13;Pontania montivaga;Chalcidoidea indet.;1;Number of parasited galls;47,1;11,65;parasitism
198926K1-27EOmonti;1989-08-13;Salix foetida;Pontania montivaga;70;Number of galls;47,1;11,65;parasitism
198927A1-28V1Ovaria;1989-08-13;Salix myrsinifolia;Pontania varia;280;Number of galls;47,15;11,76666667;parasitism
198927A1-28V1Ovaria;1989-08-13;Pontania varia;Ichneutes lapponicus;14;Number of parasited galls;47,15;11,76666667;parasitism
198927A1-28V1Ovaria;1989-08-13;Pontania varia;Chalcidoidea indet.;15;Number of parasited galls;47,15;11,76666667;parasitism
198927A1-28V1Ovaria;1989-08-13;Pontania varia;Eurytoma aciculata;23;Number of parasited galls;47,15;11,76666667;commensalism
198927G-TOfoeti;1989-08-13;Pontania foetidae;Bracon romani;1;Number of parasited galls;47,1;11,65;parasitism
198927G-TOfoeti;1989-08-13;Pontania foetidae;Chalcidoidea indet.;6;Number of parasited galls;47,1;11,65;parasitism
198927G-TOfoeti;1989-08-13;Salix foetida;Pontania foetidae;56;Number of galls;47,1;11,65;parasitism
198927V-XOobscu;1989-08-13;Salix foetida;Pontania obscura;12;Number of galls;47,1;11,65;parasitism
198927V-XOobscu;1989-08-13;Pontania obscura;Chalcidoidea indet.;1;Number of parasited galls;47,1;11,65;parasitism
198929A-V1Ohasta;1989-08-15;Salix hastata;Pontania hastatae;184;Number of galls;46,86666667;10,91666667;parasitism
198929A-V1Ohasta;1989-08-15;Pontania hastatae;Shawiana lapponica;1;Number of parasited galls;46,86666667;10,91666667;parasitism
198929A-V1Ohasta;1989-08-15;Pontania hastatae;Scambus vesicarius;2;Number of parasited galls;46,86666667;10,91666667;parasitism
198929A-V1Ohasta;1989-08-15;Pontania hastatae;Eurytoma aciculata;45;Number of parasited galls;46,86666667;10,91666667;commensalism
198929A-V1Ohasta;1989-08-15;Pontania hastatae;Chalcidoidea indet.;16;Number of parasited galls;46,86666667;10,91666667;parasitism
198934A-J1Onival;1989-08-15;Salix glaucosericea;Pontania nivalis;146;Number of galls;46,86666667;10,91666667;parasitism
198934A-J1Onival;1989-08-15;Pontania nivalis;Chalcidoidea indet.;9;Number of parasited galls;46,86666667;10,91666667;parasitism
198934A-J1Onival;1989-08-15;Pontania nivalis;Bracon romani;3;Number of parasited galls;46,86666667;10,91666667;parasitism
198934A-J1Onival;1989-08-15;Pontania nivalis;Scambus vesicarius;1;Number of parasited galls;46,86666667;10,91666667;parasitism
198934A-J1Onival;1989-08-15;Pontania nivalis;Eurytoma aciculata;3;Number of parasited galls;46,86666667;10,91666667;commensalism
198934L1-36KOvaria;1989-08-15;Pontania varia;Eurytoma aciculata;14;Number of parasited galls;46,86666667;10,91666667;commensalism
198934L1-36KOvaria;1989-08-15;Pontania varia;Braconidae indet.;2;Number of parasited galls;46,86666667;10,91666667;parasitism
198934L1-36KOvaria;1989-08-15;Pontania varia;Hydriomena ruberata;1;Number of parasited galls;46,86666667;10,91666667;commensalism
198934L1-36KOvaria;1989-08-15;Pontania varia;Chalcidoidea indet.;9;Number of parasited galls;46,86666667;10,91666667;parasitism
198934L1-36KOvaria;1989-08-15;Salix myrsinifolia;Pontania varia;90;Number of galls;46,86666667;10,91666667;parasitism
198936D1-37EOnival;1989-08-15;Salix glaucosericea;Pontania nivalis;96;Number of galls;46,86666667;11,01666667;parasitism
198936D1-37EOnival;1989-08-15;Pontania nivalis;Bracon romani;5;Number of parasited galls;46,86666667;11,01666667;parasitism
198936D1-37EOnival;1989-08-15;Pontania nivalis;Scambus vesicarius;5;Number of parasited galls;46,86666667;11,01666667;parasitism
198936D1-37EOnival;1989-08-15;Pontania nivalis;Hydriomena ruberata;1;Number of parasited galls;46,86666667;11,01666667;commensalism
198936D1-37EOnival;1989-08-15;Pontania nivalis;Chalcidoidea indet.;4;Number of parasited galls;46,86666667;11,01666667;parasitism
198936D1-37EOnival;1989-08-15;Pontania nivalis;Pteromalus dolichurus;2;Number of parasited galls;46,86666667;11,01666667;parasitism
198936D1-37EOnival;1989-08-15;Pontania nivalis;Shawiana lapponica;1;Number of parasited galls;46,86666667;11,01666667;parasitism
198936M-B1Omacul;1989-08-15;Salix helvetica;Pontania maculosa;63;Number of galls;46,86666667;10,91666667;parasitism
198936M-B1Omacul;1989-08-15;Pontania maculosa;Chalcidoidea indet.;1;Number of parasited galls;46,86666667;10,91666667;parasitism
198936M-B1Omacul;1989-08-15;Pontania maculosa;Pteromalus dolichurus;1;Number of parasited galls;46,86666667;10,91666667;parasitism
198936M-B1Omacul;1989-08-15;Pontania maculosa;Scambus vesicarius;10;Number of parasited galls;46,86666667;10,91666667;parasitism
