REARING_NUMBER;date;sp_taxon_1;sp_taxon_2;value;attr;lat;lon;type
198222A-V1Obella;1982-06-30;Pontania bella;Ichneutes lapponicus;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198222A-V1Obella;1982-06-30;Pontania bella;Bracon discoideus;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198222A-V1Obella;1982-06-30;Pontania bella;Eurytoma aciculata;14;Number of parasited galls;49,81666667;8,416666667;commensalism
198222A-V1Obella;1982-06-30;Pontania bella;Bracon intercessor;1;Number of parasited galls;49,81666667;8,416666667;parasitism
198223A-V1Oproxi;1982-06-30;Pontania proxima;Curculio crux;28;Number of parasited galls;49,85;8,383333333;commensalism
198223A-V1Oproxi;1982-06-30;Pontania proxima;Bracon discoideus;1;Number of parasited galls;49,85;8,383333333;parasitism
198223A-V1Oproxi;1982-06-30;Pontania proxima;Lathrostizus lugens;10;Number of parasited galls;49,85;8,383333333;parasitism
198223A-V1Oproxi;1982-06-30;Pontania proxima;Pteromalus dolichurus;3;Number of parasited galls;49,85;8,383333333;parasitism
198223A-V1Oproxi;1982-06-30;Pontania proxima;Euphranta toxoneura;1;Number of parasited galls;49,85;8,383333333;commensalism
198223A-V1Oproxi;1982-06-30;Salix alba;Pontania proxima;61;Number of galls;49,85;8,383333333;parasitism
198224A-V1Obridg;1982-07-06;Salix appendiculata;Pontania bridgmanii;57;Number of galls;46,95;11,01666667;parasitism
198224A-V1Obridg;1982-07-06;Pontania bridgmanii;Olesicampe sp.;2;Number of parasited galls;46,95;11,01666667;parasitism
198224A-V1Obridg;1982-07-06;Pontania bridgmanii;Hydriomena ruberata;1;Number of parasited galls;46,95;11,01666667;commensalism
198224A-V1Obridg;1982-07-06;Pontania bridgmanii;Eulonchetron torymoides;1;Number of parasited galls;46,95;11,01666667;parasitism
198225A-V1Obridg;1982-07-06;Pontania bridgmanii;Olesicampe sp.;2;Number of parasited galls;46,95;11,01666667;parasitism
198225A-V1Obridg;1982-07-06;Salix appendiculata;Pontania bridgmanii;65;Number of galls;46,95;11,01666667;parasitism
198225A-V1Obridg;1982-07-06;Pontania bridgmanii;Hydriomena ruberata;1;Number of parasited galls;46,95;11,01666667;commensalism
198226A-V1Ohasta;1982-07-07;Salix hastata;Pontania hastatae;53;Number of galls;46,86666667;10,91666667;parasitism
198226A-V1Ohasta;1982-07-07;Pontania hastatae;Hydriomena ruberata;1;Number of parasited galls;46,86666667;10,91666667;commensalism
198227P-ZOnigri;1982-07-07;Salix myrsinifolia;Pontania nigricantis;14;Number of galls;46,86666667;10,91666667;parasitism
198227P-ZOnigri;1982-07-07;Pontania nigricantis;Pteromalus dolichurus;2;Number of parasited galls;46,86666667;10,91666667;parasitism
198229A-V1Ovaria;1982-07-08;Salix myrsinifolia;Pontania varia;62;Number of galls;46,86666667;10,91666667;parasitism
198230A-31VObridg;1982-07-08;Salix appendiculata;Pontania bridgmanii;85;Number of galls;46,86666667;10,91666667;parasitism
198230A-31VObridg;1982-07-08;Pontania bridgmanii;Pteromalus dolichurus;5;Number of parasited galls;46,86666667;10,91666667;parasitism
