name;bold;eol;tsn;ncbi
Saotis;400104;52245804;NA;495599
Aprostocetus tymber;NA;52139421;NA;NA
Bracon epitriptus;NA;52203455;NA;NA
Pteromalus;173764;52130352;153986;32388
Pnigalio soemius;508210;53227597;NA;456317
Lathrostizus flexicauda;792170;52241724;NA;1714315
Lathrostizus forticauda;NA;NA;NA;NA
Campoplex;70800;52236753;NA;95272
Ctenochira romani;NA;52235178;NA;NA
Ctenochira;213535;52235152;840839;494224
Saotis tricolor;NA;52245796;NA;NA
Saotis alpinator;NA;NA;NA;NA
Eurytoma salicis;NA;52136434;NA;1714313
Anaprostocetus acuminatus;792178;52142139;NA;1714309
Torymus;7527;51189638;NA;169551
Closterocerus trifasciatus;508406;52140170;NA;108714
Anoncus gallicola;NA;NA;NA;NA
Saotis morleyi;NA;52245799;NA;NA
Colastes;82220;52208567;NA;55937
Dicladocerus westwoodi;NA;52139971;NA;981025
Aprostocetus;51255;51191592;153925;108626
Mesoleius;213574;51176007;NA;494877
Lathrostizus/Olesicampe;NA;NA;NA;288177
Lathrostizus lapponicus;NA;52241734;NA;NA
Adelognathus;473620;52224451;NA;65296
Bracon lividus;NA;52203826;NA;NA
Bracon pulcher;NA;NA;NA;NA
Lathrostizus alpicola;NA;52241732;NA;NA
Mesopolobus;182853;51188541;NA;27518
Mesochorus;92581;52228196;NA;65260
Ichneutes brevis;NA;52216010;NA;NA
Dolichogenidea coleophorae;392385;51170756;NA;1185572
Dolichogenidea longicauda;392404;51170762;NA;1185578
Eridolius;213582;52237872;NA;273969
Bracon conjugellae;NA;NA;NA;NA
Eurytoma;7582;52136025;NA;75202
Exochus;156944;55654178;595112;65256
Apanteles xanthostigma;391968;52204428;NA;1581990
Bracon obscurator;NA;NA;NA;NA
Erromenus analis;389239;52224337;NA;NA
Polyblastus;213496;51176377;NA;65292
Itoplectis alternans;449212;NA;NA;NA
Bracon immutator;NA;52203514;NA;NA
Saotis subarctor;483083;NA;NA;NA
Lathrostizus punctipes;NA;52241722;NA;NA
Saotis boreator;NA;NA;NA;NA
Adelognathus trochanteratus;NA;52224483;NA;NA
Lathrostizus alpinus;NA;52241730;NA;NA
Saotis renovata;NA;52245800;NA;NA
Eridolius taigensis;776691;52237884;NA;NA
Eclytus;92603;52242320;NA;231864
Saotis nigriscuta;752600;52245794;NA;NA
Cteniscus dorsalis;389262;52223782;NA;NA
Colastes gracilis;NA;NA;NA;NA
Polyblastus pumilus;389538;NA;NA;1667457
Gambrus ornatus;NA;52225004;NA;NA
Ichneutes reunitor;NA;52216009;NA;NA
Campodorus variegatus;737718;52236124;NA;494178
Exyston calcaratus;389479;52242254;NA;NA
Ichneutes;204095;52216004;NA;64877
Bracon;79771;55752317;153267;42101
Eridolius frontator;389277;52237882;NA;NA
Rhinotorus brachycerus;NA;NA;NA;NA
Pontania acutifoliae daphnoides;340458;51192537;NA;469976
Salix reticulata;126336;50912784;22489;75717
Salix glauca;126359;52849074;837822;395314
Salix lanata;254567;46212387;22483;218388
Salix hastata x phylicifolia;NA;NA;NA;NA
Salix lapponum x phylicifolia;NA;NA;NA;NA
Salix caprea x appendiculata;NA;NA;NA;NA
Salix cinerea oleifolia;NA;NA;NA;NA
Salix;100960;50912857;22484;40685
Salix lapponum x glauca;NA;NA;NA;NA
Salix aurita x caprea;NA;NA;NA;717494
Pontania acutifoliae acutifoliae;340455;NA;NA;NA
Salix polaris;126370;57270113;22487;395315
Salix fragilis x pentandra;NA;NA;NA;NA
Braconidae;527;57364150;152867;7402
Ichneumonidae;563;51178571;NA;7408
Salix apennina;NA;52849189;837776;NA
Salix viminalis x caprea;NA;NA;NA;NA
Salix cinerea x myrsinifolia;NA;NA;NA;NA
Euura angusta;337857;NA;NA;NA
