"description";"REARING_NUMBER";"lat";"lon";"name";"number";"date"
"1982-06-15, Germany, Hessen, Griesheim bei Darmstadt";"198204A-V1Ovimin";49,85;8,5166666667;"Kolpelke 455";455;1982-06-15
"1982-06-15, Germany, Hessen, Griesheim bei Darmstadt";"198206A-IOvesic";49,85;8,5166666667;"Kolpelke 455";455;1982-06-15
"1982-06-15, Germany, Hessen, Griesheim bei Darmstadt";"198205A1-V1Obridg";49,85;8,5166666667;"Kolpelke 455";455;1982-06-15
"1982-06-15, Germany, Hessen, Griesheim bei Darmstadt";"198205A-ZOgalla";49,85;8,5166666667;"Kolpelke 455";455;1982-06-15
"1982-06-15, Germany, Hessen, Kühkopf, Mordhecke I";"198207A-V1Opedun";49,8166666667;8,4166666667;"Kolpelke 454";454;1982-06-15
"1982-06-15, Germany, Hessen, Kühkopf, Mordhecke I";"198203W1-R3Ovimin";49,8166666667;8,4166666667;"Kolpelke 454";454;1982-06-15
"1982-06-15, Germany, Hessen, Kühkopf, Mordhecke I";"198206J-V1Ovesic";49,8166666667;8,4166666667;"Kolpelke 454";454;1982-06-15
"1982-06-15, Germany, Hessen, Kühkopf, Mordhecke I";"198208A-L1Ovimin";49,8166666667;8,4166666667;"Kolpelke 454";454;1982-06-15
"1982-06-15, Germany, Hessen, Kühkopf, Mordhecke I";"198209A-14V1Ovesic";49,8166666667;8,4166666667;"Kolpelke 454";454;1982-06-15
"1982-06-23, Germany, Hessen, Taunus, Hunoldstal";"198218A-ZOproxi";50,2833333333;8,45;"Kolpelke 459";459;1982-06-23
"1982-06-23, Germany, Hessen, Taunus, Hunoldstal";"198218A1-19ZOvimin";50,2833333333;8,45;"Kolpelke 459";459;1982-06-23
"1982-06-23, Germany, Hessen, Taunus, Waldems-Esch";"198217A-V1Oproxi";50,2333333333;8,3166666667;"Kolpelke 458";458;1982-06-23
"1982-06-23, Germany, Hessen, Taunus, Waldems-Reichenbach";"198215H1-16V1Oproxi";50,25;8,35;"Kolpelke 457";457;1982-06-23
"1982-06-26, Germany, Hessen, Karben";"198215A-G1Otrian";50,2166666667;8,75;"Kolpelke 456";456;1982-06-26
"1982-06-29, Germany, Hessen, Frankfurt, Riedwiese";"198220A-ZOpedun";50,1666666667;8,6333333333;"Kolpelke 460";460;1982-06-29
"1982-06-29, Germany, Hessen, Frankfurt, Riedwiese";"198220A1-V1Obridg";50,1666666667;8,6333333333;"Kolpelke 460";460;1982-06-29
"1982-06-29, Germany, Hessen, Frankfurt, Riedwiese";"198221A-V1Ovimin";50,1666666667;8,6333333333;"Kolpelke 460";460;1982-06-29
"1982-06-30, Germany, Hessen, Kühkopf, Mordhecke I";"198222A-V1Obella";49,8166666667;8,4166666667;"Kolpelke 461";461;1982-06-30
"1982-06-30, Germany, Hessen, Kühkopf, Mordhecke III";"198223A-V1Oproxi";49,85;8,3833333333;"Kolpelke 462";462;1982-06-30
"1982-07-06, Austria, Tirol, Ötztal, Sölden/ Rechenau";"198224A-V1Obridg";46,95;11,0166666667;"Kolpelke 463";463;1982-07-06
"1982-07-06, Austria, Tirol, Ötztal, Sölden/ Rechenau";"198225A-V1Obridg";46,95;11,0166666667;"Kolpelke 463";463;1982-07-06
"1982-07-07, Austria, Tirol, Ötztal, Vent/ Gample";"198227P-ZOnigri";46,8666666667;10,9166666667;"Kolpelke 464";464;1982-07-07
"1982-07-07, Austria, Tirol, Ötztal, Vent/ Gample";"198226A-V1Ohasta";46,8666666667;10,9166666667;"Kolpelke 464";464;1982-07-07
"1982-07-08, Austria, Tirol, Ötztal, Vent/ Gample";"198230A-31VObridg";46,8666666667;10,9166666667;"Kolpelke 465";465;1982-07-08
"1982-07-08, Austria, Tirol, Ötztal, Vent/ Gample";"198229A-V1Ovaria";46,8666666667;10,9166666667;"Kolpelke 465";465;1982-07-08
"1982-07-09, Austria, Tirol, Ötztal, Vent/ Gample";"198231U-V1Onival";46,8666666667;10,9166666667;"Kolpelke 466";466;1982-07-09
"1982-07-20, Germany, Hessen, Kühkopf, Mordhecke I";"198236A-V1Ovimin";49,8166666667;8,4166666667;"Kolpelke 467";467;1982-07-20
"1982-07-20, Germany, Hessen, Kühkopf, Mordhecke I";"198234A-35V1Ovesic";49,8166666667;8,4166666667;"Kolpelke 467";467;1982-07-20
"1982-07-20, Germany, Hessen, Kühkopf, Mordhecke III";"198237A-V1Oproxi";49,85;8,3833333333;"Kolpelke 468";468;1982-07-20
"1982-08-01, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198243A-V1Ovaria";47,1;11,65;"Kolpelke 469";469;1982-08-01
"1982-08-01, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198242A-H1Oobscu";47,1;11,65;"Kolpelke 469";469;1982-08-01
"1982-08-01, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198238A-39V1Ovaria";47,1;11,65;"Kolpelke 469";469;1982-08-01
"1982-08-01, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198240A-V1Onigri";47,1;11,65;"Kolpelke 469";469;1982-08-01
"1982-08-01, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198241A-V1Ovesic";47,1;11,65;"Kolpelke 469";469;1982-08-01
"1982-08-01, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198245A-V1Ovesic";47,1;11,65;"Kolpelke 469";469;1982-08-01
"1982-08-02, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198244A1-V1Ofoeti";47,1;11,65;"Kolpelke 470";470;1982-08-02
"1982-08-02, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198246A-LObridg";47,1;11,65;"Kolpelke 470";470;1982-08-02
"1982-08-02, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198244A-ZOnigri";47,1;11,65;"Kolpelke 470";470;1982-08-02
"1982-08-02, Austria, Tirol, Zillertal, Stumm/ Märzengrund";"198246M-47V1Obridg";47,3;11,9;"Kolpelke 471";471;1982-08-02
"1982-08-04, Austria, Tirol, Olperer";"198248A-49E1Oretus";47,1;11,6666666667;"Kolpelke 472";472;1982-08-04
"1982-08-05, Austria, Tirol, Zillertal, Stumm/ Märzengrund";"198250A-D1Obridg";47,3;11,9;"Kolpelke 473";473;1982-08-05
"1982-08-11, Germany, Hessen, Griesheim bei Darmstadt";"198251A-MOvimin";49,85;8,5166666667;"Kolpelke 474";474;1982-08-11
"1982-08-11, Germany, Hessen, Kühkopf, Mordhecke I";"198252A-V1Oproxi";49,8166666667;8,4166666667;"Kolpelke 476";476;1982-08-11
"1982-08-11, Germany, Hessen, Kühkopf, Mordhecke I";"198253A-V1Ovesic";49,8166666667;8,4166666667;"Kolpelke 476";476;1982-08-11
"1982-08-11, Germany, Hessen, Kühkopf, Mordhecke I";"198251N-K1Ovimin";49,8166666667;8,4166666667;"Kolpelke 476";476;1982-08-11
"1982-08-11, Germany, Hessen, Kühkopf, Mordhecke III";"198251L1-V1Ovimin";49,85;8,3833333333;"Kolpelke 475";475;1982-08-11
"1982-08-24, Germany, Hessen, Kühkopf, Mordhecke I";"198254A-55V1Oproxi";49,8166666667;8,4166666667;"Kolpelke 477";477;1982-08-24
"1982-08-29, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198257A-58V1Ovaria";47,1;11,65;"Kolpelke 478";478;1982-08-29
"1982-08-29, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198264A-ROvimin";47,1;11,65;"Kolpelke 478";478;1982-08-29
"1982-08-29, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198264A1-F1Oretic";47,1;11,65;"Kolpelke 478";478;1982-08-29
"1982-08-29, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198259A-61V1Oretus";47,1;11,65;"Kolpelke 478";478;1982-08-29
"1982-08-29, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198262A-63V1Ovesic";47,1;11,65;"Kolpelke 478";478;1982-08-29
"1982-08-29, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198269A-70V1Eelaea";47,1;11,65;"Kolpelke 478";478;1982-08-29
"1982-08-29, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198256A1-V1Ofoeti";47,1;11,65;"Kolpelke 478";478;1982-08-29
"1982-08-29, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198256A-WOobscu";47,1;11,65;"Kolpelke 478";478;1982-08-29
"1982-08-31, Austria, Tirol, Ötztal, Vent/ Gample";"198265A-ZOhasta";46,8666666667;10,9166666667;"Kolpelke 479";479;1982-08-31
"1982-08-31, Austria, Tirol, Ötztal, Vent/ Gample";"198265A1-J1Omacul";46,8666666667;10,9166666667;"Kolpelke 479";479;1982-08-31
"1982-08-31, Austria, Tirol, Ötztal, Vent/ Gample";"198266A-ZOnival";46,8666666667;10,9166666667;"Kolpelke 479";479;1982-08-31
"1982-09-01, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198271A-ZOmonti";47,1;11,65;"Kolpelke 480";480;1982-09-01
"1982-09-01, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198268A-V1Omonti";47,1;11,65;"Kolpelke 480";480;1982-09-01
"1982-09-01, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198271A1-V1Oobscu";47,1;11,65;"Kolpelke 480";480;1982-09-01
"1982-09-01, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198267A-V1Ofoeti";47,1;11,65;"Kolpelke 480";480;1982-09-01
"1982-09-14, Germany, Hessen, Taunus, Hunoldstal";"198274A-75V1Oproxi";50,2833333333;8,45;"Kolpelke 481";481;1982-09-14
"1982-09-14, Germany, Hessen, Taunus, Hunoldstal";"198272A-73V1Ovimin";50,2833333333;8,45;"Kolpelke 481";481;1982-09-14
"1982-09-14, Germany, Hessen, Taunus, Waldems-Esch";"198277A-V1Oproxi";50,2333333333;8,3166666667;"Kolpelke 483";483;1982-09-14
"1982-09-14, Germany, Hessen, Taunus, Waldems-Reichenbach";"198276A-V1Oproxi";50,25;8,35;"Kolpelke 482";482;1982-09-14
"1982-09-21, Germany, Hessen, Kühkopf, Mordhecke I";"198278K1-79Oproxi";49,8166666667;8,4166666667;"Kolpelke 484";484;1982-09-21
"1982-09-21, Germany, Hessen, Kühkopf, Mordhecke I";"198278A-J1Obridg";49,8166666667;8,4166666667;"Kolpelke 484";484;1982-09-21
"1983-05-17, Germany, Hessen, Griesheim bei Darmstadt";"198301A-4V1Oviril";49,85;8,5166666667;"Kolpelke 485";485;1983-05-17
"1983-06-14, Germany, Hessen, Griesheim bei Darmstadt";"198306A-7V1Opedun";49,85;8,5166666667;"Kolpelke 487";487;1983-06-14
"1983-06-15, Germany, Hessen, Frankfurt, Riedwiese";"198305A-V1Opedun";50,1666666667;8,6333333333;"Kolpelke 486";486;1983-06-15
"1983-06-15, Germany, Hessen, Frankfurt, Riedwiese";"198308A-V1Obridg";50,1666666667;8,6333333333;"Kolpelke 486";486;1983-06-15
"1983-06-21, Germany, Hessen, Griesheim bei Darmstadt";"198311A-V1Opedun";49,85;8,5166666667;"Kolpelke 488";488;1983-06-21
"1983-06-21, Germany, Hessen, Griesheim bei Darmstadt";"198310A-V1Obridg";49,85;8,5166666667;"Kolpelke 488";488;1983-06-21
"1983-06-21, Germany, Hessen, Griesheim bei Darmstadt";"198309A-M1Ovimin";49,85;8,5166666667;"Kolpelke 488";488;1983-06-21
"1983-06-21, Germany, Hessen, Kühkopf, Mordhecke I";"198312A-13V1Ovesic";49,8166666667;8,4166666667;"Kolpelke 489";489;1983-06-21
"1983-06-22, Germany, Hessen, Karben";"198321A-V1Otrian";50,2166666667;8,75;"Kolpelke 493";493;1983-06-22
"1983-06-22, Germany, Hessen, Taunus, Hunoldstal";"198327Y-V1Ovimin";50,2833333333;8,45;"Kolpelke 492";492;1983-06-22
"1983-06-22, Germany, Hessen, Taunus, Hunoldstal";"198319A-20V1Oproxi";50,2833333333;8,45;"Kolpelke 492";492;1983-06-22
"1983-06-22, Germany, Hessen, Taunus, Usingen";"198326A-27VOgalla";50,35;8,5666666667;"Kolpelke 494";494;1983-06-22
"1983-06-22, Germany, Hessen, Taunus, Usingen";"198322A-25V1Oproxi";50,35;8,5666666667;"Kolpelke 494";494;1983-06-22
"1983-06-22, Germany, Hessen, Taunus, Waldems-Esch";"198317A-18V1Oproxi";50,2333333333;8,3166666667;"Kolpelke 491";491;1983-06-22
"1983-06-22, Germany, Hessen, Taunus, Waldems-Reichenbach";"198314A-16V1Oproxi";50,25;8,35;"Kolpelke 490";490;1983-06-22
"1983-06-28, Austria, Tirol, Ötztal, Vent/ Gample";"198328A-30V1Ohelve";46,8666666667;10,9166666667;"Kolpelke 495";495;1983-06-28
"1983-07-04, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198331A-32I1Onigri";47,1;11,65;"Kolpelke 496";496;1983-07-04
"1983-07-06, Austria, Tirol, Zillertal, Lanersbach";"198336A-V1Onigri";47,15;11,7666666667;"Kolpelke 498";498;1983-07-06
"1983-07-06, Austria, Tirol, Zillertal, Lanersbach/ Geiselalm";"198333A-35V1Onigri";47,1666666667;11,7333333333;"Kolpelke 497";497;1983-07-06
"1983-08-16, Austria, Tirol, Ötztal, Obergurgl/ Gaisbergf.";"198340A-41V1Oretic";46,8666666667;11;"Kolpelke 500";500;1983-08-16
"1983-08-17, Austria, Tirol, Ötztal, Vent/ Am Spiegel";"198342A-43V1Omacul";46,85;10,9;"Kolpelke 501";501;1983-08-17
"1983-08-17, Austria, Tirol, Ötztal, Vent/ Gample";"198345A-V1Ohasta";46,8666666667;10,9166666667;"Kolpelke 502";502;1983-08-17
"1983-08-17, Austria, Tirol, Ötztal, Vent/ Gample";"198344A-V1Onival";46,8666666667;10,9166666667;"Kolpelke 502";502;1983-08-17
"1983-08-18, Austria, Tirol, Ötztal, Obergurgl";"198348A-V1Ovaria";46,8666666667;11,0166666667;"Kolpelke 503";503;1983-08-18
"1983-08-18, Austria, Tirol, Ötztal, Obergurgl";"198346A-47V1Ohasta";46,8666666667;11,0166666667;"Kolpelke 503";503;1983-08-18
"1983-08-21, Austria, Tirol, Zillertal, Lanersbach";"198338A-V1Oadaph";47,15;11,7666666667;"Kolpelke 499";499;1983-08-21
"1983-08-21, Austria, Tirol, Zillertal, Lanersbach";"198339A-V1Ovaria";47,15;11,7666666667;"Kolpelke 499";499;1983-08-21
"1983-08-22, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198351A1-L1Omonti";47,1;11,65;"Kolpelke 504";504;1983-08-22
"1983-08-22, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198349A-50V1Ovesic";47,1;11,65;"Kolpelke 504";504;1983-08-22
"1983-08-22, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198352A-V1Oobscu";47,1;11,65;"Kolpelke 504";504;1983-08-22
"1983-08-22, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198351M1-V1Ovimin";47,1;11,65;"Kolpelke 504";504;1983-08-22
"1983-08-22, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198351A-ZOfoeti";47,1;11,65;"Kolpelke 504";504;1983-08-22
"1983-08-23, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198353A-V1Ofoeti";47,1;11,65;"Kolpelke 505";505;1983-08-23
"1983-08-23, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198355A-57V1Oretus";47,1;11,65;"Kolpelke 505";505;1983-08-23
"1983-08-23, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198358A-V1Omonti";47,1;11,65;"Kolpelke 505";505;1983-08-23
"1983-08-23, Austria, Tirol, Zillertal, Hintertux/ Weitental";"198354A-V1Ovaria";47,1;11,65;"Kolpelke 505";505;1983-08-23
"1983-09-06, Germany, Hessen, Griesheim bei Darmstadt";"198360A-XOvimin";49,85;8,5166666667;"Kolpelke 507";507;1983-09-06
"1983-09-06, Germany, Hessen, Griesheim bei Darmstadt";"198360Y-T1Obridg";49,85;8,5166666667;"Kolpelke 507";507;1983-09-06
"1983-09-06, Germany, Hessen, Kühkopf, Mordhecke I";"198361O-V1Oproxi";49,8166666667;8,4166666667;"Kolpelke 506";506;1983-09-06
"1983-09-06, Germany, Hessen, Kühkopf, Mordhecke I";"198359A-K1Ovesic";49,8166666667;8,4166666667;"Kolpelke 506";506;1983-09-06
"1983-09-07, Germany, Hessen, Karben";"198361A-MOtrian";50,2166666667;8,75;"Kolpelke 508";508;1983-09-07
"1983-09-07, Germany, Hessen, Taunus, Hunoldstal";"198362A-V1Oproxi";50,2833333333;8,45;"Kolpelke 509";509;1983-09-07
"1983-09-07, Germany, Hessen, Taunus, Usingen";"198364A-V1Oproxi";50,35;8,5666666667;"Kolpelke 511";511;1983-09-07
"1983-09-07, Germany, Hessen, Taunus, Waldems-Esch";"198363A-V1Oproxi";50,2333333333;8,3166666667;"Kolpelke 510";510;1983-09-07
"1983-09-07, Germany, Hessen, Taunus, Waldems-Esch";"198365A-68V1Oproxi";50,2333333333;8,3166666667;"Kolpelke 510";510;1983-09-07
"1983-10-04, Germany, Baden-Württemberg, Schwarzwald, Schluchsee";"198369A-71V1Ovaria";47,8333333333;8,1166666667;"Kolpelke 512";512;1983-10-04
"1984-07-05, Switzerland, Wallis, Obergoms, Obergesteln";"198401A-4V1Oviril";46,5;8,3166666667;"Kolpelke 513";513;1984-07-05
"1984-07-07, Austria, Tirol, Ötztal, Vent/ Gample";"198405A-V1Ohelve";46,8666666667;10,9166666667;"Kolpelke 514";514;1984-07-07
"1984-07-12, Germany, Hessen, Frankfurt, Riedwiese";"198406A-I1Opedun";50,1666666667;8,6333333333;"Kolpelke 515";515;1984-07-12
"1984-07-12, Germany, Hessen, Griesheim bei Darmstadt";"198406J1-7LOpedun";49,85;8,5166666667;"Kolpelke 516";516;1984-07-12
"1984-07-12, Germany, Hessen, Vogelsberg, Hoherodskopf";"198407R-ZObridg";50,5;9,2;"Kolpelke 517";517;1984-07-12
"1984-07-18, Germany, Hessen, Vogelsberg, Hoherodskopf";"198409K1-Q1Obridg";50,5;9,2;"Kolpelke 519";519;1984-07-18
"1984-07-19, Germany, Hessen, Taunus, Usingen";"198409A-J1Obridg";50,35;8,5666666667;"Kolpelke 518";518;1984-07-19
"1984-07-19, Germany, Hessen, Taunus, Usingen";"198408A-I1Ogalla";50,35;8,5666666667;"Kolpelke 518";518;1984-07-19
"1984-07-24, Germany, Hessen, Griesheim bei Darmstadt";"198412A-JHangli";49,85;8,5166666667;"Kolpelke 520";520;1984-07-24
"1984-07-25, Germany, Hessen, Griesheim bei Darmstadt";"198414S-G1Ogalla";49,85;8,5166666667;"Kolpelke 521";521;1984-07-25
"1984-08-06, Denmark, Jylland, Nymindegab";"198464A-NObridg";55,8166666667;8,2;"Kolpelke 539";539;1984-08-06
"1984-08-06, Denmark, Jylland, Nymindegab";"198462A-63V1Ocolla";55,8166666667;8,2;"Kolpelke 539";539;1984-08-06
"1984-08-06, Denmark, Jylland, Nymindegab";"198464Q-A1Opedun";55,8166666667;8,2;"Kolpelke 539";539;1984-08-06
"1984-08-11, Switzerland, Wallis, Obergoms, Obergesteln";"198423A-V1Oadaph";46,5;8,3166666667;"Kolpelke 523";523;1984-08-11
"1984-08-11, Switzerland, Wallis, Obergoms, Obergesteln";"198422A1-V1Otrian";46,5;8,3166666667;"Kolpelke 523";523;1984-08-11
"1984-08-11, Switzerland, Wallis, Obergoms, Reckingen";"198421A1-22ZOhasta";46,4666666667;8,2333333333;"Kolpelke 522";522;1984-08-11
"1984-08-11, Switzerland, Wallis, Obergoms, Reckingen";"198419A1-V1Ovimin";46,4666666667;8,2333333333;"Kolpelke 522";522;1984-08-11
"1984-08-11, Switzerland, Wallis, Obergoms, Reckingen";"198420A-21ZOadaph";46,4666666667;8,2333333333;"Kolpelke 522";522;1984-08-11
"1984-08-11, Switzerland, Wallis, Obergoms, Reckingen";"198415A-19ZOvesic";46,4666666667;8,2333333333;"Kolpelke 522";522;1984-08-11
"1984-08-12, Switzerland, Wallis, Obergoms, Gletsch";"198429L-SOhelve";46,55;8,35;"Kolpelke 524";524;1984-08-12
"1984-08-12, Switzerland, Wallis, Obergoms, Gletsch";"198427A-29JOmacul";46,55;8,35;"Kolpelke 524";524;1984-08-12
"1984-08-12, Switzerland, Wallis, Obergoms, Gletsch";"198424A-25V1Ohelve";46,55;8,35;"Kolpelke 524";524;1984-08-12
"1984-08-12, Switzerland, Wallis, Obergoms, Gletsch";"198426A-V1Ohelve";46,55;8,35;"Kolpelke 524";524;1984-08-12
"1984-08-13, Switzerland, Wallis, Arolla";"198429A1-V1Ovimin";46,0166666667;7,4666666667;"Kolpelke 525";525;1984-08-13
"1984-08-13, Switzerland, Wallis, Arolla";"198432A-33V1Ovaria";46,0166666667;7,4666666667;"Kolpelke 525";525;1984-08-13
"1984-08-13, Switzerland, Wallis, Les Hauderes";"198431A-SOvaria";46,0666666667;7,5;"Kolpelke 527";527;1984-08-13
"1984-08-13, Switzerland, Wallis, Leukerbad";"198430A-M1Okriec";46,3666666667;7,6166666667;"Kolpelke 526";526;1984-08-13
"1984-08-14, Switzerland, Wallis, Saastal, Mattmark";"198436A-G1Ovaria";46,05;7,95;"Kolpelke 528";528;1984-08-14
"1984-08-14, Switzerland, Wallis, Saastal, Mattmark";"198435A-V1Ohasta";46,05;7,95;"Kolpelke 528";528;1984-08-14
"1984-08-14, Switzerland, Wallis, Saastal, Mattmark";"198437A1-L1Oviril";46,05;7,95;"Kolpelke 528";528;1984-08-14
"1984-08-14, Switzerland, Wallis, Saastal, Mattmark";"198434A-Q1Omacul";46,05;7,95;"Kolpelke 528";528;1984-08-14
"1984-08-14, Switzerland, Wallis, Saastal, Mattmark";"198437M1-V1Ovimin";46,05;7,95;"Kolpelke 528";528;1984-08-14
"1984-08-14, Switzerland, Wallis, Saastal, Mattmark";"198436I1-37WObrevi";46,05;7,95;"Kolpelke 528";528;1984-08-14
"1984-08-15, Switzerland, Uri, Hospental";"198443A-44SOhasta";46,6;8,55;"Kolpelke 529";529;1984-08-15
"1984-08-15, Switzerland, Uri, Hospental";"198445A1-D1Ovimin";46,6;8,55;"Kolpelke 529";529;1984-08-15
"1984-08-15, Switzerland, Uri, Hospental";"198441A1-42L1Ohasta";46,6;8,55;"Kolpelke 529";529;1984-08-15
"1984-08-15, Switzerland, Uri, Hospental";"198439A-40OOadaph";46,6;8,55;"Kolpelke 529";529;1984-08-15
"1984-08-15, Switzerland, Wallis, Binntal nr. Fiesch";"198445F1-V1Ofoeti";46,35;8,1666666667;"Kolpelke 531";531;1984-08-15
"1984-08-15, Switzerland, Wallis, Nufenenpaß, Paßhöhe I";"198440Q-41ZOretus";46,4666666667;8,4;"Kolpelke 530";530;1984-08-15
"1984-08-15, Switzerland, Wallis, Nufenenpaß, Paßhöhe I";"198442N1-V1Omacul";46,4666666667;8,4;"Kolpelke 530";530;1984-08-15
"1984-08-16, Switzerland, Wallis, Binntal nr. Fiesch";"198449L1-P1Omacul";46,35;8,1666666667;"Kolpelke 532";532;1984-08-16
"1984-08-16, Switzerland, Wallis, Binntal nr. Fiesch";"198448A-49J1Oobscu";46,35;8,1666666667;"Kolpelke 532";532;1984-08-16
"1984-08-16, Switzerland, Wallis, Binntal nr. Fiesch";"198446A1-47N1Ofoeti";46,35;8,1666666667;"Kolpelke 532";532;1984-08-16
"1984-08-16, Switzerland, Wallis, Binntal nr. Fiesch";"198446A-YOvaria";46,35;8,1666666667;"Kolpelke 532";532;1984-08-16
"1984-08-17, Switzerland, Wallis, Obergoms, Gletsch";"198451N-UOhasta";46,55;8,35;"Kolpelke 533";533;1984-08-17
"1984-08-17, Switzerland, Wallis, Obergoms, Gletsch";"198450A-V1Omacul";46,55;8,35;"Kolpelke 533";533;1984-08-17
"1984-08-17, Switzerland, Wallis, Obergoms, Gletsch";"198451A-LOnival";46,55;8,35;"Kolpelke 533";533;1984-08-17
"1984-08-18, Switzerland, Wallis, Saastal, Mattmark";"198454A-55V1Ohasta";46,05;7,95;"Kolpelke 534";534;1984-08-18
"1984-08-18, Switzerland, Wallis, Saastal, Mattmark";"198452A-V1Obrevi";46,05;7,95;"Kolpelke 534";534;1984-08-18
"1984-08-18, Switzerland, Wallis, Saastal, Mattmark";"198453A-V1Ovaria";46,05;7,95;"Kolpelke 534";534;1984-08-18
"1984-08-19, Switzerland, Wallis, Grimselpaß, Grimselsee";"198458A-U1Egemmh";46,5666666667;8,3166666667;"Kolpelke 536";536;1984-08-19
"1984-08-19, Switzerland, Wallis, Grimselpaß, Räterichsbodensee";"198457A-B1Onival";46,5666666667;8,3166666667;"Kolpelke 535";535;1984-08-19
"1984-08-19, Switzerland, Wallis, Sustenpaß";"198459A-LOretus";46,7333333333;8,4;"Kolpelke 537";537;1984-08-19
"1984-08-22, Austria, Tirol, Zillertal, Lanersbach";"198460A-ZOadaph";47,15;11,7666666667;"Kolpelke 538";538;1984-08-22
"1984-08-22, Austria, Tirol, Zillertal, Lanersbach";"198460A1-61SOvaria";47,15;11,7666666667;"Kolpelke 538";538;1984-08-22
"1984-09-17, Germany, Hessen, Niddatal, Ilbenstadt";"198465A-XOgalla";50,2666666667;8,8;"Kolpelke 540";540;1984-09-17
"1985-07-09, Norway, Oppland, Brandbu";"198501A-V1Onigri";60,3833333333;10,5166666667;"Kolpelke 541";541;1985-07-09
"1985-07-09, Norway, S.-Trondelag, Dovrefjell";"198502Y-V1Oarcti";62,1833333333;9,4833333333;"Kolpelke 542";542;1985-07-09
"1985-07-09, Norway, S.-Trondelag, Dovrefjell";"198502A-TOdolic";62,1833333333;9,4833333333;"Kolpelke 542";542;1985-07-09
"1985-07-10, Norway, N.-Trondelag, Stiklestad";"198505A-V1Obridg";63,7833333333;11,45;"Kolpelke 543";543;1985-07-10
"1985-07-10, Norway, N.-Trondelag, Stiklestad";"198503I1-V1+4Ovaria";63,7833333333;11,45;"Kolpelke 543";543;1985-07-10
"1985-07-10, Norway, N.-Trondelag, Stiklestad";"198503A-H1Onigri";63,7833333333;11,45;"Kolpelke 543";543;1985-07-10
"1985-07-11, Norway, N.-Trondelag, Steinkjer";"198508S1-V1Onigri";64,0166666667;11,4666666667;"Kolpelke 544";544;1985-07-11
"1985-07-11, Norway, N.-Trondelag, Steinkjer";"198506A-V1Onigri";64,0166666667;11,4666666667;"Kolpelke 544";544;1985-07-11
"1985-07-11, Norway, N.-Trondelag, Steinkjer";"198509A-V1Ovaria";64,0166666667;11,4666666667;"Kolpelke 544";544;1985-07-11
"1985-07-11, Norway, N.-Trondelag, Steinkjer";"198508A-Q1Ovaria";64,0166666667;11,4666666667;"Kolpelke 544";544;1985-07-11
"1985-07-11, Norway, N.-Trondelag, Steinkjer";"198507A-V1Obridg";64,0166666667;11,4666666667;"Kolpelke 544";544;1985-07-11
"1985-07-12, Norway, Nordland, Korgfjellet";"198513A-V1Onival";66,0333333333;13,6833333333;"Kolpelke 545";545;1985-07-12
"1985-07-12, Norway, Nordland, Korgfjellet";"198514A-V1Oglabr";66,0333333333;13,6833333333;"Kolpelke 545";545;1985-07-12
"1985-07-12, Norway, Nordland, Korgfjellet";"198515A-V1Oretic";66,0333333333;13,6833333333;"Kolpelke 545";545;1985-07-12
"1985-07-12, Norway, Nordland, Korgfjellet";"198510A-12V1Oglauc";66,0333333333;13,6833333333;"Kolpelke 545";545;1985-07-12
"1985-07-15, Norway, Nordland, Lofot, Laubstad";"198521A1-22V1Onival";68,35;14,7;"Kolpelke 546";546;1985-07-15
"1985-07-15, Norway, Nordland, Lofot, Laubstad";"198524A-26V1Olappo";68,35;14,7;"Kolpelke 546";546;1985-07-15
"1985-07-15, Norway, Nordland, Lofot, Laubstad";"198520A-V1Oglauc";68,35;14,7;"Kolpelke 546";546;1985-07-15
