"lat";"lon";"value";"number";"date";"name"
49,85;8,5166666667;92;455;1982-06-15;"elevation"
49,85;8,5166666667;92;455;1982-06-15;"elevation"
49,85;8,5166666667;92;455;1982-06-15;"elevation"
49,85;8,5166666667;92;455;1982-06-15;"elevation"
49,8166666667;8,4166666667;87;454;1982-06-15;"elevation"
49,8166666667;8,4166666667;87;454;1982-06-15;"elevation"
49,8166666667;8,4166666667;87;454;1982-06-15;"elevation"
49,8166666667;8,4166666667;87;454;1982-06-15;"elevation"
49,8166666667;8,4166666667;87;454;1982-06-15;"elevation"
50,2833333333;8,45;394;459;1982-06-23;"elevation"
50,2833333333;8,45;394;459;1982-06-23;"elevation"
50,2333333333;8,3166666667;311;458;1982-06-23;"elevation"
50,25;8,35;305;457;1982-06-23;"elevation"
50,2166666667;8,75;117;456;1982-06-26;"elevation"
50,1666666667;8,6333333333;107;460;1982-06-29;"elevation"
50,1666666667;8,6333333333;107;460;1982-06-29;"elevation"
50,1666666667;8,6333333333;107;460;1982-06-29;"elevation"
49,8166666667;8,4166666667;87;461;1982-06-30;"elevation"
49,85;8,3833333333;85;462;1982-06-30;"elevation"
46,95;11,0166666667;1733;463;1982-07-06;"elevation"
46,95;11,0166666667;1733;463;1982-07-06;"elevation"
46,8666666667;10,9166666667;1833;464;1982-07-07;"elevation"
46,8666666667;10,9166666667;1833;464;1982-07-07;"elevation"
46,8666666667;10,9166666667;1833;465;1982-07-08;"elevation"
46,8666666667;10,9166666667;1833;465;1982-07-08;"elevation"
46,8666666667;10,9166666667;1833;466;1982-07-09;"elevation"
49,8166666667;8,4166666667;87;467;1982-07-20;"elevation"
49,8166666667;8,4166666667;87;467;1982-07-20;"elevation"
49,85;8,3833333333;85;468;1982-07-20;"elevation"
47,1;11,65;1769;469;1982-08-01;"elevation"
47,1;11,65;1769;469;1982-08-01;"elevation"
47,1;11,65;1769;469;1982-08-01;"elevation"
47,1;11,65;1769;469;1982-08-01;"elevation"
47,1;11,65;1769;469;1982-08-01;"elevation"
47,1;11,65;1769;469;1982-08-01;"elevation"
47,1;11,65;1769;470;1982-08-02;"elevation"
47,1;11,65;1769;470;1982-08-02;"elevation"
47,1;11,65;1769;470;1982-08-02;"elevation"
47,3;11,9;984;471;1982-08-02;"elevation"
47,1;11,6666666667;2505;472;1982-08-04;"elevation"
47,3;11,9;984;473;1982-08-05;"elevation"
49,85;8,5166666667;92;474;1982-08-11;"elevation"
49,8166666667;8,4166666667;87;476;1982-08-11;"elevation"
49,8166666667;8,4166666667;87;476;1982-08-11;"elevation"
49,8166666667;8,4166666667;87;476;1982-08-11;"elevation"
49,85;8,3833333333;85;475;1982-08-11;"elevation"
49,8166666667;8,4166666667;87;477;1982-08-24;"elevation"
47,1;11,65;1769;478;1982-08-29;"elevation"
47,1;11,65;1769;478;1982-08-29;"elevation"
47,1;11,65;1769;478;1982-08-29;"elevation"
47,1;11,65;1769;478;1982-08-29;"elevation"
47,1;11,65;1769;478;1982-08-29;"elevation"
47,1;11,65;1769;478;1982-08-29;"elevation"
47,1;11,65;1769;478;1982-08-29;"elevation"
47,1;11,65;1769;478;1982-08-29;"elevation"
46,8666666667;10,9166666667;1833;479;1982-08-31;"elevation"
46,8666666667;10,9166666667;1833;479;1982-08-31;"elevation"
46,8666666667;10,9166666667;1833;479;1982-08-31;"elevation"
47,1;11,65;1769;480;1982-09-01;"elevation"
47,1;11,65;1769;480;1982-09-01;"elevation"
47,1;11,65;1769;480;1982-09-01;"elevation"
47,1;11,65;1769;480;1982-09-01;"elevation"
50,2833333333;8,45;394;481;1982-09-14;"elevation"
50,2833333333;8,45;394;481;1982-09-14;"elevation"
50,2333333333;8,3166666667;311;483;1982-09-14;"elevation"
50,25;8,35;305;482;1982-09-14;"elevation"
49,8166666667;8,4166666667;87;484;1982-09-21;"elevation"
49,8166666667;8,4166666667;87;484;1982-09-21;"elevation"
49,85;8,5166666667;92;485;1983-05-17;"elevation"
49,85;8,5166666667;92;487;1983-06-14;"elevation"
50,1666666667;8,6333333333;107;486;1983-06-15;"elevation"
50,1666666667;8,6333333333;107;486;1983-06-15;"elevation"
49,85;8,5166666667;92;488;1983-06-21;"elevation"
49,85;8,5166666667;92;488;1983-06-21;"elevation"
49,85;8,5166666667;92;488;1983-06-21;"elevation"
49,8166666667;8,4166666667;87;489;1983-06-21;"elevation"
50,2166666667;8,75;117;493;1983-06-22;"elevation"
50,2833333333;8,45;394;492;1983-06-22;"elevation"
50,2833333333;8,45;394;492;1983-06-22;"elevation"
50,35;8,5666666667;301;494;1983-06-22;"elevation"
50,35;8,5666666667;301;494;1983-06-22;"elevation"
50,2333333333;8,3166666667;311;491;1983-06-22;"elevation"
50,25;8,35;305;490;1983-06-22;"elevation"
46,8666666667;10,9166666667;1833;495;1983-06-28;"elevation"
47,1;11,65;1769;496;1983-07-04;"elevation"
47,15;11,7666666667;1553;498;1983-07-06;"elevation"
47,1666666667;11,7333333333;1515;497;1983-07-06;"elevation"
46,8666666667;11;2495;500;1983-08-16;"elevation"
46,85;10,9;1914;501;1983-08-17;"elevation"
46,8666666667;10,9166666667;1833;502;1983-08-17;"elevation"
46,8666666667;10,9166666667;1833;502;1983-08-17;"elevation"
46,8666666667;11,0166666667;1894;503;1983-08-18;"elevation"
46,8666666667;11,0166666667;1894;503;1983-08-18;"elevation"
47,15;11,7666666667;1553;499;1983-08-21;"elevation"
47,15;11,7666666667;1553;499;1983-08-21;"elevation"
47,1;11,65;1769;504;1983-08-22;"elevation"
47,1;11,65;1769;504;1983-08-22;"elevation"
47,1;11,65;1769;504;1983-08-22;"elevation"
47,1;11,65;1769;504;1983-08-22;"elevation"
47,1;11,65;1769;504;1983-08-22;"elevation"
47,1;11,65;1769;505;1983-08-23;"elevation"
47,1;11,65;1769;505;1983-08-23;"elevation"
47,1;11,65;1769;505;1983-08-23;"elevation"
47,1;11,65;1769;505;1983-08-23;"elevation"
49,85;8,5166666667;92;507;1983-09-06;"elevation"
49,85;8,5166666667;92;507;1983-09-06;"elevation"
49,8166666667;8,4166666667;87;506;1983-09-06;"elevation"
49,8166666667;8,4166666667;87;506;1983-09-06;"elevation"
50,2166666667;8,75;117;508;1983-09-07;"elevation"
50,2833333333;8,45;394;509;1983-09-07;"elevation"
50,35;8,5666666667;301;511;1983-09-07;"elevation"
50,2333333333;8,3166666667;311;510;1983-09-07;"elevation"
50,2333333333;8,3166666667;311;510;1983-09-07;"elevation"
47,8333333333;8,1166666667;882;512;1983-10-04;"elevation"
46,5;8,3166666667;1362;513;1984-07-05;"elevation"
46,8666666667;10,9166666667;1833;514;1984-07-07;"elevation"
50,1666666667;8,6333333333;107;515;1984-07-12;"elevation"
49,85;8,5166666667;92;516;1984-07-12;"elevation"
50,5;9,2;680;517;1984-07-12;"elevation"
50,5;9,2;680;519;1984-07-18;"elevation"
50,35;8,5666666667;301;518;1984-07-19;"elevation"
50,35;8,5666666667;301;518;1984-07-19;"elevation"
49,85;8,5166666667;92;520;1984-07-24;"elevation"
49,85;8,5166666667;92;521;1984-07-25;"elevation"
55,8166666667;8,2;5;539;1984-08-06;"elevation"
55,8166666667;8,2;5;539;1984-08-06;"elevation"
55,8166666667;8,2;5;539;1984-08-06;"elevation"
46,5;8,3166666667;1362;523;1984-08-11;"elevation"
46,5;8,3166666667;1362;523;1984-08-11;"elevation"
46,4666666667;8,2333333333;1350;522;1984-08-11;"elevation"
46,4666666667;8,2333333333;1350;522;1984-08-11;"elevation"
46,4666666667;8,2333333333;1350;522;1984-08-11;"elevation"
46,4666666667;8,2333333333;1350;522;1984-08-11;"elevation"
46,55;8,35;1766;524;1984-08-12;"elevation"
46,55;8,35;1766;524;1984-08-12;"elevation"
46,55;8,35;1766;524;1984-08-12;"elevation"
46,55;8,35;1766;524;1984-08-12;"elevation"
46,0166666667;7,4666666667;1976;525;1984-08-13;"elevation"
46,0166666667;7,4666666667;1976;525;1984-08-13;"elevation"
46,0666666667;7,5;1458;527;1984-08-13;"elevation"
46,3666666667;7,6166666667;1430;526;1984-08-13;"elevation"
46,05;7,95;1916;528;1984-08-14;"elevation"
46,05;7,95;1916;528;1984-08-14;"elevation"
46,05;7,95;1916;528;1984-08-14;"elevation"
46,05;7,95;1916;528;1984-08-14;"elevation"
46,05;7,95;1916;528;1984-08-14;"elevation"
46,05;7,95;1916;528;1984-08-14;"elevation"
46,6;8,55;1479;529;1984-08-15;"elevation"
46,6;8,55;1479;529;1984-08-15;"elevation"
46,6;8,55;1479;529;1984-08-15;"elevation"
46,6;8,55;1479;529;1984-08-15;"elevation"
46,35;8,1666666667;1518;531;1984-08-15;"elevation"
46,4666666667;8,4;2235;530;1984-08-15;"elevation"
46,4666666667;8,4;2235;530;1984-08-15;"elevation"
46,35;8,1666666667;1518;532;1984-08-16;"elevation"
46,35;8,1666666667;1518;532;1984-08-16;"elevation"
46,35;8,1666666667;1518;532;1984-08-16;"elevation"
46,35;8,1666666667;1518;532;1984-08-16;"elevation"
46,55;8,35;1766;533;1984-08-17;"elevation"
46,55;8,35;1766;533;1984-08-17;"elevation"
46,55;8,35;1766;533;1984-08-17;"elevation"
46,05;7,95;1916;534;1984-08-18;"elevation"
46,05;7,95;1916;534;1984-08-18;"elevation"
46,05;7,95;1916;534;1984-08-18;"elevation"
46,5666666667;8,3166666667;1992;536;1984-08-19;"elevation"
46,5666666667;8,3166666667;1517;535;1984-08-19;"elevation"
46,7333333333;8,4;1742;537;1984-08-19;"elevation"
47,15;11,7666666667;1553;538;1984-08-22;"elevation"
47,15;11,7666666667;1553;538;1984-08-22;"elevation"
50,2666666667;8,8;143;540;1984-09-17;"elevation"
60,3833333333;10,5166666667;255;541;1985-07-09;"elevation"
62,1833333333;9,4833333333;970;542;1985-07-09;"elevation"
62,1833333333;9,4833333333;970;542;1985-07-09;"elevation"
63,7833333333;11,45;5;543;1985-07-10;"elevation"
63,7833333333;11,45;5;543;1985-07-10;"elevation"
63,7833333333;11,45;5;543;1985-07-10;"elevation"
64,0166666667;11,4666666667;72;544;1985-07-11;"elevation"
64,0166666667;11,4666666667;72;544;1985-07-11;"elevation"
64,0166666667;11,4666666667;72;544;1985-07-11;"elevation"
64,0166666667;11,4666666667;72;544;1985-07-11;"elevation"
64,0166666667;11,4666666667;72;544;1985-07-11;"elevation"
66,0333333333;13,6833333333;557;545;1985-07-12;"elevation"
66,0333333333;13,6833333333;557;545;1985-07-12;"elevation"
66,0333333333;13,6833333333;557;545;1985-07-12;"elevation"
66,0333333333;13,6833333333;557;545;1985-07-12;"elevation"
68,35;14,7;111;546;1985-07-15;"elevation"
68,35;14,7;111;546;1985-07-15;"elevation"
68,35;14,7;111;546;1985-07-15;"elevation"
68,35;14,7;111;546;1985-07-15;"elevation"
68,35;14,7;111;546;1985-07-15;"elevation"
68,35;14,7;111;546;1985-07-15;"elevation"
68,35;14,7;111;546;1985-07-15;"elevation"
69,4666666667;25,5166666667;192;569;1985-07-16;"elevation"
69,4666666667;25,5166666667;192;547;1985-07-18;"elevation"
69,4666666667;25,5166666667;192;547;1985-07-18;"elevation"
69,2666666667;29,25;54;548;1985-07-23;"elevation"
69,2666666667;29,25;54;548;1985-07-23;"elevation"
69,2666666667;29,25;54;548;1985-07-23;"elevation"
69,2666666667;29,25;54;548;1985-07-23;"elevation"
69,2666666667;29,25;54;548;1985-07-23;"elevation"
69,2666666667;29,25;54;548;1985-07-23;"elevation"
69,7;30,0166666667;57;549;1985-07-24;"elevation"
69,7;30,0166666667;57;549;1985-07-24;"elevation"
69,2666666667;29,25;54;550;1985-07-25;"elevation"
69,2666666667;29,25;54;550;1985-07-25;"elevation"
69,2666666667;29,25;54;550;1985-07-25;"elevation"
69,2666666667;29,25;54;551;1985-07-28;"elevation"
69,2666666667;29,25;54;551;1985-07-28;"elevation"
69,2666666667;29,25;54;551;1985-07-28;"elevation"
69,2666666667;29,25;54;551;1985-07-28;"elevation"
69,2666666667;29,25;54;551;1985-07-28;"elevation"
69,2666666667;29,25;54;551;1985-07-28;"elevation"
69,2666666667;29,25;54;551;1985-07-28;"elevation"
69,2666666667;29,25;54;551;1985-07-28;"elevation"
69,2666666667;29,25;54;551;1985-07-28;"elevation"
69,2666666667;29,25;54;551;1985-07-28;"elevation"
69,2666666667;29,25;54;552;1985-07-30;"elevation"
69,2666666667;29,25;54;553;1985-07-31;"elevation"
69,2666666667;29,25;54;553;1985-07-31;"elevation"
69,1833333333;29,1333333333;59;554;1985-08-01;"elevation"
69,1833333333;29,1333333333;59;554;1985-08-01;"elevation"
69,1333333333;29,2166666667;57;555;1985-08-02;"elevation"
69,1333333333;29,2166666667;57;555;1985-08-02;"elevation"
69,1333333333;29,2166666667;57;555;1985-08-02;"elevation"
69,7;29,8833333333;59;570;1985-08-05;"elevation"
69,2666666667;29,25;54;571;1985-08-06;"elevation"
69,2666666667;29,25;54;571;1985-08-06;"elevation"
69,2666666667;29,25;54;571;1985-08-06;"elevation"
69,2666666667;29,25;54;571;1985-08-06;"elevation"
69,2666666667;29,25;54;556;1985-08-07;"elevation"
69,2666666667;29,25;54;556;1985-08-07;"elevation"
69,2666666667;29,25;54;556;1985-08-07;"elevation"
69,2666666667;29,25;54;572;1985-08-08;"elevation"
69,2666666667;29,25;54;572;1985-08-08;"elevation"
69,4833333333;20,7833333333;98;557;1985-08-11;"elevation"
