REARING_NUMBER;taxon;name;value
1996SZ21Hplicd;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZCHpolit;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1996SZ43Hspira;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2002SZ14Hplicd;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZNHplicg;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZRHspira;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2002SZ16Hspira;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ53Hleuca;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2002SZ13Hspira;Adelognathus sp.;Endo/Ecto;Ectoparasitism
199506S-UHpolit;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZHHsglab;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2008SZ30Halien;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2008SZ26Halien;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1996SZ17Heryth;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1997SZ75Heryth;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2003SZ22Hplicd;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2003SZ15Hpolit;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZGHsglab;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZLHpolit;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ23Hpurpu;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2003SZ09Hpolit;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ36Hpruss;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ34Hleuca;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1996SZ16Halien;Adelognathus sp.;Endo/Ecto;Ectoparasitism
199508N-QHangli;Adelognathus sp.;Endo/Ecto;Ectoparasitism
199506J-RHleuca;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZJHsglab;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZQHsglab;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZYHplicd;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ52Hleuca;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ21Hleuca;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1996SZ04Hpruss;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2002SZ12Hspira;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZKHsglab;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZIHsglab;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZEHpruss;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZMHischn;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2003SZ12Hleuca;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1996SZ11Hangli;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZTHcarin;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ49Hpruss;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1997SZ74Hangli;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ43Hanoma;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1996SZ02Hpolit;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ20Hleuca;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZUHspirh;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ44Hanoma;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2004SZ25Hleuco;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2006SZ51Hanoma;Adelognathus sp.;Endo/Ecto;Ectoparasitism
2002SZ17Hspira;Adelognathus sp.;Endo/Ecto;Ectoparasitism
1995SZOHplicg;Adelognathus sp.;Endo/Ecto;Ectoparasitism
