REARING_NUMBER;taxon;name;value
198733A-YOviril;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198651A-UOcolla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200102A1-T1Ospset;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199511I-NObridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199902A-MOproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199903A-S/A1-V1Okriec;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198524A-26V1Olappo;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198453A-V1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199003A-UOlappo;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198748M1-49WOvimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198573A-75Oadaph;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199602P1-V1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198501A-V1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199404W-D1Oadaph;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199048S-49D1Oarcti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
2004SZ73Oglabr;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198703M-A1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199429O-M1Oobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198441A1-42L1Ohasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198636E1-37V1Ovimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199107A-8IEgemmf;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198705A-7V1Oelaea;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200816M-VEweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199023A-25JOglabr;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200901A-JOviril;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199428A-TOvesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199121A-UOnival;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199413A-M1Omonti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200307F-MOtrian;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198743D-KObridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199319K1-T1Olappl;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199734A-O1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199029A1-30TOsamol;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199945G1-46OOproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199807N1-Q1Etesta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200061O-J1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198314A-16V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199932P1-33ROvaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200024A1-V1Ovimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199411J1-12EOfoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199218A-IOhasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199424H1-O1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199219F1-20ROnival;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199903U-Z/10A-V1Ovimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198446A1-47N1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198344A-V1Onival;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198427A-29JOmacul;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198328A-30V1Ohelve;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198934A-J1Onival;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199933D1-N1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199601H-OOcolla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198570A1-71G1Okriec;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198351A-ZOfoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199427S-V1Oadaph;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198448A-49J1Oobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198939G-SOvimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199213W-F1Onival;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200733H-OEweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198265A-ZOhasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199733J-V1Osamol;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199924A-25SOkriec;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198613A-14RObridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199601Q-A1Ocolla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198929A-V1Ohasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199124E1-T1Oobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198745A-E1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199715M1-28RObridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199701S-B1Ospset;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198443A-44SOhasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198363A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198714E1-J1Oelaea;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198345A-V1Ohasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199902N-O1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199806U1-V1Obridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199118A1-Q1Omacul;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198278K1-79Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198936D1-37EOnival;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198645A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198702A-I1Ovimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198858L-59XOgalla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199948A-F1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199923A1-F1Okriec;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198703A-KOviril;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199425I-LObrevi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198629Q-E1Obridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
2004SZ31Ohasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198364A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198626A-V1Opedun;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198633A-V1Ovimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199105Y-O1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199915A-16NOnigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200733Q-D1Eweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198653A-V1Ocolla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200043S-I1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198423A-V1Oadaph;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199037U1Olappl;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199806I-YObridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199926A-27NOkriec;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200613A-LEweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198450A-V1Omacul;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198409A-J1Obridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199933P1-U1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199036A-37O1Osamol;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198503A-H1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
1985SZ24-26COlappo;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199509A-BOgalla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198655A-JOcolla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199207H-F1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199914K-WOkriec;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199927Y-M1Ovesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199033N-34XOglabr;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198252A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200062A-GOproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198748H-K1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198572M-J1Ovesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200202A-YOproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198530A1-S1Ospset;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198272A-73V1Ovimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198506A-V1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200103A-LOmyrti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200944A-45LEweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198274A-75V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199901G-WOvimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199430E-TOvesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199109T-V1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
1999SZ40Eweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198349A-50V1Ovesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198415A-19ZOvesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200802A-WOproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199117A-C1Onival;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200025M1-V1Etesta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198277A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200610A-ZOaacut;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198360Y-T1Obridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199943A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200815A-16KEweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198924L-L1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199516V-H1Ohasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200942A-42L1Eweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198632A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198614A1-15G1Obridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200023A-OOproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200023Q-B1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199415A1-16MOvesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198729A-30E1Omacul;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199732M1-33HOhasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198520A-V1Oglauc;Scambus vesicarius;Endo/Ecto;Ectoparasitism
2004SZ54Obella;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199424A-POnival;Scambus vesicarius;Endo/Ecto;Ectoparasitism
1996SZ01Hpolit;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198365A-68V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198369A-71V1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199412T1-V1Oobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199936V-S1Oobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198502A-TOdolic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199201A-2V1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198454A-55V1Ohasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199928I-30ZOvaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200204A1-5GOproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199108K-9EOfoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198811A-12G1Opustu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199122F-ROmacul;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199219A-KOvaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198439A-40OOadaph;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198646A-47V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198603A-ZOvimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198542A-V1Onival;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198747M-48FOtrian;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199110A-11QOmonti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199731A-CObridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200304A-L1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200023D1-O1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200305A-6V1Odolic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198336A-V1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199901Y-V1Ovesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198333A-35V1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199216S-N1Obridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198703A-K+S-AOviril;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198667A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199106A-J1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199206W-H1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200614A-PEweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198545A-R1Oglabr;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199001A-V1Olappo;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199923H-POkriec;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199807B1-L1Oobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200040A-OOfoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198362A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198903G-TOviril;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198639A-O1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198721A-V1Ohelve;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198420A-21ZOadaph;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198603A1-V1Ovesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198730G1-31V1Ohelve;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198607A-8V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198917O1-18WOvaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200062M-QOvesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200563A-64FEweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200302A1-K1Okriec;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198648M-B1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199925A1-E1Ovesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199406G1-7DOvaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
1997SZ85Eweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200303A-N1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198616A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199412I1-R1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198652U-R1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200103S-E1Ospset;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198331A-32I1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200104F-NOarcti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198913A-14V1Ovesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198725A-26V1Obrevi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198571K1-V1Ogalla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198276A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199913E-I/U-WOproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199945A-F1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199420M-ZOvesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200804A-WOpustu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198553A-E1Onorve;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198605A-6V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198654A-V1Oadaph;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198353A-V1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199801A-V1Ocolla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198510A-12V1Oglauc;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198564A-65H1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198267A-V1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198317A-18V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199927P-WOvimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199203A-B1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200061A-MOproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200061L1-P1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199311A-NOnival;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199930A1-Q1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200504G-V1Oviril;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198257A-58V1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199209A-M1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199429O1-30COkriec;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198360A-XOvimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199946Q-ROtrian;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199803M-ZOvaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199008T-9V1Oarcti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199204K1-5OOnigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200806A-WElappc;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199601C1-G1/U1-V1Eweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198906A-9V1Oelaea;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198238A-39V1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198348A-V1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200615A-16KEweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198531A-32V1Ospset;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200030N-YObridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200202A1-S1Obridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199015A-POlappo;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198462A-63V1Ocolla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199421A-O1Ovesic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199028UOlappl;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199934U-35IOobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199314V-B1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198268A-V1Omonti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
1987SAOviril;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198352A-V1Oobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
2003SZ30Odolic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199703J1-4TOvaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200030A1-T1Obridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199802R1-V1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
2004SZ69Osamol;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200803A-OObridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199603A-BOobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198553F1-54V1Onorve;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199930R1-31AOobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200035A-JOobscu;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198649A-H1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199010A-12NOarcti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200103G1-4DObridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198638A-J1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199706A-S1Oherba;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198327Y-V1Ovimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199425N-YOfoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199806A-GObridg;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199602I1-N1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198240A-V1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198936M-B1Omacul;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198437A1-L1Oviril;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199931C-I1Ofoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199409A1-10E1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199944A-V1Oproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198251N-K1Ovimin;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198243A-V1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198244A-ZOnigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199936R-TOfoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198711A1-O1Ovaria;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199313K-NOdolic;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200303P1-V1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199934D-SOfoeti;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200733A-FEweiff;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200804A1-R1Ohasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198602A-S1Oviril;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199322J-23MOlappl;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200205I-WOproxi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199116Y-O1Ohasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198570M-ZObella;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199804A-IOgalla;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198709O1-V1Oelaea;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199804K-ZOhasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
199123A-24HObrevi;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198736A-37ROhasta;Scambus vesicarius;Endo/Ecto;Ectoparasitism
198920A1-21V1Onigri;Scambus vesicarius;Endo/Ecto;Ectoparasitism
200942A-42L1Eweiff;Tetrastichus sp.;Endo/Ecto;Endoparasitism
198437A1-L1Oviril;Theroscopus hemipteron;Endo/Ecto;Endoparasitism
198301A-4V1Oviril;Theroscopus hemipteron;Endo/Ecto;Endoparasitism
199112F1-13MEelaea;Torymus sp.;Endo/Ecto;Ectoparasitism
200944A-45LEweiff;Torymus sp.;Endo/Ecto;Ectoparasitism
200563A-64FEweiff;Torymus sp.;Endo/Ecto;Ectoparasitism
200816M-VEweiff;Torymus sp.;Endo/Ecto;Ectoparasitism
198278A-J1Obridg;Tetrastichus sp.5;Endo/Ecto;Endoparasitism
199923A1-F1Okriec;Tetrastichus sp.5;Endo/Ecto;Endoparasitism
199927P-WOvimin;Tetrastichus sp.5;Endo/Ecto;Endoparasitism
198412A-JHangli;Tetrastichus sp.4;Endo/Ecto;Endoparasitism
198271A1-V1Oobscu;Tetrastichus sp.1;Endo/Ecto;Endoparasitism
199901Y-V1Ovesic;Tetrastichus sp.1;Endo/Ecto;Endoparasitism
198677A1-I1Ovimin;Tetrastichus sp.6;Endo/Ecto;Endoparasitism
198570A1-71G1Okriec;Tetrastichus sp.3;Endo/Ecto;Endoparasitism
198570A1-71G1Okriec;Tetrastichus sp.2;Endo/Ecto;Endoparasitism
1998SZ37Eaurit;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
200014P-V1Enigri;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
200517A-LEaurit;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
199807A-BEtesta;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
200517A1-O1Eaurit;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1996SZ51Epurpu;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1998SZ33Eaurit;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1998SZ20Egemmh;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1998SZ11Eappen;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
199807N1-Q1Etesta;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1998SZ38Emucro;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
199452O-TEpurpu;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
199430V-31VEelaea;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
199432A1-33IEelaea;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1996SZ52Epurpu;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1996SZ57Eelaea;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1996SZ50Epurpu;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
200516A-Q1Eciner;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
199210S-11K1Eelaea;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
199426A-K1Epurpu;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1995SZH1Eatraa;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
199418K1-19YEelaea;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1998SZ35Eaurit;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1995SZF1Eatraa;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
199433Q1-34UEpurpu;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
200025M1-V1Etesta;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1998SZ08Eelaea;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
1995SZB1Eelaea;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
199112F1-13MEelaea;Anaprostocetus acuminatus;Koino/Idio;Koinobiont
