"REARING_NUMBER";"taxon";"value";"name"
"199436XEangus";"Euura angusta";"Shoot gall";"gall type"
"1998SZ14Eappen";"Euura E. sp. / S. appendiculata";"Bud gall";"gall type"
"1998SZ14Eappen";"Euura E. sp. / S. appendiculata";"Bud gall";"gall type"
"1998SZ11Eappen";"Euura E. sp. / S. appendiculata";"Bud gall";"gall type"
"1998SZ11Eappen";"Euura E. sp. / S. appendiculata";"Bud gall";"gall type"
"1998SZ18Eappen";"Euura E. sp. / S. appendiculata";"Bud gall";"gall type"
"1998SZ11Eappen";"Euura E. sp. / S. appendiculata";"Bud gall";"gall type"
"1998SZ11Eappen";"Euura E. sp. / S. appendiculata";"Bud gall";"gall type"
"1998SZ06Eatraa";"Euura atra";"Shoot gall";"gall type"
"1998SZ05Eatraa";"Euura atra";"Shoot gall";"gall type"
"200269HEatraa";"Euura atra";"Shoot gall";"gall type"
"1995SZF1Eatraa";"Euura atra";"Shoot gall";"gall type"
"199436D-VEatraa";"Euura atra";"Shoot gall";"gall type"
"199643A-XEatraa";"Euura atra";"Shoot gall";"gall type"
"1998SZ06Eatraa";"Euura atra";"Shoot gall";"gall type"
"199452A-LEatraa";"Euura atra";"Shoot gall";"gall type"
"1995SZH1Eatraa";"Euura atra";"Shoot gall";"gall type"
"1998SZ39Eatraa";"Euura atra";"Shoot gall";"gall type"
"2001SZ8484Eatraa";"Euura atra";"Shoot gall";"gall type"
"199436D-VEatraa";"Euura atra";"Shoot gall";"gall type"
"1995SZF1Eatraa";"Euura atra";"Shoot gall";"gall type"
"199452A-LEatraa";"Euura atra";"Shoot gall";"gall type"
"1995SZH1Eatraa";"Euura atra";"Shoot gall";"gall type"
"199643A-XEatraa";"Euura atra";"Shoot gall";"gall type"
"199436A-BEatraa";"Euura atra";"Shoot gall";"gall type"
"2001SZ8484Eatraa";"Euura atra";"Shoot gall";"gall type"
"1995SZG1Eatraa";"Euura atra";"Shoot gall";"gall type"
"1995SZF1Eatraa";"Euura atra";"Shoot gall";"gall type"
"1998SZ39Eatraa";"Euura atra";"Shoot gall";"gall type"
"1995SZF1Eatraa";"Euura atra";"Shoot gall";"gall type"
"1995SZG1Eatraa";"Euura atra";"Shoot gall";"gall type"
"199452A-LEatraa";"Euura atra";"Shoot gall";"gall type"
"1995SZH1Eatraa";"Euura atra";"Shoot gall";"gall type"
"199643A-XEatraa";"Euura atra";"Shoot gall";"gall type"
"1997SZ86Eatraa";"Euura atra";"Shoot gall";"gall type"
"1995SZG1Eatraa";"Euura atra";"Shoot gall";"gall type"
"200517A-LEaurit";"Euura auritae";"Shoot gall";"gall type"
"200517A1-O1Eaurit";"Euura auritae";"Shoot gall";"gall type"
"1997SZ46Eaurit";"Euura auritae";"Shoot gall";"gall type"
"1998SZ33Eaurit";"Euura auritae";"Shoot gall";"gall type"
"200517A1-O1Eaurit";"Euura auritae";"Shoot gall";"gall type"
"1997SZ50Eaurit";"Euura auritae";"Shoot gall";"gall type"
"2001SZ8383Eaurit";"Euura auritae";"Shoot gall";"gall type"
"1998SZ33Eaurit";"Euura auritae";"Shoot gall";"gall type"
"1998SZ33Eaurit";"Euura auritae";"Shoot gall";"gall type"
"1998SZ37Eaurit";"Euura auritae";"Shoot gall";"gall type"
"1998SZ37Eaurit";"Euura auritae";"Shoot gall";"gall type"
"200517A-LEaurit";"Euura auritae";"Shoot gall";"gall type"
"1998SZ33Eaurit";"Euura auritae";"Shoot gall";"gall type"
"1997SZ46Eaurit";"Euura auritae";"Shoot gall";"gall type"
"1997SZ48Eaurit";"Euura auritae";"Shoot gall";"gall type"
