"REARING_NUMBER";"original_name";"name_clear"
"198237A-V1Oproxi";"Salix alba";"Salix alba"
"198237A-V1Oproxi";"Pontania proxima";"Pontania proxima"
"198238A-39V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198238A-39V1Ovaria";"Pontania varia";"Pontania varia"
"198240A-V1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"198240A-V1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198241A-V1Ovesic";"Salix purpurea";"Salix purpurea"
"198241A-V1Ovesic";"Pontania vesicator";"Pontania vesicator"
"198242A-H1Oobscu";"Salix foetida";"Salix foetida"
"198242A-H1Oobscu";"Pontania obscura";"Pontania obscura"
"198243A-V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198243A-V1Ovaria";"Pontania varia";"Pontania varia"
"198244A-ZOnigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198244A-ZOnigri";"Pontania nigricantis";"Pontania nigricantis"
"198244A1-V1Ofoeti";"Salix foetida";"Salix foetida"
"198245A-V1Ovesic";"Pontania vesicator";"Pontania vesicator"
"198245A-V1Ovesic";"Salix purpurea";"Salix purpurea"
"198246A-LObridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198246A-LObridg";"Salix appendiculata";"Salix appendiculata"
"198246M-47V1Obridg";"Salix appendiculata";"Salix appendiculata"
"198246M-47V1Obridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198248A-49E1Oretus";"Pontania retusae";"Pontania retusae"
"198248A-49E1Oretus";"Salix retusa";"Salix retusa"
"198250A-D1Obridg";"Salix appendiculata";"Salix appendiculata"
"198251A-MOvimin";"Salix purpurea";"Salix purpurea"
"198251A-MOvimin";"Pontania viminalis";"Pontania viminalis"
"198251L1-V1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198251L1-V1Ovimin";"Salix purpurea";"Salix purpurea"
"198251N-K1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198251N-K1Ovimin";"Salix purpurea";"Salix purpurea"
"198252A-V1Oproxi";"Salix alba";"Salix alba"
"198252A-V1Oproxi";"Pontania proxima";"Pontania proxima"
"198253A-V1Ovesic";"Pontania vesicator";"Pontania vesicator"
"198253A-V1Ovesic";"Salix purpurea";"Salix purpurea"
"198254A-55V1Oproxi";"Salix alba";"Salix alba"
"198254A-55V1Oproxi";"Pontania proxima";"Pontania proxima"
"198256A-WOobscu";"Salix foetida";"Salix foetida"
"198256A-WOobscu";"Pontania obscura";"Pontania obscura"
"198256A1-V1Ofoeti";"Salix foetida";"Salix foetida"
"198256A1-V1Ofoeti";"Pontania foetidae";"Pontania foetidae"
"198257A-58V1Ovaria";"Pontania varia";"Pontania varia"
"198257A-58V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198259A-61V1Oretus";"Salix retusa";"Salix retusa"
"198259A-61V1Oretus";"Pontania retusae";"Pontania retusae"
"198262A-63V1Ovesic";"Pontania vesicator";"Pontania vesicator"
"198262A-63V1Ovesic";"Salix purpurea";"Salix purpurea"
"198264A-ROvimin";"Pontania viminalis";"Pontania viminalis"
"198264A-ROvimin";"Salix purpurea";"Salix purpurea"
"198264A1-F1Oretic";"Salix reticulata";"Salix reticulata"
"198265A-ZOhasta";"Pontania hastatae";"Pontania hastatae"
"198265A-ZOhasta";"Salix hastata";"Salix hastata"
"198265A1-J1Omacul";"Pontania maculosa";"Pontania maculosa"
"198265A1-J1Omacul";"Salix helvetica";"Salix helvetica"
"198266A-ZOnival";"Salix glaucosericea";"Salix glaucosericea"
"198267A-V1Ofoeti";"Pontania foetidae";"Pontania foetidae"
"198267A-V1Ofoeti";"Salix foetida";"Salix foetida"
"198268A-V1Omonti";"Salix foetida";"Salix foetida"
"198268A-V1Omonti";"Pontania montivaga";"Pontania montivaga"
