"REARING_NUMBER";"original_name";"name_clear"
"198878A-V1Obella";"Salix aurita";"Salix aurita"
"1988SZS-CHpruss";"Salix cinerea";"Salix cinerea"
"1988SZS-CHpruss";"Phyllocolpa prussica";"Phyllocolpa prussica"
"198901A-E1Ovesic";"Pontania vesicator";"Pontania vesicator"
"198901A-E1Ovesic";"Salix purpurea";"Salix purpurea"
"198901G1-L1Ovimin";"Salix purpurea";"Salix purpurea"
"198901G1-L1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198902A1-3EOvimin";"Salix purpurea";"Salix purpurea"
"198902A1-3EOvimin";"Pontania viminalis";"Pontania viminalis"
"198902C-YOvimin";"Pontania viminalis";"Pontania viminalis"
"198902C-YOvimin";"Salix purpurea";"Salix purpurea"
"198903A1-4XOproxi";"Salix fragilis";"Salix fragilis"
"198903A1-4XOproxi";"Pontania proxima";"Pontania proxima"
"198903G-TOviril";"Salix purpurea";"Salix purpurea"
"198903G-TOviril";"Pontania virilis";"Pontania virilis"
"198904A1-L1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198904A1-L1Ovimin";"Salix purpurea";"Salix purpurea"
"198904N1-R1Oviril";"Salix purpurea";"Salix purpurea"
"198904N1-R1Oviril";"Pontania virilis";"Pontania virilis"
"198905A-V1Oproxi";"Pontania proxima";"Pontania proxima"
"198905A-V1Oproxi";"Salix alba";"Salix alba"
"198906A-9V1Oelaea";"Salix elaeagnos";"Salix elaeagnos"
"198906A-9V1Oelaea";"Pontania elaeagnocola";"Pontania elaeagnocola"
"198910A-V1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"198910A-V1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198911A-V1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"198911A-V1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"198912A-V1Ohelve";"Salix helvetica";"Salix helvetica"
"198912A-V1Ohelve";"Pontania helveticae";"Pontania helveticae"
"198913A-14V1Ovesic";"Pontania vesicator";"Pontania vesicator"
"198913A-14V1Ovesic";"Salix purpurea";"Salix purpurea"
"198915A-IObridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198915A-IObridg";"Salix appendiculata";"Salix appendiculata"
"198915A1-16POvaria";"Pontania varia";"Pontania varia"
"198915A1-16POvaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198915K-YObridg";"Pontania bridgmanii";"Pontania bridgmanii"
"198915K-YObridg";"Salix appendiculata";"Salix appendiculata"
"198916R-V1Ovimin";"Salix purpurea";"Salix purpurea"
"198916R-V1Ovimin";"Pontania viminalis";"Pontania viminalis"
"198917A-QOfoeti";"Pontania foetidae";"Pontania foetidae"
"198917A-QOfoeti";"Salix foetida";"Salix foetida"
"198917O1-18WOvaria";"Pontania varia";"Pontania varia"
"198917O1-18WOvaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198917T-M1Okriec";"Pontania kriechbaumeri";"Pontania kriechbaumeri"
"198917T-M1Okriec";"Salix elaeagnos";"Salix elaeagnos"
"198918A1-20ZOkriec";"Pontania kriechbaumeri";"Pontania kriechbaumeri"
"198918A1-20ZOkriec";"Salix elaeagnos";"Salix elaeagnos"
"198920A1-21V1Onigri";"Salix mielichhoferi";"Salix mielichhoferi"
"198920A1-21V1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"198922A-23V1Ovaria";"Salix mielichhoferi";"Salix mielichhoferi"
"198922A-23V1Ovaria";"Pontania varia";"Pontania varia"
"198924A-JOmonti";"Salix waldsteiniana";"Salix waldsteiniana"
"198924A-JOmonti";"Pontania montivaga";"Pontania montivaga"
"198924L-L1Ofoeti";"Salix waldsteiniana";"Salix waldsteiniana"
"198924L-L1Ofoeti";"Pontania foetidae";"Pontania foetidae"
"198924M1-R1Oobscu";"Salix waldsteiniana";"Salix waldsteiniana"
"198924M1-R1Oobscu";"Pontania obscura";"Pontania obscura"
"198925A-D1Egemmf";"Salix waldsteiniana";"Salix waldsteiniana"
"198925E1-26I1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198925E1-26I1Ovaria";"Pontania varia";"Pontania varia"
"198926K1-27EOmonti";"Pontania montivaga";"Pontania montivaga"
"198926K1-27EOmonti";"Salix foetida";"Salix foetida"
"198927A1-28V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198927A1-28V1Ovaria";"Pontania varia";"Pontania varia"
"198927G-TOfoeti";"Pontania foetidae";"Pontania foetidae"
"198927G-TOfoeti";"Salix foetida";"Salix foetida"
"198927V-XOobscu";"Salix foetida";"Salix foetida"
"198927V-XOobscu";"Pontania obscura";"Pontania obscura"
"198929A-V1Ohasta";"Salix hastata";"Salix hastata"
"198929A-V1Ohasta";"Pontania hastatae";"Pontania hastatae"
"198934A-J1Onival";"Salix glaucosericea";"Salix glaucosericea"
"198934A-J1Onival";"Pontania nivalis";"Pontania nivalis"
"198934L1-36KOvaria";"Pontania varia";"Pontania varia"
"198934L1-36KOvaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198936D1-37EOnival";"Salix glaucosericea";"Salix glaucosericea"
"198936D1-37EOnival";"Pontania nivalis";"Pontania nivalis"
"198936M-B1Omacul";"Salix helvetica";"Salix helvetica"
"198936M-B1Omacul";"Pontania maculosa";"Pontania maculosa"
"198937G-Q1Ovaria";"Pontania varia";"Pontania varia"
"198937G-Q1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198937R1-V1Omacul";"Pontania maculosa";"Pontania maculosa"
"198937R1-V1Omacul";"Salix helvetica";"Salix helvetica"
"198939C-EOvaria";"Salix myrsinifolia";"Salix myrsinifolia"
"198939C-EOvaria";"Pontania varia";"Pontania varia"
"198939G-SOvimin";"Salix purpurea";"Salix purpurea"
"198939G-SOvimin";"Pontania viminalis";"Pontania viminalis"
"199001A-V1Olappo";"Pontania lapponica";"Pontania lapponica"
"199001A-V1Olappo";"Salix lapponum";"Salix lapponum"
"199002A-S1Olappo";"Salix lapponum";"Salix lapponum"
"199002A-S1Olappo";"Pontania lapponica";"Pontania lapponica"
"199002U1-V1Olappl";"Salix lapponum";"Salix lapponum"
"199002U1-V1Olappl";"Pontania lapponicola";"Pontania lapponicola"
"199003A-UOlappo";"Pontania lapponica";"Pontania lapponica"
"199003A-UOlappo";"Salix lapponum";"Salix lapponum"
"199003I1-V1Opustu";"Pontania pustulator";"Pontania pustulator"
"199003I1-V1Opustu";"Salix phylicifolia";"Salix phylicifolia"
"199003W-G1Olappl";"Pontania lapponicola";"Pontania lapponicola"
"199003W-G1Olappl";"Salix lapponum";"Salix lapponum"
"199004A-SOvaria";"Salix myrsinifolia";"Salix myrsinifolia"
"199004A-SOvaria";"Pontania varia";"Pontania varia"
"199004U-5I1Ohasta";"Pontania hastatae";"Pontania hastatae"
"199004U-5I1Ohasta";"Salix hastata";"Salix hastata"
"199005K1-V1Oglabr";"Salix lanata";"Salix lanata"
"199005K1-V1Oglabr";"Pontania glabrifrons";"Pontania glabrifrons"
"199006A-T1Onival";"Salix glauca";"Salix glauca"
"199006A-T1Onival";"Pontania nivalis";"Pontania nivalis"
"199007A-L1Ovaria";"Pontania varia";"Pontania varia"
"199007A-L1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"199007N1-P1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"199007N1-P1Onigri";"Salix myrsinifolia";"Salix myrsinifolia"
"199007R1-V1Odolic";"Pontania dolichura";"Pontania dolichura"
"199007R1-V1Odolic";"Salix phylicifolia";"Salix phylicifolia"
"199008A-ROherba";"Salix herbacea";"Salix herbacea"
"199008A-ROherba";"Pontania herbaceae";"Pontania herbaceae"
"199008T-9V1Oarcti";"Salix phylicifolia";"Salix phylicifolia"
"199008T-9V1Oarcti";"Pontania arcticornis";"Pontania arcticornis"
"199010A-12NOarcti";"Pontania arcticornis";"Pontania arcticornis"
"199010A-12NOarcti";"Salix phylicifolia";"Salix phylicifolia"
"199012P-13O1Oarcti";"Salix phylicifolia";"Salix phylicifolia"
"199012P-13O1Oarcti";"Pontania arcticornis";"Pontania arcticornis"
"199013Q1-14Q1Osamol";"Salix lapponum";"Salix lapponum"
"199013Q1-14Q1Osamol";"Pontania samolad";"Pontania samolad"
"199014S1Olappl";"Salix lapponum";"Salix lapponum"
"199014S1Olappl";"Pontania lapponicola";"Pontania lapponicola"
"199015A-POlappo";"Pontania lapponica";"Pontania lapponica"
"199015A-POlappo";"Salix lapponum";"Salix lapponum"
"199016A-17H1Omyrsi";"Pontania myrsiniticola";"Pontania myrsiniticola"
"199016A-17H1Omyrsi";"Salix myrsinites";"Salix myrsinites"
"199017J1-18V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"199017J1-18V1Ovaria";"Pontania varia";"Pontania varia"
"199019A-22ZOherba";"Salix herbacea";"Salix herbacea"
"199019A-22ZOherba";"Pontania herbaceae";"Pontania herbaceae"
"199022A1-V1Onival";"Pontania nivalis";"Pontania nivalis"
"199022A1-V1Onival";"Salix glauca";"Salix glauca"
"199023A-25JOglabr";"Pontania glabrifrons";"Pontania glabrifrons"
"199023A-25JOglabr";"Salix lanata";"Salix lanata"
"199025L-V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"199025L-V1Ovaria";"Pontania varia";"Pontania varia"
"199026A-SOnival";"Salix glauca";"Salix glauca"
"199026U-27V1Oarcti";"Salix phylicifolia";"Salix phylicifolia"
"199026U-27V1Oarcti";"Pontania arcticornis";"Pontania arcticornis"
"199028A-COdolic";"Salix phylicifolia";"Salix phylicifolia"
"199028A-COdolic";"Pontania dolichura";"Pontania dolichura"
"199028A1-29TOarcti";"Salix phylicifolia";"Salix phylicifolia"
"199028A1-29TOarcti";"Pontania arcticornis";"Pontania arcticornis"
"199028E-OOlappo";"Pontania lapponica";"Pontania lapponica"
"199028E-OOlappo";"Salix lapponum";"Salix lapponum"
"199028Q-SOsamol";"Pontania samolad";"Pontania samolad"
"199028Q-SOsamol";"Salix lapponum";"Salix lapponum"
"199028UOlappl";"Pontania lapponicola";"Pontania lapponicola"
"199028UOlappl";"Salix lapponum";"Salix lapponum"
"199028W-XOarcti";"Salix phylicifolia";"Salix phylicifolia"
"199028W-XOarcti";"Pontania arcticornis";"Pontania arcticornis"
"199029A1-30TOsamol";"Pontania samolad";"Pontania samolad"
"199029A1-30TOsamol";"Salix lapponum";"Salix lapponum"
"199029V-WOdolic";"Salix phylicifolia";"Salix phylicifolia"
"199029V-WOdolic";"Pontania dolichura";"Pontania dolichura"
"199030V-31HOretic";"Pontania reticulatae";"Pontania reticulatae"
"199030V-31HOretic";"Salix reticulata";"Salix reticulata"
"199031J-32V1Oherba";"Pontania herbaceae";"Pontania herbaceae"
"199031J-32V1Oherba";"Salix herbacea";"Salix herbacea"
"199033A-LOglabr";"Salix lanata";"Salix lanata"
"199033A-LOglabr";"Pontania glabrifrons";"Pontania glabrifrons"
"199033N-34XOglabr";"Salix lanata";"Salix lanata"
"199033N-34XOglabr";"Pontania glabrifrons";"Pontania glabrifrons"
"199034A1-U1Onival";"Pontania nivalis";"Pontania nivalis"
"199034A1-U1Onival";"Salix glauca";"Salix glauca"
"199035A-J1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"199035A-J1Ovaria";"Pontania varia";"Pontania varia"
"199035L1-V1Olappo";"Salix lapponum";"Salix lapponum"
"199035L1-V1Olappo";"Pontania lapponica";"Pontania lapponica"
"199036A-37O1Osamol";"Salix lapponum";"Salix lapponum"
"199036A-37O1Osamol";"Pontania samolad";"Pontania samolad"
"199037Q1-T1Elappo";"Salix lapponum";"Salix lapponum"
"199037U1Olappl";"Salix lapponum";"Salix lapponum"
"199037U1Olappl";"Pontania lapponicola";"Pontania lapponicola"
"199038A-V1Oglabr";"Salix lanata";"Salix lanata"
"199038A-V1Oglabr";"Pontania glabrifrons";"Pontania glabrifrons"
"199039A-V1Olappo";"Salix lapponum";"Salix lapponum"
"199039A-V1Olappo";"Pontania lapponica";"Pontania lapponica"
"199040A-JOsamol";"Pontania samolad";"Pontania samolad"
"199040A-JOsamol";"Salix lapponum";"Salix lapponum"
"199040L-MOlappl";"Salix lapponum";"Salix lapponum"
"199040L-MOlappl";"Pontania lapponicola";"Pontania lapponicola"
"199040O-P1Elappo";"Salix lapponum";"Salix lapponum"
"199041A-O1Onival";"Salix glauca";"Salix glauca"
"199041A-O1Onival";"Pontania nivalis";"Pontania nivalis"
"199041Q1-V1Eboreo";"Salix glauca";"Salix glauca"
"199042A-ZOglauc";"Pontania glaucae";"Pontania glaucae"
"199042A-ZOglauc";"Salix glauca";"Salix glauca"
"199042A1-43V1Elappo";"Salix lapponum";"Salix lapponum"
"199044A-P1Olappo";"Salix lapponum";"Salix lapponum"
"199044A-P1Olappo";"Pontania lapponica";"Pontania lapponica"
"199044R1-V1Olappl";"Pontania lapponicola";"Pontania lapponicola"
"199044R1-V1Olappl";"Salix lapponum";"Salix lapponum"
"199045A-ROsamol";"Salix lapponum";"Salix lapponum"
"199045A-ROsamol";"Pontania samolad";"Pontania samolad"
"199045T-48QOmyrsi";"Salix myrsinites";"Salix myrsinites"
"199045T-48QOmyrsi";"Pontania myrsiniticola";"Pontania myrsiniticola"
"199048S-49D1Oarcti";"Pontania arcticornis";"Pontania arcticornis"
"199048S-49D1Oarcti";"Salix phylicifolia";"Salix phylicifolia"
"199049F1-N1Onival";"Salix glauca";"Salix glauca"
"199049F1-N1Onival";"Pontania nivalis";"Pontania nivalis"
"199050A-51WEboreo";"Salix glauca";"Salix glauca"
"199050A-51WEboreo";"Euura boreoalpina";"Euura boreoalpina"
"199051Y-V1Onival";"Salix glauca";"Salix glauca"
"199051Y-V1Onival";"Pontania nivalis";"Pontania nivalis"
"199052A-NOglauc";"Pontania glaucae";"Pontania glaucae"
"199052A-NOglauc";"Salix glauca";"Salix glauca"
"199052I1-Q1Elappo";"Salix lapponum";"Salix lapponum"
"199052P-G1Elappc";"Salix lapponum";"Salix lapponum"
"199052S1-V1Osamol";"Salix lapponum";"Salix lapponum"
"199053A-MOlappo";"Salix lapponum";"Salix lapponum"
"199053A-MOlappo";"Pontania lapponica";"Pontania lapponica"
"199053O-WOlappl";"Salix lapponum";"Salix lapponum"
"199053O-WOlappl";"Pontania lapponicola";"Pontania lapponicola"
"199054A-QOnigri";"Pontania nigricantis";"Pontania nigricantis"
"199054A-QOnigri";"Salix myrsinifolia";"Salix myrsinifolia"
"199054S-55HEmyrsi";"Salix myrsinifolia";"Salix myrsinifolia"
"199054S-55HEmyrsi";"Euura myrsinifoliae";"Euura myrsinifoliae"
"199055J-V1Ovaria";"Pontania varia";"Pontania varia"
"199055J-V1Ovaria";"Salix myrsinifolia";"Salix myrsinifolia"
"199101A1-3GOgalla";"Pontania gallarum";"Pontania gallarum"
"199101A1-3GOgalla";"Salix caprea";"Salix caprea"
"199101G-SOgalla";"Salix caprea";"Salix caprea"
"199101G-SOgalla";"Pontania gallarum";"Pontania gallarum"
"199104A-V1Hischn";"Salix mielichhoferi";"Salix mielichhoferi"
"199104A-V1Hischn";"Phyllocolpa ischnocera";"Phyllocolpa ischnocera"
"199105A-WEmyrsi";"Euura myrsinifoliae";"Euura myrsinifoliae"
"199105A-WEmyrsi";"Salix mielichhoferi";"Salix mielichhoferi"
"199105Y-O1Onigri";"Salix mielichhoferi";"Salix mielichhoferi"
"199105Y-O1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"199106A-J1Ovaria";"Pontania varia";"Pontania varia"
"199106A-J1Ovaria";"Salix mielichhoferi";"Salix mielichhoferi"
"199106L1-V1Ehasta";"Salix hastata";"Salix hastata"
"199106L1-V1Ehasta";"Euura hastatae";"Euura hastatae"
"199107A-8IEgemmf";"Salix waldsteiniana";"Salix waldsteiniana"
"199107A-8IEgemmf";"Euura gemmafoetidae";"Euura gemmafoetidae"
"199108K-9EOfoeti";"Salix waldsteiniana";"Salix waldsteiniana"
"199108K-9EOfoeti";"Pontania foetidae";"Pontania foetidae"
"199109G-NOmonti";"Salix waldsteiniana";"Salix waldsteiniana"
"199109G-NOmonti";"Pontania montivaga";"Pontania montivaga"
"199109P-ROobscu";"Pontania obscura";"Pontania obscura"
"199109P-ROobscu";"Salix waldsteiniana";"Salix waldsteiniana"
"199109T-V1Ofoeti";"Pontania foetidae";"Pontania foetidae"
"199109T-V1Ofoeti";"Salix foetida";"Salix foetida"
"199110A-11QOmonti";"Salix foetida";"Salix foetida"
"199110A-11QOmonti";"Pontania montivaga";"Pontania montivaga"
"199111H1-V1Oobscu";"Pontania obscura";"Pontania obscura"
"199111H1-V1Oobscu";"Salix foetida";"Salix foetida"
"199111S-F1Egemmf";"Salix foetida";"Salix foetida"
"199112A-E1Okriec";"Salix elaeagnos";"Salix elaeagnos"
"199112A-E1Okriec";"Pontania kriechbaumeri";"Pontania kriechbaumeri"
"199112F1-13MEelaea";"Euura elaeagnos";"Euura elaeagnos"
"199112F1-13MEelaea";"Salix elaeagnos";"Salix elaeagnos"
"199113O-T1Eelaea";"Euura elaeagnos";"Euura elaeagnos"
"199113O-T1Eelaea";"Salix elaeagnos";"Salix elaeagnos"
"199114A-FEelaea";"Euura elaeagnos";"Euura elaeagnos"
"199114A-FEelaea";"Salix elaeagnos";"Salix elaeagnos"
"199114H-15VOkriec";"Salix elaeagnos";"Salix elaeagnos"
"199114H-15VOkriec";"Pontania kriechbaumeri";"Pontania kriechbaumeri"
"199115X-16WHcarin";"Phyllocolpa carinifrons";"Phyllocolpa carinifrons"
"199115X-16WHcarin";"Salix pentandra";"Salix pentandra"
"199116Q1-T1Ehasta";"Euura hastatae";"Euura hastatae"
"199116Q1-T1Ehasta";"Salix hastata";"Salix hastata"
"199116Y-O1Ohasta";"Pontania hastatae";"Pontania hastatae"
"199116Y-O1Ohasta";"Salix hastata";"Salix hastata"
"199117A-C1Onival";"Salix glaucosericea";"Salix glaucosericea"
"199117A-C1Onival";"Pontania nivalis";"Pontania nivalis"
"199117E1-G1Eboreo";"Euura boreoalpina";"Euura boreoalpina"
"199117E1-G1Eboreo";"Salix glaucosericea";"Salix glaucosericea"
"199117I1-K1Egemmh";"Salix helvetica";"Salix helvetica"
"199117I1-K1Egemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199117M1-V1Hplicg";"Phyllocolpa plicaglauca";"Phyllocolpa plicaglauca"
"199117M1-V1Hplicg";"Salix glaucosericea";"Salix glaucosericea"
"199118A-ZEhasta";"Euura hastatae";"Euura hastatae"
"199118A-ZEhasta";"Salix hastata";"Salix hastata"
"199118A1-Q1Omacul";"Salix helvetica";"Salix helvetica"
"199118A1-Q1Omacul";"Pontania maculosa";"Pontania maculosa"
"199118R1-U1Egemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199118R1-U1Egemmh";"Salix helvetica";"Salix helvetica"
"199119A-O1Egemmh";"Salix helvetica";"Salix helvetica"
"199119A-O1Egemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199119Q1-20XHspirh";"Phyllocolpa spirhelvetica";"Phyllocolpa"
"199119Q1-20XHspirh";"Salix helvetica";"Salix helvetica"
"199120A1-G1Omacul";"Pontania maculosa";"Pontania maculosa"
"199120A1-G1Omacul";"Salix helvetica";"Salix helvetica"
"199120I1-J1Ehasta";"Euura hastatae";"Euura hastatae"
"199120I1-J1Ehasta";"Salix hastata";"Salix hastata"
"199120L1-M1Ohasta";"Salix hastata";"Salix hastata"
"199121A-UOnival";"Salix glaucosericea";"Salix glaucosericea"
"199121A-UOnival";"Pontania nivalis";"Pontania nivalis"
"199121W-V1Hplicg";"Phyllocolpa plicaglauca";"Phyllocolpa plicaglauca"
"199121W-V1Hplicg";"Salix glaucosericea";"Salix glaucosericea"
"199122A1-O1Ehasta";"Salix hastata";"Salix hastata"
"199122A1-O1Ehasta";"Euura hastatae";"Euura hastatae"
"199122F-ROmacul";"Pontania maculosa";"Pontania maculosa"
"199122F-ROmacul";"Salix helvetica";"Salix helvetica"
"199122T-UEgemmh";"Salix helvetica";"Salix helvetica"
"199123A-24HObrevi";"Pontania breviserratae";"Pontania breviserratae"
"199123A-24HObrevi";"Salix breviserrata";"Salix breviserrata"
"199124A1-D1Egemmh";"Salix helvetica";"Salix helvetica"
"199124A1-D1Egemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199124E1-T1Oobscu";"Salix foetida";"Salix foetida"
"199124E1-T1Oobscu";"Pontania obscura";"Pontania obscura"
"199124J-MOretic";"Pontania reticulatae";"Pontania reticulatae"
"199124J-MOretic";"Salix reticulata";"Salix reticulata"
"199124O-XOretus";"Pontania retusae";"Pontania retusae"
"199124O-XOretus";"Salix retusa";"Salix retusa"
"199124U1-V1Egemmf";"Salix foetida";"Salix foetida"
"199124U1-V1Egemmf";"Euura gemmafoetidae";"Euura gemmafoetidae"
"199125A-K1Enigri";"Salix caprea";"Salix caprea"
"199125A-K1Enigri";"Euura nigritarsis";"Euura nigritarsis"
"199125M1-T1Emucro";"Euura mucronata";"Euura mucronata"
"199125M1-T1Emucro";"Salix aurita";"Salix aurita"
"199126A-27UEmucro";"Euura mucronata";"Euura mucronata"
"199126A-27UEmucro";"Salix aurita";"Salix aurita"
"199127W-28KEmucro";"Euura mucronata";"Euura mucronata"
"199127W-28KEmucro";"Salix aurita";"Salix aurita"
"199201A-2V1Onigri";"Salix mielichhoferi";"Salix mielichhoferi"
"199201A-2V1Onigri";"Pontania nigricantis";"Pontania nigricantis"
"199203A-B1Ofoeti";"Salix waldsteiniana";"Salix waldsteiniana"
"199203A-B1Ofoeti";"Pontania foetidae";"Pontania foetidae"
"199204A-TEmyrsi";"Euura myrsinifoliae";"Euura myrsinifoliae"
"199204A-TEmyrsi";"Salix mielichhoferi";"Salix mielichhoferi"
"199204K1-5OOnigri";"Pontania nigricantis";"Pontania nigricantis"
"199204K1-5OOnigri";"Salix mielichhoferi";"Salix mielichhoferi"
"199204V-I1Ovaria";"Salix mielichhoferi";"Salix mielichhoferi"
"199204V-I1Ovaria";"Pontania varia";"Pontania varia"
"199205Q-V1Egemmf";"Salix waldsteiniana";"Salix waldsteiniana"
"199205Q-V1Egemmf";"Euura gemmafoetidae";"Euura gemmafoetidae"
"199206A-UEgemmf";"Euura gemmafoetidae";"Euura gemmafoetidae"
"199206A-UEgemmf";"Salix waldsteiniana";"Salix waldsteiniana"
"199206J1-K1Omonti";"Salix waldsteiniana";"Salix waldsteiniana"
"199206M1-7FEhasta";"Euura hastatae";"Euura hastatae"
"199206M1-7FEhasta";"Salix hastata";"Salix hastata"
"199206W-H1Ofoeti";"Pontania foetidae";"Pontania foetidae"
"199206W-H1Ofoeti";"Salix waldsteiniana";"Salix waldsteiniana"
"199207H-F1Ovaria";"Salix mielichhoferi";"Salix mielichhoferi"
"199207H-F1Ovaria";"Pontania varia";"Pontania varia"
"199207H1-8G1Emyrsi";"Salix mielichhoferi";"Salix mielichhoferi"
"199207H1-8G1Emyrsi";"Euura myrsinifoliae";"Euura myrsinifoliae"
"199208I1-V1Emyrsi";"Euura myrsinifoliae";"Euura myrsinifoliae"
"199208I1-V1Emyrsi";"Salix mielichhoferi";"Salix mielichhoferi"
"199209A-M1Ovaria";"Pontania varia";"Pontania varia"
"199209A-M1Ovaria";"Salix mielichhoferi";"Salix mielichhoferi"
"199210A-QEelaea";"Salix elaeagnos";"Salix elaeagnos"
"199210S-11K1Eelaea";"Salix elaeagnos";"Salix elaeagnos"
"199210S-11K1Eelaea";"Euura elaeagnos";"Euura elaeagnos"
"199211O1-V1Hcarin";"Phyllocolpa carinifrons";"Phyllocolpa carinifrons"
"199211O1-V1Hcarin";"Salix pentandra";"Salix pentandra"
"199212A-V1Egemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199212A-V1Egemmh";"Salix helvetica";"Salix helvetica"
"199213A-UEhasta";"Salix hastata";"Salix hastata"
"199213H1-14I1Eboreo";"Euura boreoalpina";"Euura boreoalpina"
"199213H1-14I1Eboreo";"Salix glaucosericea";"Salix glaucosericea"
"199213W-F1Onival";"Salix glaucosericea";"Salix glaucosericea"
"199213W-F1Onival";"Pontania nivalis";"Pontania nivalis"
"199214K1-V1Egemmf";"Euura gemmafoetidae";"Euura gemmafoetidae"
"199214K1-V1Egemmf";"Salix foetida";"Salix foetida"
"199215A-BEhasta";"Salix hastata";"Salix hastata"
"199215A-BEhasta";"Euura hastatae";"Euura hastatae"
"199215D-UEgemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199215D-UEgemmh";"Salix helvetica";"Salix helvetica"
"199216A-HEgemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199216A-HEgemmh";"Salix helvetica";"Salix helvetica"
"199216J-QEgemmh";"Salix helvetica";"Salix helvetica"
"199216J-QEgemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199216P1-17JHspira";"Phyllocolpa spirappendiculata";"Phyllocolpa"
"199216P1-17JHspira";"Salix appendiculata";"Salix appendiculata"
"199216S-N1Obridg";"Salix appendiculata";"Salix appendiculata"
"199216S-N1Obridg";"Pontania bridgmanii";"Pontania bridgmanii"
"199217L-V1Obrevi";"Salix breviserrata";"Salix breviserrata"
"199217L-V1Obrevi";"Pontania breviserratae";"Pontania breviserratae"
"199218A-IOhasta";"Pontania hastatae";"Pontania hastatae"
"199218A-IOhasta";"Salix hastata";"Salix hastata"
"199218K-V1Ehasta";"Salix hastata";"Salix hastata"
"199218K-V1Ehasta";"Euura hastatae";"Euura hastatae"
"199219A-KOvaria";"Salix myrsinifolia";"Salix myrsinifolia"
"199219A-KOvaria";"Pontania varia";"Pontania varia"
"199219B1-D1Egemmf";"Salix foetida";"Salix foetida"
"199219B1-D1Egemmf";"Euura gemmafoetidae";"Euura gemmafoetidae"
"199219F1-20ROnival";"Pontania nivalis";"Pontania nivalis"
"199219F1-20ROnival";"Salix glaucosericea";"Salix glaucosericea"
"199219M-ZEmyrsi";"Salix myrsinifolia";"Salix myrsinifolia"
"199219M-ZEmyrsi";"Euura myrsinifoliae";"Euura myrsinifoliae"
"199220T-21H1Egemmh";"Salix helvetica";"Salix helvetica"
"199220T-21H1Egemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199221J1-N1Oretus";"Pontania retusae";"Pontania retusae"
"199221J1-N1Oretus";"Salix retusa";"Salix retusa"
"199221P1-S1Oretic";"Pontania reticulatae";"Pontania reticulatae"
"199221P1-S1Oretic";"Salix reticulata";"Salix reticulata"
"199222A-FEgemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199222A-FEgemmh";"Salix helvetica";"Salix helvetica"
"199222A1-S1Egemmh";"Euura gemmahelveticae";"Euura gemmahelveticae"
"199222A1-S1Egemmh";"Salix helvetica";"Salix helvetica"
"199222H-YOvaria";"Salix myrsinifolia";"Salix myrsinifolia"
"199222H-YOvaria";"Pontania varia";"Pontania varia"
"199223A-PEgemmf";"Salix foetida";"Salix foetida"
"199223A-PEgemmf";"Euura gemmafoetidae";"Euura gemmafoetidae"
"199223M1Hcarin";"Phyllocolpa carinifrons";"Phyllocolpa carinifrons"
"199223M1Hcarin";"Salix pentandra";"Salix pentandra"
"199223O1-24MHspirh";"Salix helvetica";"Salix helvetica"
"199223O1-24MHspirh";"Phyllocolpa spirhelvetica";"Phyllocolpa"
"199223R-TOfoeti";"Pontania foetidae";"Pontania foetidae"
"199223R-TOfoeti";"Salix foetida";"Salix foetida"
"199223V-K1Oobscu";"Pontania obscura";"Pontania obscura"
"199223V-K1Oobscu";"Salix foetida";"Salix foetida"
"199224F1-G1Hspirh";"Phyllocolpa spirhelvetica";"Phyllocolpa"
"199224F1-G1Hspirh";"Salix helvetica";"Salix helvetica"
"199224O-D1Hplicg";"Phyllocolpa plicaglauca";"Phyllocolpa plicaglauca"
