"sp_taxon_1";"sp_taxon_2";"value"
"Phelsuma ornata";"Gastonia mauritiana";"30"
"Stratiomydae sp.";"Gastonia mauritiana";"16"
"Protaetia aurichalcea";"Gastonia mauritiana";"15"
"Leptotes pirithous";"Gastonia mauritiana";"2"
"Apis mellifera";"Gastonia mauritiana";"149"
"Musca domestica";"Gastonia mauritiana";"16"
"Lucilia sp.";"Gastonia mauritiana";"16"
"Ornidia obesa";"Gastonia mauritiana";"16"
"Phelsuma ornata";"Dracaena concinna";"33"
"Apis mellifera";"Dracaena concinna";"11"
"Syrphid sp.";"Dracaena concinna";"17"
"Phelsuma ornata";"Scaevola sericea";"19"
"Xylocopa fenestrata";"Scaevola sericea";"15"
"Megachile sp.";"Scaevola sericea";"15"
"Apis mellifera";"Scaevola sericea";"92"
"Apis mellifera";"Ipomoea macrantha";"126"
"Phelsuma ornata";"Pemphis acidula";"21"
"Phalantha phalantha";"Pemphis acidula";"117"
"Stratiomydae sp.";"Pemphis acidula";"11"
"Xylocopa fenestrata";"Pemphis acidula";"16"
"Leptotes pirithous";"Pemphis acidula";"1"
"Apis mellifera";"Pemphis acidula";"103"
"Phelsuma ornata";"Hibiscus tiliaceus";"28"
"Apis mellifera";"Hibiscus tiliaceus";"138"
"Megachile sp.";"Suriana maritima";"13"
"Leptotes pirithous";"Suriana maritima";"1"
"Apis mellifera";"Suriana maritima";"23"
"Phelsuma ornata";"Argusia argentea";"12"
"Apis mellifera";"Argusia argentea";"57"
"Musca domestica";"Argusia argentea";"6"
"Syrphid sp.";"Argusia argentea";"6"
"Phelsuma ornata";"Thespesia populnea";"14"
"Stratiomydae sp.";"Thespesia populnea";"7"
"Borbo borbonica";"Thespesia populnea";"2"
"Apis mellifera";"Thespesia populnea";"69"
"Phelsuma ornata";"Morinda citrifolia";"23"
"Leptotes pirithous";"Morinda citrifolia";"2"
"Apis mellifera";"Morinda citrifolia";"115"
"Phelsuma ornata";"Leucaena leucocephala";"9"
"Stratiomydae sp.";"Leucaena leucocephala";"5"
"Apis mellifera";"Leucaena leucocephala";"46"
"Phelsuma ornata";"Passiflora suberosa";"7"
"Apis mellifera";"Passiflora suberosa";"34"
"Phalantha phalantha";"Stachytapheta jamaicencis";"26"
"Stratiomydae sp.";"Stachytapheta jamaicencis";"2"
"Leptotes pirithous";"Stachytapheta jamaicencis";"1"
"Borbo borbonica";"Stachytapheta jamaicencis";"1"
"Syrphid sp.";"Stachytapheta jamaicencis";"2"
"Stratiomydae sp.";"Turnera angustifolia";"1"
"Xylocopa fenestrata";"Turnera angustifolia";"2"
"Megachile sp.";"Turnera angustifolia";"2"
"Borbo borbonica";"Turnera angustifolia";"1"
