,,plant_ge,Justicia,Tetramerium,Sesuvium,Catharanthus,Vallesia,Ageratum,Bidens,Darwiniothamnus,Encelia,Jaegeria,Macraea,Scalesia,Scalesia,Scalesia,Scalesia,Scalesia,Sonchus,Avicennia,Cordia,Cordia,Cordia,Tournefortia,Tournefortia,Brassica,Bursera,Opuntia,Opuntia,Opuntia,Opuntia,Opuntia,Opuntia,Caesalpinia,Cassia,Cassia,Cassia,Parkinsonia,Canna,Carica,Ipomoea,Ipomoea,Ipomoea,Cucurbita,Mormordica,Croton,Euphorbia,Crotalaria,Galactea,Geoffroea,Piscidia,Rhynchosia,Vigna,Scaveola,Persea,Mentzelia,Cuphea,Abelmoschus,Abutilon,Bastardia,Gossypium,Gossypium,Hibiscus,Malvastrum,Sida,Sida,Sida,Sida,Miconia,Acacia,Acacia,Inga,Prosopis,Psidium,Nolana,Bougainvillea,Commicarpus,Cryptocarpus,Mirabilis,Passiflora,Plumbago,Setaria,Polygonum,Portulaca,Chicocca,Coffea,Diodia,Psychotria,Cardiospermum,Bacopa,Galvezia,Galvezia,Castela,Cacabus,Capsicum,Lycopersicon,Lycopersicon,Physalis,Solanum,Waltheria,Clerodendrum,Clerodendrum,Clerodendrum,Lantana,Phyla,Stachtarpheta,Tribulus
,,plant_sp,galapagana,nervosum,portulacastrum,roseus,glabra,conyzoides,pilosa,tenuifolius,hispida,gracilis,laricifolia,affinis,beurii,helleri,pedunculata,sp.,oleraceus,germinans,leucophlyctis,lutea,sp.,psilostachya,rufo-sericea,campestris,graveolens,echios,echios gig.,helleri,megasperma,sp.,sp.,pulcherrima,occidentalis,picta,sp.,aculeata,sp.,papaya,linearifolia,pes-caprae,sp.,pepo,charantia,scouleri,cyathophora,incana,striata,spinosa,carthagenesis,minima,luteola,plumieri,maericana,aspera,racemosa,manihot,depauperatum,viscosa,barbadense,sp.,teliaceus,coromandelianum,acuta,paniculata,rhombifolia,spinosa,robinsoniana,insulae-iacobi,macracantha,edulis,juliflora,guajava,galapagensis,spectabilis,tuberosus,pyriformis,jalapa,foetida,scandens,geniculta,opelousanum,oleracea,alba,arabica,radula,rufipes,galapageium,monniera,leucantha,leucantha pubesc.,galapageia,miersii,frutescens,cheesmanii,cheesmanii minor,pubescens,americanum,ovata,molle glabr.,molle,molle var.,peducularis,sp.,cayanensis,cistoides
Chrysopa,sp.,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cricket,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damsel bug nymph,,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darwinysius,marginalis,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disclisioprocta,stellata,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enyo,lugubris delanoi,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euchrombius,ocellus,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankliniella,sp.,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goniozus,sp.,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green winged hemerobiid,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
