"original_name";"name_clear"
"Synergus nervosus";"Synergus nervosus"
"S. gallae-pomiformis";"Synergus gallae-pomiformis"
"Olynx arsames";"Olynx arsames"
"Andricus curvator";"Andricus curvator"
"gall tissue (Q. robur)";"Quercus robur"
"Eurytoma brunniventris";"Eurytoma brunniventris"
"Syntomaspis notata";"Syntomaspis notata"
"Eupelmus urozonus";"Eupelmus urozonus"
"Mesopolobus jucundus";"Mesopolobus jucundus"
"M. fasciiventris";"Mesopolobus fasciiventris"
"M. fuscipes";"Mesopolobus fuscipes"
"M. (sturovia) albitarsus";"Mesopolobus albitarsus"
"M. tibialis";"Mesopolobus tibialis"
"M. amaenus";"Mesopolobus amaenus"
"Torymus auratus";"Torymus auratus"
"T. cynipedis";"Torymus cynipedis"
