"sp_taxon_1";"sp_taxon_2";"value";"type";"method"
"Zooplanckton";"Phytoplankton";"0.4";"herbivory";"model"
"Zooplanckton";"Detritus";"0.6";"commensalism";"model"
"Terrestrial Invertebrates";"Macrophytes";"0.2";"herbivory";"model"
"Terrestrial Invertebrates";"Detritus";"0.3";"commensalism";"model"
"Astyanax fasciatus";"Phytoplankton";"0.001";"herbivory";"Gut content and model"
"Astyanax fasciatus";"Macrophytes";"0.5";"herbivory";"Gut content and model"
"Astyanax fasciatus";"Terrestrial Invertebrates";"0.192";"predation";"Gut content and model"
"Astyanax fasciatus";"Detritus Animal";"0.307";"commensalism";"Gut content and model"
"Astyanax altiparanae";"Phytoplankton";"0.02";"herbivory";"Gut content and model"
"Astyanax altiparanae";"Macrophytes";"0.1";"herbivory";"Gut content and model"
"Astyanax altiparanae";"Terrestrial Invertebrates";"0.85";"predation";"Gut content and model"
"Astyanax altiparanae";"Detritus Animal";"0.0006";"commensalism";"Gut content and model"
"Brycon nattereri";"Macrophytes";"0.036";"herbivory";"Gut content and model"
"Brycon nattereri";"Terrestrial Invertebrates";"0.742";"predation";"Gut content and model"
"Brycon nattereri";"Detritus Animal";"0.001";"commensalism";"Gut content and model"
"Brycon nattereri";"Detritus";"0.003";"commensalism";"Gut content and model"
"Leporinus friderici";"Phytoplankton";"0.004";"herbivory";"Gut content and model"
"Leporinus friderici";"Macrophytes";"0.1";"herbivory";"Gut content and model"
"Leporinus friderici";"Terrestrial Invertebrates";"0.634";"predation";"Gut content and model"
"Leporinus friderici";"Detritus Animal";"0.01";"commensalism";"Gut content and model"
"Hypostomus strigaticeps";"Detritus";"1";"commensalism";"Biblio and model"
"Hoplias malabaricus";"Macrophytes";"0.007";"herbivory";"Field observation and model"
"Hoplias malabaricus";"Terrestrial Invertebrates";"0.361";"predation";"Field observation and model"
"Hoplias malabaricus";"Astyanax fasciatus";"0.1";"predation";"Field observation and model"
"Hoplias malabaricus";"Astyanax altiparanae";"0.5";"predation";"Field observation and model"
"Hoplias malabaricus";"Hoplias malabaricus";"0.03";"predation";"Field observation and model"
"Hoplias malabaricus";"Detritus Animal";"0.001";"commensalism";"Field observation and model"
"Hoplias malabaricus";"Detritus";"0.001";"commensalism";"Field observation and model"
"Salminus hilarii";"Terrestrial Invertebrates";"0.025";"predation";"Field observation and model"
"Salminus hilarii";"Astyanax fasciatus";"0.06";"predation";"Field observation and model"
"Salminus hilarii";"Astyanax altiparanae";"0.74";"predation";"Field observation and model"
"Salminus hilarii";"Brycon nattereri";"0.115";"predation";"Field observation and model"
"Salminus hilarii";"Leporinus friderici";"0.05";"predation";"Field observation and model"
"Salminus hilarii";"Hypostomus strigaticeps";"0.01";"predation";"Field observation and model"
