"orignial_name";"name_clear"
"Phytoplankton";"Phytoplankton"
"Detritus";"Detritus"
"Macrophytes";"Macrophytes"
"Terrestrial Invertebrates";"Invertebrata"
"Detritus Animal";"Detritus Animal"
"Astyanax fasciatus";"Astyanax fasciatus"
"Astyanax altiparanae";"Astyanax altiparanae"
"Hoplias malabaricus";"Hoplias malabaricus"
"Brycon nattereri";"Brycon nattereri"
"Leporinus friderici";"Leporinus friderici"
"Hypostomus strigaticeps";"Hypostomus strigaticeps"
"Zooplankton";"Zooplankton"
"Salminus hilarii";"Salminus hilarii"
