"original_name";"name_clear"
"Villa  verdensis";"Villa  verdensis"
"Ruiziella luctuosa";"Ruiziella luctuosa"
"Truphoecus bellus";"Truphoecus bellus"
"Anthophora incerta";"Anthophora incerta"
"Eristalis tenax";"Eristalis tenax"
"Andinus venustus";"Andinus venustus"
"Hypodynerus  sp. 3";"Hypodynerus"
"Chilicola  sp.";"Chilicola"
"Hypsochila wagenknecti";"Hypsochila wagenknecti"
"Bombyllidae n.i.";"Bombyllidae"
"Vespidae n.i.";"Vespidae"
"Tabanidae n.i.";"Tabanidae"
"Alloscirtetica rufitarsis";"Alloscirtetica rufitarsis"
"Anthidium decaspilum";"Anthidium decaspilum"
"Anthidium gayi";"Anthidium gayi"
"Anthidium adriani";"Anthidium adriani"
"Anthidium sp.";"Anthidium"
"Anthophora sp.";"Anthophora"
"Cadeguala occidentalis";"Cadeguala occidentalis"
"Colletes araucariae";"Colletes araucariae"
"Lithurgomma wagenknechti";"Lithurgomma wagenknechti"
"Scaptia atra";"Scaptia atra"
"Svastrides melanura";"Svastrides melanura"
"Tapinotaspis herbsti";"Tapinotaspis herbsti"
"Tapinotaspis caerulea";"Tapinotaspis caerulea"
"Caenohalictus sp. 2";"Caenohalictus"
"Caenohalictus sp. 3";"Caenohalictus"
"Megachile sp. 2";"Megachile"
"Elaphroptera relicta";"Elaphroptera relicta"
"Chilimelissa sp.";"Chilimelissa"
"Xanthocolletes sicheli";"Xanthocolletes sicheli"
"Mesonychium gayi";"Mesonychium gayi"
"Pseudolucia chilensis";"Pseudolucia chilensis"
"Xanthocolletes incahuasi";"Xanthocolletes incahuasi"
"Xanthocolletes sp.";"Xanthocolletes"
"Caupolicana dimidiata";"Caupolicana dimidiata"
"Hypodynerus sp.2";"Hypodynerus"
"Colletes fulvipes";"Colletes fulvipes"
"Colletes sp.";"Colletes"
"Coelioxys sp.";"Coelioxys"
"Muscidae sp.";"Muscidae"
"Phulia nymphula";"Phulia nymphula"
"Prosopochaeta caliginosa";"Prosopochaeta caliginosa"
"Agromyzidae sp.1";"Agromyzidae"
"Agromyzidae sp.2";"Agromyzidae"
"Anthomyiidae sp.2";"Anthomyiidae"
"Dasybasis sp. 2";"Dasybasis"
"Centris sp.";"Centris"
"Villa  guttapennis";"Villa  guttapennis"
"Anthomyiidae  sp.4";"Anthomyiidae"
"Villa  durvillei";"Villa  durvillei"
"Chaetodemoticus chilensis";"Chaetodemoticus chilensis"
