"name";"bold";"eol";"tsn";"ncbi"
"Centris cineraria";"347214";"55790040";"764818";"598250"
"Ruizantheda mutabilis";"91136";"52185511";"759828";"178066"
"Corynura";"78192";"46485087";"754532";"232807"
"Hemicolletes ruizi";NA;NA;NA;NA
"Isepeolus niveiventris";NA;NA;NA;NA
"Anthidium";"58221";"52177637";"8317";"156280"
"Dasybasis";"670463";"51998282";NA;"1297377"
"Vibrissomyia";"480349";"52007664";NA;NA
"Ruiziella luctuosa";NA;"52011648";NA;NA
"Truphoecus bellus";NA;NA;NA;NA
"Anthophora incerta";"690018";"52190710";"762958";"597722"
"Andinus";"495106";"51381471";"574753";NA
"Hypodynerus";NA;"52158792";NA;NA
"Chilicola";"142511";"51186465";"655815";"288335"
"Hypsochila wagenknecti";NA;NA;NA;NA
"Bombyllidae";NA;NA;NA;NA
"Vespidae";"449";"51179801";"154249";"7438"
"Tabanidae";"465";"46439091";"963298";"7205"
"Alloscirtetica rufitarsis";"340647";"52193067";"766096";"598963"
"Anthidium decaspilum";NA;"52177710";"755722";NA
"Anthidium gayi";"688782";"52177726";"755738";"1955913"
"Anthidium adriani";NA;NA;NA;NA
"Anthophora";"2089";"46496601";"98859";"60896"
"Cadeguala occidentalis";"202616";"52188316";"655818";"395700"
"Colletes araucariae";"91112";"55774536";"654687";"420699"
"Lithurgomma wagenknechti";NA;NA;NA;NA
"Scaptia atra";NA;"51999344";NA;NA
"Svastrides melanura";"202635";"46498715";"766410";"599477"
"Tapinotaspis herbsti";NA;NA;NA;NA
"Tapinotaspis caerulea";NA;NA;NA;"1002891"
"Elaphroptera relicta";NA;NA;NA;NA
"Chilimelissa";NA;NA;NA;"253585"
"Xanthocolletes sicheli";NA;NA;NA;NA
"Mesonychium gayi";NA;NA;NA;NA
"Pseudolucia";"202426";"51225496";NA;"689545"
"Xanthocolletes incahuasi";NA;NA;NA;NA
"Xanthocolletes";NA;NA;NA;NA
"Caupolicana dimidiata";"340658";"52186578";"753959";"1955924"
"Colletes fulvipes";"677903";"52187423";"654810";NA
"Colletes";"1925";"51186101";"634148";"156310"
"Coelioxys";"4964";"51185716";"760456";"156307"
"Muscidae";"523";"51157417";"150025";"7366"
"Phulia nymphula";"82246";"52252417";NA;"320225"
"Prosopochaeta caliginosa";NA;NA;NA;NA
"Agromyzidae";"569";"51155086";"143384";"127399"
"Centris";"7226";"52192372";"166429";"117237"
"Villa  durvillei";NA;NA;NA;NA
"Chaetodemoticus";NA;NA;NA;NA
"Nastanthus spathulatus";"419801";"50890509";NA;"516709"
"Cerastium";"121272";"61377991";"19947";"3579"
"Chaetanthera pusilla";"627924";"52947044";NA;"130244"
"Erigeron";"100963";"50879782";"35809";"41574"
"Nassauvia axillaris";"633139";"50885567";NA;"460339"
"Senecio crithmoides";"633243";"52931605";NA;"462515"
"Werneria pygmaea";NA;NA;NA;NA
"Stenodraba stenophylla";NA;NA;NA;"444745"
"Anarthrophyllum gayanum";NA;"52890892";NA;NA
"Loasa caespitosa";NA;NA;NA;NA
"Oxalis compacta";"625266";NA;NA;"1132067"
"Calandrinia dianthoides";NA;NA;NA;NA
"Calandrinia sericea";NA;NA;NA;NA
"Ranunculus peduncularis";"435997";"50856901";NA;"286963"
"Discaria nana";NA;"50919909";NA;"262933"
"Azorella bolacina";NA;NA;NA;NA
"Azorella monantha";"417064";"52913399";NA;"225208"
"L. acaulis";NA;NA;NA;NA
"Viola philippii";NA;NA;NA;NA
"Bombylliidae";NA;NA;NA;NA
"Villa  flavicura";NA;NA;NA;NA
"Yramea modesta";NA;NA;NA;NA
"Gayella reedi";NA;"52154423";NA;NA
"Ateloglutus";"752391";"52003145";NA;NA
"Centris cana";NA;NA;NA;NA
"Nastanthus aglomeratus";NA;NA;NA;NA
"Chaetanthera apiculata";"627933";"52947078";NA;"368862"
"Chaetanthera flabellata";"627907";"52947039";NA;"368879"
"Chaetanthera lycopodioides";"627941";"52947022";NA;"368893"
"Leuceria salina";NA;NA;NA;"33337"
"Nassauvia lagascae";"623914";"50885564";NA;"130283"
"Nassauvia";"422062";"50885571";NA;"41611"
"Nassauvia pungens";NA;NA;NA;NA
"Draba gilliesii";NA;"52966799";NA;"95395"
"Draba";"125052";"61404708";"22853";"87301"
"Adesmia capitellata";NA;"52890396";NA;NA
"Adesmia glomerula";"625227";"52890420";NA;"1192311"
